Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	64	Ingress	2023 FEB 18 15:02:28	2023 FEB 18 15:06:15	2023 FEB 18 15:07:02	274.00	-5.38	-27.00	-34.03	-71.33	-76.84	-77.73	14.31	3	-	-	-		
N/A	1	64	Egress	2023 FEB 18 15:43:51	2023 FEB 18 15:44:35	2023 FEB 18 15:48:03	252.00	-170.28	-171.00	-174.63	40.73	42.30	49.16	5.33	3	-	-	-		
NOMAD	2	64	Ingress	2023 FEB 18 17:00:28	2023 FEB 18 17:04:15	2023 FEB 18 17:05:01	273.00	-34.27	-55.88	-62.73	-71.38	-76.85	-77.72	14.30	1	6SUBD Nom 4 line #1	Science: orders #121, #134, #169, #129, #148, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 126 to 130)	COP row -1: 		
N/A	2	64	Egress	2023 FEB 18 17:41:53	2023 FEB 18 17:42:37	2023 FEB 18 17:46:04	251.00	160.86	160.13	156.51	41.07	42.64	49.42	5.32	1	-	-	-		
ACS	3	64	Ingress	2023 FEB 18 18:58:24	2023 FEB 18 19:02:10	2023 FEB 18 19:02:56	272.00	-63.18	-84.69	-91.52	-71.45	-76.85	-77.71	14.29	14	-	-	-		
ACS	3	64	Egress	2023 FEB 18 19:39:52	2023 FEB 18 19:40:36	2023 FEB 18 19:44:03	251.00	132.02	131.29	127.64	41.40	42.95	49.70	5.31	14	-	-	-		
NOMAD	4	64	Ingress	2023 FEB 18 20:56:15	2023 FEB 18 21:00:01	2023 FEB 18 21:00:47	272.00	-91.87	-113.23	-119.99	-71.43	-76.81	-77.67	14.30	1	6SUBD Nom 4 line #2	Science: orders #121, #136, #169, #129, #148, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 126 to 130)	COP row -1: 		
N/A	4	64	Egress	2023 FEB 18 21:37:47	2023 FEB 18 21:38:31	2023 FEB 18 21:41:57	250.00	103.22	102.49	98.85	41.66	43.20	49.88	5.30	1	-	-	-		
ACS	5	64	Ingress	2023 FEB 18 22:54:07	2023 FEB 18 22:57:52	2023 FEB 18 22:58:38	271.00	-120.52	-141.52	-148.18	-71.39	-76.73	-77.60	14.32	3	-	-	-	&mroOverlap; 	
ACS	5	64	Egress	2023 FEB 18 23:35:42	2023 FEB 18 23:36:26	2023 FEB 18 23:39:50	248.00	74.44	73.71	70.10	41.85	43.38	49.96	5.30	3	-	-	-	&mroOverlap; 	
NOMAD	6	64	Ingress	2023 FEB 19 00:52:05	2023 FEB 19 00:55:48	2023 FEB 19 00:56:34	269.00	-149.37	-170.06	-176.65	-71.42	-76.69	-77.55	14.33	1	6SUBD Nom 4 line #1	Science: orders #121, #134, #169, #129, #148, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 126 to 130)	COP row -1: 	&mroOverlap; 	
NOMAD	6	64	Egress	2023 FEB 19 01:33:42	2023 FEB 19 01:34:26	2023 FEB 19 01:37:50	248.00	45.63	44.89	41.28	42.08	43.61	50.14	5.29	1	6SUBD Nom 4 line #2	Science: orders #121, #136, #169, #129, #148, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 126 to 130)	COP row -1: 	&mroOverlap; 	
NOMAD	7	64	Ingress	2023 FEB 19 02:50:04	2023 FEB 19 02:53:46	2023 FEB 19 02:54:32	268.00	-178.18	161.35	154.83	-71.44	-76.65	-77.52	14.34	1	LNO Occultation Fullscan Fast #2	Diffraction order stepping (fullscan): 105 orders from 110 to 215 in steps of 1 (6 order(s) per 1 second(s))	COP row -1: 	&daysideMatch:AEOLIS MENSAE MFF; &mroOverlap; 	
NOMAD	7	64	Egress	2023 FEB 19 03:31:43	2023 FEB 19 03:32:26	2023 FEB 19 03:35:50	247.00	16.79	16.06	12.44	42.36	43.85	50.34	5.28	1	6SUBD CO2 H2O #12	Science: orders #121, #132, #148, #156, #189, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:AEOLIS MENSAE MFF; &mroOverlap; 	
ACS	8	64	Ingress	2023 FEB 19 04:48:00	2023 FEB 19 04:51:42	2023 FEB 19 04:52:27	267.00	153.04	132.68	126.36	-71.45	-76.63	-77.47	14.34	14	-	-	-	&daysideMatch:TIANWEN1; 	
ACS	8	64	Egress	2023 FEB 19 05:29:43	2023 FEB 19 05:30:26	2023 FEB 19 05:33:49	246.00	-12.06	-12.78	-16.41	42.67	44.14	50.57	5.28	14	-	-	-	&daysideMatch:TIANWEN1; 	
NOMAD	9	64	Ingress	2023 FEB 19 06:45:54	2023 FEB 19 06:49:36	2023 FEB 19 06:50:21	267.00	124.33	104.12	97.86	-71.43	-76.59	-77.43	14.35	1	6SUBD Nominal #52	Science: orders #121, #134, #169, #129, #148, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&mroOverlap; 	
NOMAD	9	64	Egress	2023 FEB 19 07:27:41	2023 FEB 19 07:28:24	2023 FEB 19 07:31:46	245.00	-40.89	-41.62	-45.24	42.97	44.44	50.80	5.27	1	6SUBD CO #4	Science: orders #132, #185, #185, #185, #185, #185, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&mroOverlap; 	
ACS	10	64	Ingress	2023 FEB 19 08:43:47	2023 FEB 19 08:47:29	2023 FEB 19 08:48:14	267.00	95.57	75.47	69.25	-71.44	-76.57	-77.41	14.36	14	-	-	-	&mroOverlap; 	
ACS	10	64	Egress	2023 FEB 19 09:25:37	2023 FEB 19 09:26:20	2023 FEB 19 09:29:42	245.00	-69.71	-70.44	-74.07	43.24	44.69	51.02	5.26	14	-	-	-	&mroOverlap; 	
NOMAD	11	64	Ingress	2023 FEB 19 10:41:40	2023 FEB 19 10:45:21	2023 FEB 19 10:46:06	266.00	66.73	46.80	40.63	-71.48	-76.55	-77.38	14.36	1	6SUBD CO2 #13	Science: orders #156, #132, #118, #169, #154, #140, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	11	64	Egress	2023 FEB 19 11:23:32	2023 FEB 19 11:24:15	2023 FEB 19 11:27:36	244.00	-98.50	-99.23	-102.85	43.44	44.89	51.14	5.25	1	133 only #2	Science: orders #133, #133, #133, #133, #133, #133, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
