Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	64	Nightside	2023 FEB 18 14:56:24	2023 FEB 18 15:25:47	2023 FEB 18 15:55:09	3525.97	10.38	149.22	176.00	-61.43	-23.52	61.50	143.77	2.37	3	-	-	-		
1	64	Dayside	2023 FEB 18 15:55:09	2023 FEB 18 16:24:47	2023 FEB 18 16:54:24	3554.09	176.00	-45.66	-18.49	61.50	24.88	-61.57	36.15	14.34	3	Surface Ice 4SUBD 02	Science: orders #199, #189, #188, #187, with 195000us integration time (4 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: UVIS off		
2	64	Nightside	2023 FEB 18 16:54:24	2023 FEB 18 17:23:46	2023 FEB 18 17:53:08	3524.52	-18.49	120.31	147.13	-61.57	-23.42	61.63	143.98	2.36	1	-	-	-		
2	64	Dayside	2023 FEB 18 17:53:08	2023 FEB 18 18:22:45	2023 FEB 18 18:52:21	3553.04	147.13	-74.54	-47.37	61.63	24.73	-61.72	35.94	14.32	1	-		COP row -1: UVIS off		
3	64	Nightside	2023 FEB 18 18:52:21	2023 FEB 18 19:21:43	2023 FEB 18 19:51:05	3523.38	-47.37	91.44	118.27	-61.72	-23.30	61.77	144.17	2.35	14	-	-	-		
3	64	Dayside	2023 FEB 18 19:51:05	2023 FEB 18 20:20:40	2023 FEB 18 20:50:15	3550.71	118.27	-103.42	-76.21	61.77	24.61	-61.84	35.75	14.31	14	-		COP row -1: UVIS off		
4	64	Nightside	2023 FEB 18 20:50:15	2023 FEB 18 21:19:37	2023 FEB 18 21:48:58	3522.91	-76.21	62.57	89.45	-61.84	-23.15	61.88	144.36	2.34	1	-	-	-		
4	64	Dayside	2023 FEB 18 21:48:58	2023 FEB 18 22:18:33	2023 FEB 18 22:48:08	3550.33	89.45	-132.31	-104.97	61.88	24.54	-61.89	35.54	14.30	1	-		COP row 95: NADIR: Horizontal Bin (57:245;0:1047), Tint = 20000 ms,20 bit,Rhythm = 22017 ms, Binning=3		
5	64	Nightside	2023 FEB 18 22:48:08	2023 FEB 18 23:17:30	2023 FEB 18 23:46:52	3523.86	-104.97	33.66	60.69	-61.89	-23.05	61.92	144.59	2.32	3	-	-	-		
5	64	Dayside	2023 FEB 18 23:46:52	2023 FEB 19 00:16:28	2023 FEB 19 00:46:05	3552.35	60.69	-161.25	-133.75	61.92	24.45	-61.94	35.30	14.28	3	H2O CO 2SUBD #1	Science: orders #168, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: UVIS off	&mroOverlap; 	
6	64	Nightside	2023 FEB 19 00:46:05	2023 FEB 19 01:15:28	2023 FEB 19 01:44:50	3525.68	-133.75	4.71	31.91	-61.94	-22.99	61.97	144.83	2.30	1	-	-	-		
6	64	Dayside	2023 FEB 19 01:44:50	2023 FEB 19 02:14:27	2023 FEB 19 02:44:03	3552.68	31.91	169.80	-162.58	61.97	24.33	-62.03	35.05	14.27	1	-		COP row -1: UVIS off	&mroOverlap; 	
7	64	Nightside	2023 FEB 19 02:44:03	2023 FEB 19 03:13:26	2023 FEB 19 03:42:50	3526.78	-162.58	-24.24	3.07	-62.03	-22.90	62.06	145.06	2.29	1	-	-	-		
7	64	Dayside	2023 FEB 19 03:42:50	2023 FEB 19 04:12:26	2023 FEB 19 04:42:02	3551.78	3.07	140.87	168.57	62.06	24.23	-62.14	34.82	14.25	1	-		COP row 85: NADIR: Horizontal Bin (57:245;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12409 ms, Binning=3	&daysideMatch:AEOLIS MENSAE MFF; &mroOverlap; 	
8	64	Nightside	2023 FEB 19 04:42:02	2023 FEB 19 05:11:25	2023 FEB 19 05:40:48	3526.85	168.57	-53.15	-25.81	-62.14	-22.75	62.21	145.29	2.28	14	-	-	-		
8	64	Dayside	2023 FEB 19 05:40:48	2023 FEB 19 06:10:24	2023 FEB 19 06:39:59	3550.47	-25.81	111.96	139.71	62.21	24.14	-62.27	34.62	14.24	14	-		COP row 85: NADIR: Horizontal Bin (57:245;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12409 ms, Binning=3	&daysideMatch:TIANWEN1; 	
9	64	Nightside	2023 FEB 19 06:39:59	2023 FEB 19 07:09:22	2023 FEB 19 07:38:45	3525.67	139.71	-82.04	-54.68	-62.27	-22.59	62.35	145.49	2.26	1	-	-	-		
9	64	Dayside	2023 FEB 19 07:38:45	2023 FEB 19 08:08:19	2023 FEB 19 08:37:54	3549.33	-54.68	83.09	110.86	62.35	24.03	-62.40	34.43	14.23	1	HDO H2O 2SUBD 03	Science: orders #168, #121, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 85: NADIR: Horizontal Bin (57:245;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12409 ms, Binning=3	&mroOverlap; 	
10	64	Nightside	2023 FEB 19 08:37:54	2023 FEB 19 09:07:16	2023 FEB 19 09:36:38	3524.19	110.86	-110.91	-83.50	-62.40	-22.48	62.45	145.69	2.25	14	-	-	-		
10	64	Dayside	2023 FEB 19 09:36:38	2023 FEB 19 10:06:12	2023 FEB 19 10:35:46	3548.32	-83.50	54.21	82.06	62.45	23.91	-62.48	34.23	14.22	14	-		COP row 85: NADIR: Horizontal Bin (57:245;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12409 ms, Binning=3	&mroOverlap; 	
11	64	Nightside	2023 FEB 19 10:35:46	2023 FEB 19 11:05:09	2023 FEB 19 11:34:32	3525.61	82.06	-139.81	-112.26	-62.48	-22.42	62.49	145.90	2.24	1	-	-	-		
