MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2020 JUL 15 05:15:00,-73.7131,164.7403,252.941,2.9431,80.5045,3.0837e-14,80.5045,2020 JUL 15 05:06:00,-74.637,166.5423,379.6061,2.9172,79.8834,0.3034,80.1609
2020 JUL 19 23:18:00,-73.2085,-59.9554,250.7874,2.9175,80.2865,1.9347e-14,80.2865,2020 JUL 19 23:06:00,-74.0292,-57.5759,381.8849,2.8817,79.7659,0.30814,80.0496
2020 JUL 24 22:57:00,-72.0258,-5.8273,250.8581,2.9258,80.5189,1.6442e-14,80.5189,2020 JUL 24 23:00:00,-72.0705,-7.6922,379.8453,2.8503,80.7067,0.31942,81.0066
2020 JUL 26 17:57:00,-71.5998,86.331,250.4892,2.9011,80.704,6.6079e-15,80.704,2020 JUL 26 18:15:00,-70.3853,82.487,381.511,2.9367,81.5111,0.32475,81.8209
2020 JUL 29 09:30:00,-68.7407,-120.1299,249.965,2.9594,82.3839,2.4482e-14,82.3839,2020 JUL 29 09:09:00,-68.3699,-117.4518,380.0691,2.7975,83.2269,0.3415,83.5556
2020 JUL 29 15:06:00,-66.9371,158.9948,252.8707,3.0156,83.5095,1.9926e-14,83.5095,2020 JUL 29 15:03:00,-67.5222,157.7775,381.9067,2.8858,83.5478,0.34216,83.8794
2020 JUL 31 02:36:00,-62.5886,1.864,251.2592,3.075,86.3544,1.6015e-14,86.3544,2020 JUL 31 02:27:00,-63.6332,4.2353,379.7765,3.0869,85.5253,0.3522,85.8729
2020 AUG 01 14:06:00,-58.648,-155.6311,251.5648,3.1097,88.9692,2.7727e-14,88.9692,2020 AUG 01 13:51:00,-59.4432,-151.3109,380.2754,3.1544,88.1537,0.3673,88.5192
2020 AUG 03 04:24:00,54.8283,-174.0911,305.1364,15.1372,88.4994,3.7348e-14,88.4994,2020 AUG 03 04:12:00,55.2528,-172.1087,425.4524,15.0747,88.4603,0.09308,88.372
2020 AUG 03 06:15:00,51.0024,159.4086,303.1634,15.1703,85.8873,1.4575e-14,85.8873,2020 AUG 03 06:12:00,49.6196,162.8505,421.7717,15.3511,86.0801,0.087337,85.9928
2020 AUG 03 10:00:00,52.8851,104.3644,302.2985,15.1486,87.1518,2.1097e-14,87.1518,2020 AUG 03 10:06:00,54.7725,101.3508,424.5066,15.045,87.9539,0.095876,87.8627
2020 AUG 03 11:51:00,49.2823,77.7527,299.36,15.1742,84.6708,1.4312e-14,84.6708,2020 AUG 03 12:06:00,49.0675,76.4083,420.9163,15.3278,85.5498,0.089172,85.4606
2020 AUG 04 15:54:00,50.6202,28.1962,302.5957,15.1572,85.6404,3.2591e-14,85.6404,2020 AUG 04 15:36:00,50.7055,30.0766,420.3868,14.9908,84.6638,0.10582,84.5606
2020 AUG 04 21:30:00,48.6302,-53.309,300.101,15.1711,84.2874,2.6228e-14,84.2874,2020 AUG 04 21:30:00,50.115,-56.5406,423.1232,14.9558,84.0194,0.10843,83.9137
2020 AUG 04 23:21:00,44.9477,-80.0126,297.7171,15.1906,81.7356,1.7128e-14,81.7356,2020 AUG 04 23:30:00,44.3425,-82.3249,418.9247,15.1825,81.2352,0.097712,81.1377
2020 AUG 05 01:12:00,41.3671,-106.7199,294.5953,15.2097,79.2882,1.4575e-14,79.2882,2020 AUG 05 01:30:00,38.3645,-108.726,414.3557,15.3678,78.4408,0.079842,78.361
2020 AUG 06 01:30:00,40.6364,-101.3981,293.5879,15.2033,78.7844,9.6484e-14,78.7844,2020 AUG 06 01:03:00,43.6899,-98.3906,417.8903,14.9661,79.2807,0.10877,79.1733
2020 AUG 06 03:21:00,37.0772,-128.091,290.7195,15.2236,76.3959,3.6542e-14,76.3959,2020 AUG 06 03:03:00,37.6556,-124.8471,413.8711,15.1481,76.1867,0.088847,76.0985
2020 AUG 06 05:12:00,33.4198,-154.7994,289.2588,15.2425,73.9722,3.1964e-14,73.9722,2020 AUG 06 05:03:00,31.5589,-151.8075,410.5065,15.2961,73.158,0.06209,73.0984
2020 AUG 06 08:57:00,35.3298,150.3385,291.493,15.2331,75.2493,9.3326e-14,75.2493,2020 AUG 06 08:57:00,36.8873,148.4597,413.4885,15.1078,75.3168,0.08886,75.229
