TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2020 JUL 15 05:06:00,44,44
2020 JUL 19 23:06:00,102,102
2020 JUL 24 23:00:00,163,163
2020 JUL 26 18:15:00,185,185
2020 JUL 29 09:09:00,217,217
2020 JUL 29 15:03:00,220,220
2020 JUL 31 02:27:00,238,238
2020 AUG 01 13:51:00,256,256
2020 AUG 03 04:12:00,276,276
2020 AUG 03 06:12:00,277,277
2020 AUG 03 10:06:00,279,279
2020 AUG 03 12:06:00,280,280
2020 AUG 04 15:36:00,294,294
2020 AUG 04 21:30:00,297,297
2020 AUG 04 23:30:00,298,298
2020 AUG 05 01:30:00,299,299
2020 AUG 06 01:03:00,311,311
2020 AUG 06 03:03:00,312,312
2020 AUG 06 05:03:00,313,313
2020 AUG 06 08:57:00,315,315
2020 AUG 06 10:57:00,316,316
2020 AUG 06 12:57:00,317,317
2020 AUG 07 12:30:00,329,329
2020 AUG 07 14:30:00,330,330
2020 AUG 07 16:33:00,331,331
2020 AUG 07 18:33:00,332,332
2020 AUG 07 20:24:00,333,333
2020 AUG 07 22:27:00,334,334
2020 AUG 08 00:27:00,335,335
2020 AUG 08 02:27:00,336,336
