Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	2	8	Ingress	2018 NOV 03 16:02:20	2018 NOV 03 16:05:36	2018 NOV 03 16:06:16	236.00	120.52	130.78	132.99	-65.08	-64.79	-64.62	0.63	1	-	-	-		
NOMAD	2	8	Egress	2018 NOV 03 16:45:57	2018 NOV 03 16:46:35	2018 NOV 03 16:49:35	218.00	-111.09	-109.78	-103.50	57.72	58.31	60.69	9.25	1	Nominal Science 1xCO2 LA01; Nominal Science 1xCO2 HA01	Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 293: SO: Full Frame (140:205;0:1047),Tint = 45 ms,16 bit,Rhythm = 3361 ms, Binning=0		
ACS	3	8	Ingress	2018 NOV 03 18:00:12	2018 NOV 03 18:03:28	2018 NOV 03 18:04:08	236.00	91.44	101.59	103.78	-65.08	-64.83	-64.67	0.59	4	-	-	-		
N/A	3	8	Egress	2018 NOV 03 18:43:51	2018 NOV 03 18:44:29	2018 NOV 03 18:47:29	218.00	-139.57	-138.27	-132.03	57.81	58.39	60.73	9.27	4	-	-	-		
N/A	4	8	Ingress	2018 NOV 03 19:58:01	2018 NOV 03 20:01:16	2018 NOV 03 20:01:56	235.00	62.44	72.43	74.61	-65.08	-64.86	-64.71	0.56	1	-	-	-		
NOMAD	4	8	Egress	2018 NOV 03 20:41:41	2018 NOV 03 20:42:19	2018 NOV 03 20:45:18	217.00	-168.08	-166.80	-160.66	57.87	58.45	60.74	9.27	1	Nominal Science with CO 01	Science: orders #147, #134, #169, #121, #186, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 294: SO: Full Frame (140:205;0:1047),Tint = 75 ms,16 bit,Rhythm = 3361 ms, Binning=0		
ACS	5	8	Ingress	2018 NOV 03 21:55:47	2018 NOV 03 21:59:02	2018 NOV 03 21:59:42	235.00	33.29	43.18	45.34	-65.07	-64.90	-64.76	0.52	4	-	-	-		
N/A	5	8	Egress	2018 NOV 03 22:39:31	2018 NOV 03 22:40:09	2018 NOV 03 22:43:08	217.00	163.26	164.53	170.59	57.88	58.45	60.72	9.27	4	-	-	-		
N/A	6	8	Ingress	2018 NOV 03 23:53:40	2018 NOV 03 23:56:55	2018 NOV 03 23:57:34	234.00	4.14	13.94	16.03	-65.07	-64.93	-64.81	0.48	1	-	-	-		
NOMAD	6	8	Egress	2018 NOV 04 00:37:24	2018 NOV 04 00:38:02	2018 NOV 04 00:41:00	216.00	134.56	135.81	141.76	57.87	58.43	60.68	9.27	1	CH4 01	Science: orders #168, #133, #134, #135, #136, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 293: SO: Full Frame (140:205;0:1047),Tint = 45 ms,16 bit,Rhythm = 3361 ms, Binning=0		
