Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	8	Nightside	2018 NOV 03 14:29:06	2018 NOV 03 14:44:06	2018 NOV 03 14:59:06	1800.00	171.39	-164.06	-56.30	21.57	62.70	61.89	127.60	3.65	3	-	-	-		
1	8	Dayside	2018 NOV 03 14:59:06	2018 NOV 03 15:28:00	2018 NOV 03 15:56:53	3467.06	-56.30	-23.61	105.36	61.89	-20.02	-64.22	24.26	13.72	3	Surface 3SUBD 01	Science: orders #168, #190, #191, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
2	8	Nightside	2018 NOV 03 15:56:53	2018 NOV 03 16:26:26	2018 NOV 03 16:55:59	3546.14	105.36	142.01	-89.08	-64.22	19.98	64.21	155.88	1.71	1	-	-	-		
2	8	Dayside	2018 NOV 03 16:55:59	2018 NOV 03 17:25:23	2018 NOV 03 17:54:46	3527.18	-89.08	-52.94	76.57	64.21	-18.62	-64.21	23.97	13.67	1	HDO H2O 2SUBD 01	Science: orders #121, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
3	8	Nightside	2018 NOV 03 17:54:46	2018 NOV 03 18:24:18	2018 NOV 03 18:53:51	3544.23	76.57	113.05	-117.88	-64.21	20.03	64.20	156.16	1.69	4	-	-	-		
3	8	Dayside	2018 NOV 03 18:53:51	2018 NOV 03 19:23:13	2018 NOV 03 19:52:36	3525.64	-117.88	-81.88	47.78	64.20	-18.69	-64.19	23.69	13.65	4	-		3x COP rows 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
4	8	Nightside	2018 NOV 03 19:52:36	2018 NOV 03 20:22:08	2018 NOV 03 20:51:40	3543.74	47.78	84.11	-146.70	-64.19	20.08	64.18	156.43	1.67	1	-	-	-		
4	8	Dayside	2018 NOV 03 20:51:40	2018 NOV 03 21:21:02	2018 NOV 03 21:50:24	3524.04	-146.70	-110.80	18.86	64.18	-18.71	-64.16	23.45	13.63	1	HDO CO 3SUBD 01	Science: orders #167, #121, #190, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 162: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7500 ms,20 bit,Rhythm = 10494 ms, Binning=7		
5	8	Nightside	2018 NOV 03 21:50:24	2018 NOV 03 22:19:56	2018 NOV 03 22:49:29	3544.89	18.86	55.20	-175.65	-64.16	20.12	64.15	156.67	1.66	4	-	-	-		
5	8	Dayside	2018 NOV 03 22:49:29	2018 NOV 03 23:18:52	2018 NOV 03 23:48:15	3525.83	-175.65	-139.72	-10.16	64.15	-18.73	-64.12	23.20	13.62	4	-		3x COP rows 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
6	8	Nightside	2018 NOV 03 23:48:15	2018 NOV 04 00:17:48	2018 NOV 04 00:47:21	3545.86	-10.16	26.27	155.30	-64.12	20.09	64.10	156.91	1.64	1	-	-	-		
6	8	Dayside	2018 NOV 04 00:47:21	2018 NOV 04 01:16:44	2018 NOV 04 01:46:08	3527.49	155.30	-168.67	-39.13	64.10	-18.77	-64.08	22.94	13.60	1	AER H2Oi 3SUBD 01	Science: orders #169, #131, #127, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
7	8	Nightside	2018 NOV 04 01:46:08	2018 NOV 04 02:15:41	2018 NOV 04 02:45:15	3546.43	-39.13	-2.70	126.33	-64.08	20.09	64.06	157.18	1.62	4	-	-	-		
7	8	Dayside	2018 NOV 04 02:45:15	2018 NOV 04 03:14:38	2018 NOV 04 03:44:02	3527.00	126.33	162.36	-68.03	64.06	-18.82	-64.06	22.66	13.58	4	-		3x COP rows 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
8	8	Nightside	2018 NOV 04 03:44:02	2018 NOV 04 04:13:35	2018 NOV 04 04:43:09	3547.20	-68.03	-31.67	97.48	-64.06	20.15	64.04	157.47	1.60	1	-	-	-		
8	8	Dayside	2018 NOV 04 04:43:09	2018 NOV 04 05:12:31	2018 NOV 04 05:41:54	3524.94	97.48	133.39	-96.88	64.04	-18.85	-64.04	22.38	13.56	1	CH4 2SUBD 02	Science: orders #134, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 162: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7500 ms,20 bit,Rhythm = 10494 ms, Binning=7		
9	8	Nightside	2018 NOV 04 05:41:54	2018 NOV 04 06:11:27	2018 NOV 04 06:41:01	3547.29	-96.88	-60.64	68.69	-64.04	20.23	64.03	157.76	1.58	4	-	-	-		
9	8	Dayside	2018 NOV 04 06:41:01	2018 NOV 04 07:10:23	2018 NOV 04 07:39:44	3523.30	68.69	104.44	-125.69	64.03	-18.88	-64.02	22.11	13.54	4	-		3x COP rows 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
10	8	Nightside	2018 NOV 04 07:39:44	2018 NOV 04 08:09:17	2018 NOV 04 08:38:50	3546.00	-125.69	-89.57	39.89	-64.02	20.28	64.02	158.02	1.56	1	-	-	-		
10	8	Dayside	2018 NOV 04 08:38:50	2018 NOV 04 09:08:12	2018 NOV 04 09:37:33	3522.64	39.89	75.53	-154.52	64.02	-18.95	-64.00	21.85	13.52	1	CH4 3SUBD 01	Science: orders #168, #134, #136, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3	&daysideMatch:NILI FOSSAE; 	
11	8	Nightside	2018 NOV 04 09:37:33	2018 NOV 04 10:07:06	2018 NOV 04 10:36:39	3545.70	-154.52	-118.48	10.93	-64.00	20.29	63.98	158.26	1.54	4	-	-	-		
11	8	Dayside	2018 NOV 04 10:36:39	2018 NOV 04 11:06:00	2018 NOV 04 11:35:22	3523.59	10.93	46.62	176.50	63.98	-18.99	-63.96	21.61	13.51	4	-		3x COP rows 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
12	8	Nightside	2018 NOV 04 11:35:22	2018 NOV 04 12:04:56	2018 NOV 04 12:34:30	3547.69	176.50	-147.41	-18.10	-63.96	20.30	63.93	158.51	1.53	1	-	-	-		
12	8	Dayside	2018 NOV 04 12:34:30	2018 NOV 04 13:03:52	2018 NOV 04 13:33:15	3524.94	-18.10	17.67	147.46	63.93	-18.98	-63.91	21.36	13.49	1	CO 2SUBD 02	Science: orders #167, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 162: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7500 ms,20 bit,Rhythm = 10494 ms, Binning=7		
13	8	Nightside	2018 NOV 04 13:33:15	2018 NOV 04 14:02:49	2018 NOV 04 14:32:23	3548.43	147.46	-176.36	-47.05	-63.91	20.35	63.89	158.77	1.51	17	-	-	COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0		
13	8	Dayside	2018 NOV 04 14:32:23	2018 NOV 04 15:01:46	2018 NOV 04 15:31:10	3526.37	-47.05	-11.30	118.51	63.89	-18.98	-63.87	21.09	13.47	17	-		COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
14	8	Nightside	2018 NOV 04 15:31:10	2018 NOV 04 16:00:43	2018 NOV 04 16:30:17	3547.23	118.51	154.67	-75.93	-63.87	20.40	63.86	159.05	1.49	17	-	-	COP row 17: NADIR: Full Frame (47:240;0:1047),Tint = 15000 ms,16 bit,Rhythm = 17070 ms, Binning=0		
