Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
N/A	0	Ingress	2018 NOV 03 14:03:57	2018 NOV 03 14:08:53	2018 NOV 03 14:07:44	296.0	145.9	-65.0	23.6	
N/A	1	Egress	2018 NOV 03 14:47:32	2018 NOV 03 14:52:09	2018 NOV 03 14:48:39	277.0	-82.5	57.7	9.1	
N/A	2	Ingress	2018 NOV 03 16:01:51	2018 NOV 03 16:06:46	2018 NOV 03 16:05:37	295.0	117.1	-65.0	23.6	
NOMAD	3	Egress	2018 NOV 03 16:45:27	2018 NOV 03 16:50:04	2018 NOV 03 16:46:34	277.0	-111.1	57.7	9.2	
ACS	4	Ingress	2018 NOV 03 17:59:43	2018 NOV 03 18:04:37	2018 NOV 03 18:03:29	294.0	88.0	-65.0	23.6	
N/A	5	Egress	2018 NOV 03 18:43:21	2018 NOV 03 18:47:58	2018 NOV 03 18:44:28	277.0	-139.5	57.8	9.2	
N/A	6	Ingress	2018 NOV 03 19:57:31	2018 NOV 03 20:02:25	2018 NOV 03 20:01:17	294.0	59.1	-65.0	23.6	
NOMAD	7	Egress	2018 NOV 03 20:41:12	2018 NOV 03 20:45:48	2018 NOV 03 20:42:19	276.0	-168.0	57.9	9.2	
ACS	8	Ingress	2018 NOV 03 21:55:18	2018 NOV 03 22:00:12	2018 NOV 03 21:59:03	294.0	29.7	-64.9	23.5	
N/A	9	Egress	2018 NOV 03 22:39:01	2018 NOV 03 22:43:37	2018 NOV 03 22:40:08	276.0	163.3	57.9	9.2	
N/A	10	Ingress	2018 NOV 03 23:53:10	2018 NOV 03 23:58:03	2018 NOV 03 23:56:55	293.0	0.9	-64.9	23.5	
NOMAD	11	Egress	2018 NOV 04 00:36:54	2018 NOV 04 00:41:29	2018 NOV 04 00:38:01	275.0	134.6	57.9	9.2	
N/A	12	Ingress	2018 NOV 04 01:51:05	2018 NOV 04 01:55:56	2018 NOV 04 01:54:48	291.0	-28.4	-64.9	23.5	
N/A	13	Egress	2018 NOV 04 02:34:50	2018 NOV 04 02:39:25	2018 NOV 04 02:35:56	275.0	106.0	57.9	9.2	
N/A	14	Ingress	2018 NOV 04 03:48:57	2018 NOV 04 03:53:49	2018 NOV 04 03:52:40	292.0	-57.6	-64.9	23.5	
NOMAD	15	Egress	2018 NOV 04 04:32:45	2018 NOV 04 04:37:19	2018 NOV 04 04:33:52	274.0	77.4	58.0	9.2	
ACS	16	Ingress	2018 NOV 04 05:46:47	2018 NOV 04 05:51:39	2018 NOV 04 05:50:31	292.0	-86.7	-64.9	23.4	
N/A	17	Egress	2018 NOV 04 06:30:38	2018 NOV 04 06:35:12	2018 NOV 04 06:31:45	274.0	48.9	58.0	9.2	
N/A	18	Ingress	2018 NOV 04 07:44:36	2018 NOV 04 07:49:27	2018 NOV 04 07:48:19	291.0	-115.6	-64.9	23.4	
NOMAD	19	Egress	2018 NOV 04 08:28:29	2018 NOV 04 08:33:03	2018 NOV 04 08:29:36	274.0	20.4	58.1	9.2	
ACS	20	Ingress	2018 NOV 04 09:42:25	2018 NOV 04 09:47:15	2018 NOV 04 09:46:07	290.0	-144.5	-64.9	23.4	
N/A	21	Egress	2018 NOV 04 10:26:19	2018 NOV 04 10:30:53	2018 NOV 04 10:27:26	274.0	-8.2	58.1	9.2	
N/A	22	Ingress	2018 NOV 04 11:40:15	2018 NOV 04 11:45:05	2018 NOV 04 11:43:57	290.0	-173.6	-64.8	23.4	
NOMAD	23	Egress	2018 NOV 04 12:24:11	2018 NOV 04 12:28:43	2018 NOV 04 12:25:17	272.0	-36.9	58.1	9.2	
N/A	24	Ingress	2018 NOV 04 13:38:07	2018 NOV 04 13:42:56	2018 NOV 04 13:41:48	289.0	157.1	-64.8	23.3	
N/A	25	Egress	2018 NOV 04 14:22:04	2018 NOV 04 14:26:36	2018 NOV 04 14:23:10	272.0	-65.6	58.1	9.2	
N/A	26	Ingress	2018 NOV 04 15:36:00	2018 NOV 04 15:40:49	2018 NOV 04 15:39:41	289.0	128.2	-64.8	23.3	
ACS	27	Egress	2018 NOV 04 16:19:59	2018 NOV 04 16:24:30	2018 NOV 04 16:21:05	271.0	-94.2	58.2	9.2	
NOMAD	28	Ingress	2018 NOV 04 17:33:53	2018 NOV 04 17:38:42	2018 NOV 04 17:37:34	289.0	99.0	-64.8	23.3	
N/A	29	Egress	2018 NOV 04 18:17:54	2018 NOV 04 18:22:25	2018 NOV 04 18:19:00	271.0	-122.7	58.2	9.2	
N/A	30	Ingress	2018 NOV 04 19:31:44	2018 NOV 04 19:36:32	2018 NOV 04 19:35:24	288.0	70.0	-64.7	23.3	
