Dayside Nadir Index	UTC Start Time	UTC End Time	UTC Minimum Incidence Angle Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Local Time (hrs)	
0	2018 NOV 03 14:56:07	2018 NOV 03 15:58:59	2018 NOV 03 15:27:41	3768.0	-59.9	-23.9	105.8	64.0	-18.8	-64.0	13.7	
1	2018 NOV 03 16:54:00	2018 NOV 03 17:56:51	2018 NOV 03 17:25:35	3766.0	-88.7	-52.9	76.9	64.0	-18.9	-64.0	13.7	
2	2018 NOV 03 18:51:51	2018 NOV 03 19:54:41	2018 NOV 03 19:23:25	3764.0	-117.4	-81.8	48.1	64.0	-19.0	-64.0	13.7	
3	2018 NOV 03 20:49:40	2018 NOV 03 21:52:29	2018 NOV 03 21:21:13	3764.0	-146.3	-110.7	19.2	64.0	-19.0	-64.0	13.6	
4	2018 NOV 03 22:47:29	2018 NOV 03 23:50:21	2018 NOV 03 23:19:03	3766.0	-175.2	-139.6	-9.7	63.9	-19.0	-63.9	13.6	
5	2018 NOV 04 00:45:21	2018 NOV 04 01:48:13	2018 NOV 04 01:16:55	3766.0	155.7	-168.6	-38.8	63.9	-19.0	-63.9	13.6	
6	2018 NOV 04 02:43:15	2018 NOV 04 03:46:07	2018 NOV 04 03:14:49	3766.0	126.8	162.4	-67.6	63.8	-19.1	-63.8	13.6	
7	2018 NOV 04 04:41:09	2018 NOV 04 05:43:59	2018 NOV 04 05:12:43	3764.0	97.9	133.5	-96.5	63.8	-19.1	-63.8	13.6	
8	2018 NOV 04 06:39:01	2018 NOV 04 07:41:49	2018 NOV 04 07:10:35	3762.0	69.1	104.5	-125.4	63.8	-19.1	-63.8	13.5	
9	2018 NOV 04 08:36:51	2018 NOV 04 09:39:39	2018 NOV 04 09:08:23	3764.0	40.2	75.6	-154.1	63.8	-19.2	-63.8	13.5	
10	2018 NOV 04 10:34:39	2018 NOV 04 11:37:27	2018 NOV 04 11:06:11	3762.0	11.4	46.7	176.8	63.7	-19.3	-63.8	13.5	
11	2018 NOV 04 12:32:30	2018 NOV 04 13:35:21	2018 NOV 04 13:04:03	3766.0	-17.7	17.7	147.9	63.7	-19.3	-63.7	13.5	
12	2018 NOV 04 14:30:24	2018 NOV 04 15:33:15	2018 NOV 04 15:01:59	3766.0	-46.7	-11.2	118.9	63.7	-19.3	-63.7	13.5	
13	2018 NOV 04 16:28:17	2018 NOV 04 17:31:09	2018 NOV 04 16:59:53	3766.0	-75.5	-40.2	90.0	63.6	-19.3	-63.7	13.5	
14	2018 NOV 04 18:26:10	2018 NOV 04 19:29:01	2018 NOV 04 18:57:43	3766.0	-104.4	-69.2	61.3	63.6	-19.4	-63.6	13.4	
15	2018 NOV 04 20:24:00	2018 NOV 04 21:26:49	2018 NOV 04 20:55:33	3764.0	-133.2	-98.1	32.4	63.6	-19.4	-63.6	13.4	
16	2018 NOV 04 22:21:49	2018 NOV 04 23:24:37	2018 NOV 04 22:53:23	3764.0	-162.1	-127.0	3.4	63.6	-19.4	-63.6	13.4	
17	2018 NOV 05 00:19:39	2018 NOV 05 01:22:31	2018 NOV 05 00:51:13	3766.0	169.0	-155.9	-25.5	63.5	-19.5	-63.5	13.4	
18	2018 NOV 05 02:17:33	2018 NOV 05 03:20:25	2018 NOV 05 02:49:07	3768.0	139.9	175.1	-54.4	63.5	-19.5	-63.5	13.4	
19	2018 NOV 05 04:15:27	2018 NOV 05 05:18:17	2018 NOV 05 04:47:01	3764.0	111.1	146.1	-83.4	63.4	-19.6	-63.5	13.3	
20	2018 NOV 05 06:13:21	2018 NOV 05 07:16:09	2018 NOV 05 06:44:53	3764.0	82.2	117.2	-112.1	63.5	-19.6	-63.4	13.3	
21	2018 NOV 05 08:11:11	2018 NOV 05 09:13:59	2018 NOV 05 08:42:43	3762.0	53.5	88.2	-140.9	63.4	-19.7	-63.4	13.3	
22	2018 NOV 05 10:08:59	2018 NOV 05 11:11:47	2018 NOV 05 10:40:31	3762.0	24.6	59.3	-169.9	63.4	-19.7	-63.4	13.3	
23	2018 NOV 05 12:06:49	2018 NOV 05 13:09:37	2018 NOV 05 12:38:21	3762.0	-4.4	30.4	161.0	63.3	-19.7	-63.4	13.3	
24	2018 NOV 05 14:04:42	2018 NOV 05 15:07:33	2018 NOV 05 14:36:15	3766.0	-33.4	1.4	132.2	63.3	-19.8	-63.2	13.2	
25	2018 NOV 05 16:02:36	2018 NOV 05 17:05:27	2018 NOV 05 16:34:11	3766.0	-62.4	-27.5	103.2	63.3	-19.8	-63.3	13.2	
26	2018 NOV 05 18:00:29	2018 NOV 05 19:03:21	2018 NOV 05 18:32:03	3766.0	-91.1	-56.5	74.5	63.2	-19.9	-63.2	13.2	
27	2018 NOV 05 19:58:21	2018 NOV 05 21:01:11	2018 NOV 05 20:29:53	3766.0	-120.0	-85.4	45.7	63.2	-19.9	-63.2	13.2	
28	2018 NOV 05 21:56:10	2018 NOV 05 22:58:59	2018 NOV 05 22:27:43	3764.0	-148.8	-114.4	16.7	63.2	-19.9	-63.2	13.2	
29	2018 NOV 05 23:54:00	2018 NOV 06 00:56:51	2018 NOV 06 00:25:33	3766.0	-177.8	-143.3	-12.2	63.1	-20.0	-63.1	13.2	
30	2018 NOV 06 01:51:52	2018 NOV 06 02:54:45	2018 NOV 06 02:23:25	3768.0	153.2	-172.2	-41.2	63.1	-20.0	-63.0	13.1	
31	2018 NOV 06 03:49:47	2018 NOV 06 04:52:37	2018 NOV 06 04:21:19	3766.0	124.2	158.8	-70.2	63.1	-20.1	-63.1	13.1	
32	2018 NOV 06 05:47:41	2018 NOV 06 06:50:29	2018 NOV 06 06:19:13	3764.0	95.4	129.8	-99.0	63.0	-20.1	-63.0	13.1	
33	2018 NOV 06 07:45:33	2018 NOV 06 08:48:21	2018 NOV 06 08:17:05	3764.0	66.6	100.9	-127.7	63.0	-20.2	-63.0	13.1	
34	2018 NOV 06 09:43:22	2018 NOV 06 10:46:09	2018 NOV 06 10:14:53	3762.0	37.8	72.0	-156.6	63.0	-20.2	-63.0	13.1	
