Dayside Nadir Index	UTC Start Time	UTC End Time	UTC Minimum Incidence Angle Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Local Time (hrs)	
0	2018 MAY 19 17:13:55	2018 MAY 19 18:16:35	2018 MAY 19 17:45:17	3760.0	0.7	141.8	166.4	-46.7	-38.0	46.9	15.9	
1	2018 MAY 19 19:11:59	2018 MAY 19 20:14:37	2018 MAY 19 19:43:21	3758.0	-28.0	113.1	137.7	-47.2	-37.6	47.3	15.9	
2	2018 MAY 19 21:10:00	2018 MAY 19 22:12:37	2018 MAY 19 21:41:21	3758.0	-56.7	84.4	109.0	-47.6	-37.1	47.8	15.9	
3	2018 MAY 19 23:07:57	2018 MAY 20 00:10:33	2018 MAY 19 23:39:17	3756.0	-85.4	55.6	80.3	-48.1	-36.7	48.2	15.9	
4	2018 MAY 20 01:05:51	2018 MAY 20 02:08:29	2018 MAY 20 01:37:11	3758.0	-114.1	26.8	51.6	-48.4	-36.3	48.5	15.9	
5	2018 MAY 20 03:03:49	2018 MAY 20 04:06:29	2018 MAY 20 03:35:11	3760.0	-142.8	-2.1	22.9	-48.7	-36.0	48.8	15.9	
6	2018 MAY 20 05:01:49	2018 MAY 20 06:04:31	2018 MAY 20 05:33:13	3762.0	-171.6	-30.9	-5.9	-49.0	-35.6	49.2	15.9	
7	2018 MAY 20 06:59:50	2018 MAY 20 08:02:33	2018 MAY 20 07:31:13	3762.0	159.7	-59.7	-34.6	-49.5	-35.1	49.7	15.9	
8	2018 MAY 20 08:57:50	2018 MAY 20 10:00:31	2018 MAY 20 09:29:11	3760.0	131.0	-88.5	-63.3	-49.9	-34.7	50.1	15.9	
9	2018 MAY 20 10:55:48	2018 MAY 20 11:58:27	2018 MAY 20 11:27:07	3760.0	102.2	-117.2	-92.0	-50.2	-34.4	50.4	15.9	
10	2018 MAY 20 12:53:42	2018 MAY 20 13:56:21	2018 MAY 20 13:25:03	3760.0	73.5	-146.1	-120.8	-50.5	-34.1	50.6	15.9	
11	2018 MAY 20 14:51:37	2018 MAY 20 15:54:19	2018 MAY 20 15:22:59	3762.0	44.8	-175.0	-149.5	-50.8	-33.8	50.9	15.9	
12	2018 MAY 20 16:49:37	2018 MAY 20 17:52:19	2018 MAY 20 17:20:59	3762.0	16.1	156.1	-178.2	-51.1	-33.4	51.2	15.9	
13	2018 MAY 20 18:47:38	2018 MAY 20 19:50:19	2018 MAY 20 19:18:59	3760.0	-12.6	127.3	153.1	-51.4	-33.1	51.6	15.8	
14	2018 MAY 20 20:45:39	2018 MAY 20 21:48:19	2018 MAY 20 21:17:01	3760.0	-41.4	98.5	124.3	-51.8	-32.7	52.0	15.8	
15	2018 MAY 20 22:43:36	2018 MAY 20 23:46:15	2018 MAY 20 23:14:57	3760.0	-70.1	69.7	95.6	-52.2	-32.3	52.4	15.8	
16	2018 MAY 21 00:41:30	2018 MAY 21 01:44:09	2018 MAY 21 01:12:49	3760.0	-98.8	40.9	66.9	-52.4	-32.0	52.6	15.8	
17	2018 MAY 21 02:39:25	2018 MAY 21 03:42:05	2018 MAY 21 03:10:45	3760.0	-127.5	12.0	38.2	-52.7	-31.8	52.8	15.8	
18	2018 MAY 21 04:37:23	2018 MAY 21 05:40:05	2018 MAY 21 05:08:45	3762.0	-156.2	-16.9	9.5	-53.0	-31.5	53.0	15.8	
19	2018 MAY 21 06:35:22	2018 MAY 21 07:38:05	2018 MAY 21 07:06:45	3762.0	175.1	-45.8	-19.3	-53.3	-31.2	53.4	15.8	
20	2018 MAY 21 08:33:22	2018 MAY 21 09:36:05	2018 MAY 21 09:04:43	3764.0	146.3	-74.6	-48.0	-53.6	-30.8	53.8	15.8	
21	2018 MAY 21 10:31:19	2018 MAY 21 11:34:01	2018 MAY 21 11:02:39	3762.0	117.6	-103.4	-76.7	-53.9	-30.4	54.1	15.8	
22	2018 MAY 21 12:29:13	2018 MAY 21 13:31:53	2018 MAY 21 13:00:33	3760.0	88.9	-132.2	-105.4	-54.2	-30.1	54.3	15.8	
23	2018 MAY 21 14:27:06	2018 MAY 21 15:29:49	2018 MAY 21 14:58:27	3764.0	60.1	-161.1	-134.1	-54.4	-29.9	54.5	15.7	
24	2018 MAY 21 16:25:03	2018 MAY 21 17:27:47	2018 MAY 21 16:56:23	3764.0	31.5	170.0	-162.8	-54.6	-29.6	54.8	15.7	
25	2018 MAY 21 18:23:03	2018 MAY 21 19:25:45	2018 MAY 21 18:54:23	3762.0	2.7	141.0	168.4	-54.9	-29.4	55.0	15.7	
26	2018 MAY 21 20:21:03	2018 MAY 21 21:23:45	2018 MAY 21 20:52:23	3762.0	-26.0	112.2	139.7	-55.2	-29.0	55.4	15.7	
27	2018 MAY 21 22:19:01	2018 MAY 21 23:21:41	2018 MAY 21 22:50:21	3760.0	-54.7	83.4	111.0	-55.5	-28.7	55.7	15.7	
28	2018 MAY 22 00:16:54	2018 MAY 22 01:19:33	2018 MAY 22 00:48:13	3760.0	-83.5	54.6	82.2	-55.7	-28.5	55.9	15.7	
29	2018 MAY 22 02:14:46	2018 MAY 22 03:17:27	2018 MAY 22 02:46:05	3762.0	-112.2	25.6	53.5	-55.9	-28.3	56.0	15.7	
30	2018 MAY 22 04:12:42	2018 MAY 22 05:15:25	2018 MAY 22 04:44:03	3764.0	-140.9	-3.3	24.8	-56.1	-28.1	56.2	15.7	
31	2018 MAY 22 06:10:40	2018 MAY 22 07:13:25	2018 MAY 22 06:42:01	3766.0	-169.7	-32.2	-3.9	-56.3	-27.8	56.5	15.6	
32	2018 MAY 22 08:08:39	2018 MAY 22 09:11:23	2018 MAY 22 08:39:59	3764.0	161.7	-61.0	-32.7	-56.6	-27.4	56.8	15.6	
33	2018 MAY 22 10:06:36	2018 MAY 22 11:09:19	2018 MAY 22 10:37:55	3764.0	132.9	-89.9	-61.4	-56.9	-27.1	57.1	15.6	
34	2018 MAY 22 12:04:30	2018 MAY 22 13:07:11	2018 MAY 22 12:35:49	3762.0	104.1	-118.7	-90.2	-57.1	-26.9	57.2	15.6	
35	2018 MAY 22 14:02:22	2018 MAY 22 15:05:05	2018 MAY 22 14:33:41	3764.0	75.4	-147.6	-118.8	-57.3	-26.7	57.4	15.6	
36	2018 MAY 22 16:00:16	2018 MAY 22 17:03:01	2018 MAY 22 16:31:37	3766.0	46.7	-176.5	-147.6	-57.4	-26.5	57.6	15.6	
37	2018 MAY 22 17:58:14	2018 MAY 22 19:00:59	2018 MAY 22 18:29:35	3766.0	18.0	154.5	-176.3	-57.6	-26.3	57.8	15.6	
38	2018 MAY 22 19:56:14	2018 MAY 22 20:58:57	2018 MAY 22 20:27:33	3764.0	-10.8	125.6	155.0	-57.9	-26.0	58.0	15.6	
39	2018 MAY 22 21:54:12	2018 MAY 22 22:56:53	2018 MAY 22 22:25:31	3762.0	-39.5	96.8	126.2	-58.2	-25.8	58.3	15.6	
40	2018 MAY 22 23:52:07	2018 MAY 23 00:54:47	2018 MAY 23 00:23:25	3760.0	-68.2	68.0	97.5	-58.5	-25.5	58.5	15.5	
41	2018 MAY 23 01:49:58	2018 MAY 23 02:52:39	2018 MAY 23 02:21:17	3762.0	-97.0	39.1	68.8	-58.6	-25.3	58.6	15.5	
42	2018 MAY 23 03:47:52	2018 MAY 23 04:50:35	2018 MAY 23 04:19:11	3764.0	-125.7	10.1	40.1	-58.7	-25.2	58.8	15.5	
43	2018 MAY 23 05:45:49	2018 MAY 23 06:48:33	2018 MAY 23 06:17:09	3764.0	-154.3	-18.8	11.3	-58.9	-24.9	58.9	15.5	
44	2018 MAY 23 07:43:46	2018 MAY 23 08:46:31	2018 MAY 23 08:15:07	3766.0	176.9	-47.7	-17.4	-59.1	-24.7	59.2	15.5	
45	2018 MAY 23 09:41:43	2018 MAY 23 10:44:27	2018 MAY 23 10:13:03	3764.0	148.2	-76.6	-46.2	-59.3	-24.4	59.4	15.5	
46	2018 MAY 23 11:39:38	2018 MAY 23 12:42:21	2018 MAY 23 12:10:57	3764.0	119.4	-105.4	-74.9	-59.5	-24.1	59.7	15.5	
47	2018 MAY 23 13:37:30	2018 MAY 23 14:40:13	2018 MAY 23 14:08:49	3764.0	90.7	-134.3	-103.6	-59.8	-24.0	59.8	15.4	
48	2018 MAY 23 15:35:22	2018 MAY 23 16:38:07	2018 MAY 23 16:06:41	3766.0	62.0	-163.2	-132.3	-59.9	-23.8	59.9	15.4	
49	2018 MAY 23 17:33:18	2018 MAY 23 18:36:03	2018 MAY 23 18:04:37	3766.0	33.3	167.8	-161.0	-60.0	-23.6	60.1	15.4	
50	2018 MAY 23 19:31:16	2018 MAY 23 20:34:01	2018 MAY 23 20:02:35	3766.0	4.5	138.9	170.3	-60.1	-23.4	60.3	15.4	
51	2018 MAY 23 21:29:14	2018 MAY 23 22:31:57	2018 MAY 23 22:00:33	3764.0	-24.3	110.0	141.5	-60.4	-23.2	60.5	15.4	
52	2018 MAY 23 23:27:10	2018 MAY 24 00:29:51	2018 MAY 23 23:58:27	3762.0	-52.9	81.2	112.7	-60.7	-22.9	60.7	15.4	
53	2018 MAY 24 01:25:01	2018 MAY 24 02:27:43	2018 MAY 24 01:56:17	3762.0	-81.6	52.3	84.1	-60.8	-22.7	60.9	15.4	
54	2018 MAY 24 03:22:52	2018 MAY 24 04:25:35	2018 MAY 24 03:54:09	3764.0	-110.4	23.4	55.3	-60.9	-22.6	60.9	15.3	
55	2018 MAY 24 05:20:47	2018 MAY 24 06:23:31	2018 MAY 24 05:52:07	3764.0	-139.1	-5.6	26.5	-61.0	-22.5	61.0	15.3	
56	2018 MAY 24 07:18:44	2018 MAY 24 08:21:29	2018 MAY 24 07:50:03	3766.0	-167.9	-34.5	-2.2	-61.2	-22.3	61.2	15.3	
57	2018 MAY 24 09:16:41	2018 MAY 24 10:19:27	2018 MAY 24 09:47:59	3768.0	163.4	-63.4	-30.9	-61.3	-22.0	61.5	15.3	
58	2018 MAY 24 11:14:36	2018 MAY 24 12:17:21	2018 MAY 24 11:45:53	3766.0	134.7	-92.3	-59.6	-61.6	-21.8	61.7	15.3	
59	2018 MAY 24 13:12:28	2018 MAY 24 14:15:11	2018 MAY 24 13:43:45	3764.0	105.9	-121.1	-88.4	-61.7	-21.6	61.8	15.3	
60	2018 MAY 24 15:10:19	2018 MAY 24 16:13:03	2018 MAY 24 15:41:37	3764.0	77.3	-150.1	-117.1	-61.9	-21.5	61.8	15.3	
61	2018 MAY 24 17:08:12	2018 MAY 24 18:10:59	2018 MAY 24 17:39:31	3768.0	48.5	-179.0	-145.8	-61.9	-21.4	62.0	15.2	
62	2018 MAY 24 19:06:10	2018 MAY 24 20:08:55	2018 MAY 24 19:37:29	3766.0	19.8	152.0	-174.6	-62.0	-21.2	62.1	15.2	
63	2018 MAY 24 21:04:08	2018 MAY 24 22:06:53	2018 MAY 24 21:35:27	3766.0	-9.0	123.1	156.7	-62.2	-21.0	62.3	15.2	
64	2018 MAY 24 23:02:04	2018 MAY 25 00:04:47	2018 MAY 24 23:33:21	3764.0	-37.8	94.2	127.9	-62.4	-20.8	62.5	15.2	
65	2018 MAY 25 00:59:57	2018 MAY 25 02:02:39	2018 MAY 25 01:31:13	3762.0	-66.4	65.4	99.2	-62.7	-20.6	62.7	15.2	
66	2018 MAY 25 02:57:48	2018 MAY 25 04:00:31	2018 MAY 25 03:29:03	3764.0	-95.2	36.5	70.5	-62.7	-20.4	62.8	15.2	
67	2018 MAY 25 04:55:41	2018 MAY 25 05:58:25	2018 MAY 25 05:26:59	3764.0	-123.8	7.5	41.8	-62.8	-20.3	62.8	15.2	
68	2018 MAY 25 06:53:36	2018 MAY 25 07:56:23	2018 MAY 25 07:24:55	3768.0	-152.7	-21.4	13.1	-62.9	-20.2	63.0	15.1	
