Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
N/A	0	Grazing	2018 MAY 19 16:32:53	2018 MAY 19 17:02:37	-	1784.0	-159.8	85.6	18.6	
ACS	1	Grazing	2018 MAY 19 18:30:44	2018 MAY 19 19:00:47	-	1803.0	170.9	85.4	18.6	
NOMAD	2	Grazing	2018 MAY 19 20:28:31	2018 MAY 19 20:58:58	-	1827.0	141.7	85.2	18.5	
ACS	3	Grazing	2018 MAY 19 22:26:17	2018 MAY 19 22:57:07	-	1850.0	112.7	85.2	18.5	
NOMAD	4	Grazing	2018 MAY 20 00:24:06	2018 MAY 20 00:55:13	-	1867.0	83.9	85.2	18.5	
N/A	5	Grazing	2018 MAY 20 02:21:53	2018 MAY 20 02:53:18	-	1885.0	54.9	85.1	18.5	
ACS	6	Grazing	2018 MAY 20 04:19:38	2018 MAY 20 04:51:27	-	1909.0	25.6	84.9	18.4	
N/A	7	Grazing	2018 MAY 20 06:17:29	2018 MAY 20 06:49:40	-	1931.0	-3.5	84.7	18.4	
N/A	8	Grazing	2018 MAY 20 08:15:23	2018 MAY 20 08:47:53	-	1950.0	-32.1	85.0	18.4	
NOMAD	9	Grazing	2018 MAY 20 10:13:13	2018 MAY 20 10:46:00	-	1967.0	-61.0	84.9	18.4	
NOMAD	10	Grazing	2018 MAY 20 12:10:55	2018 MAY 20 12:44:01	-	1986.0	-90.4	84.5	18.4	
N/A	11	Grazing	2018 MAY 20 14:08:40	2018 MAY 20 14:42:02	-	2002.0	-119.3	84.4	18.3	
N/A	12	Grazing	2018 MAY 20 16:06:32	2018 MAY 20 16:40:07	-	2015.0	-147.9	84.8	18.3	
N/A	13	Grazing	2018 MAY 20 18:04:25	2018 MAY 20 18:38:13	-	2028.0	-177.0	84.5	18.3	
N/A	14	Grazing	2018 MAY 20 20:02:14	2018 MAY 20 20:36:20	-	2046.0	154.0	84.4	18.3	
NOMAD	15	Grazing	2018 MAY 20 22:00:02	2018 MAY 20 22:34:25	-	2063.0	125.1	84.3	18.3	
ACS	16	Merged	2018 MAY 20 23:57:50	2018 MAY 21 00:32:28	-	2078.0	96.2	84.3	18.3	
N/A	17	Merged	2018 MAY 21 01:55:39	2018 MAY 21 02:30:28	-	2089.0	67.3	84.3	18.2	
NOMAD	18	Merged	2018 MAY 21 03:53:25	2018 MAY 21 04:28:31	-	2106.0	38.3	84.1	18.2	
N/A	19	Merged	2018 MAY 21 05:51:15	2018 MAY 21 06:26:38	-	2123.0	9.3	83.8	18.2	
N/A	20	Merged	2018 MAY 21 07:49:09	2018 MAY 21 08:24:48	-	2139.0	-19.4	84.1	18.2	
NOMAD	21	Merged	2018 MAY 21 09:47:02	2018 MAY 21 10:22:54	-	2152.0	-48.3	84.0	18.2	
ACS	22	Ingress	2018 MAY 21 11:44:48	2018 MAY 21 11:57:07	2018 MAY 21 11:53:49	739.0	-77.2	84.0	18.2	
N/A	23	Egress	2018 MAY 21 12:08:08	2018 MAY 21 12:20:54	2018 MAY 21 12:11:28	766.0	93.9	12.6	6.0	
N/A	24	Ingress	2018 MAY 21 13:42:33	2018 MAY 21 13:54:31	2018 MAY 21 13:51:23	718.0	-106.1	84.0	18.2	
N/A	25	Egress	2018 MAY 21 14:06:26	2018 MAY 21 14:18:51	2018 MAY 21 14:09:37	745.0	65.2	10.9	6.0	
N/A	26	Ingress	2018 MAY 21 15:40:24	2018 MAY 21 15:52:04	2018 MAY 21 15:49:03	700.0	-135.0	83.9	18.1	
N/A	27	Egress	2018 MAY 21 16:04:45	2018 MAY 21 16:16:52	2018 MAY 21 16:07:49	727.0	36.4	9.5	6.0	
N/A	28	Ingress	2018 MAY 21 17:38:17	2018 MAY 21 17:49:42	2018 MAY 21 17:46:47	685.0	-163.9	83.7	18.1	
N/A	29	Egress	2018 MAY 21 18:03:04	2018 MAY 21 18:14:56	2018 MAY 21 18:06:01	712.0	7.6	8.1	6.0	
NOMAD	30	Ingress	2018 MAY 21 19:36:09	2018 MAY 21 19:47:20	2018 MAY 21 19:44:30	671.0	167.3	84.0	18.1	
NOMAD	31	Egress	2018 MAY 21 20:01:23	2018 MAY 21 20:13:00	2018 MAY 21 20:04:14	697.0	-21.2	6.6	6.0	
NOMAD	32	Ingress	2018 MAY 21 21:33:58	2018 MAY 21 21:44:56	2018 MAY 21 21:42:12	658.0	138.4	83.8	18.1	
NOMAD	33	Egress	2018 MAY 21 21:59:39	2018 MAY 21 22:11:03	2018 MAY 21 22:02:25	684.0	-50.0	5.2	6.0	
NOMAD	34	Ingress	2018 MAY 21 23:31:46	2018 MAY 21 23:42:33	2018 MAY 21 23:39:53	647.0	109.6	83.8	18.1	
NOMAD	35	Egress	2018 MAY 21 23:57:52	2018 MAY 22 00:09:05	2018 MAY 22 00:00:34	673.0	-78.7	3.9	6.0	
N/A	36	Ingress	2018 MAY 22 01:29:36	2018 MAY 22 01:40:10	2018 MAY 22 01:37:34	634.0	80.7	83.8	18.1	
N/A	37	Egress	2018 MAY 22 01:56:02	2018 MAY 22 02:07:03	2018 MAY 22 01:58:40	661.0	-107.5	2.7	6.0	
NOMAD	38	Ingress	2018 MAY 22 03:27:24	2018 MAY 22 03:37:45	2018 MAY 22 03:35:14	621.0	51.8	83.7	18.1	
