Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
N/A	0	Ingress	2018 AUG 11 14:57:37	2018 AUG 11 15:02:43	2018 AUG 11 15:01:32	306.0	-31.7	-48.0	19.5	
N/A	1	Egress	2018 AUG 11 15:40:39	2018 AUG 11 15:45:29	2018 AUG 11 15:41:48	290.0	165.1	66.0	9.3	
N/A	2	Ingress	2018 AUG 11 16:55:34	2018 AUG 11 17:00:40	2018 AUG 11 16:59:29	306.0	-60.7	-47.7	19.5	
NOMAD	3	Egress	2018 AUG 11 17:38:33	2018 AUG 11 17:43:25	2018 AUG 11 17:39:43	292.0	136.5	66.0	9.3	
ACS	4	Ingress	2018 AUG 11 18:53:28	2018 AUG 11 18:58:36	2018 AUG 11 18:57:25	308.0	-89.4	-47.6	19.5	
N/A	5	Egress	2018 AUG 11 19:36:26	2018 AUG 11 19:41:18	2018 AUG 11 19:37:35	292.0	107.9	66.0	9.3	
N/A	6	Ingress	2018 AUG 11 20:51:20	2018 AUG 11 20:56:29	2018 AUG 11 20:55:18	309.0	-118.1	-47.5	19.5	
NOMAD	7	Egress	2018 AUG 11 21:34:16	2018 AUG 11 21:39:09	2018 AUG 11 21:35:26	293.0	79.3	66.0	9.3	
ACS	8	Ingress	2018 AUG 11 22:49:12	2018 AUG 11 22:54:22	2018 AUG 11 22:53:11	310.0	-146.9	-47.4	19.5	
N/A	9	Egress	2018 AUG 11 23:32:07	2018 AUG 11 23:37:01	2018 AUG 11 23:33:17	294.0	50.5	66.0	9.3	
N/A	10	Ingress	2018 AUG 12 00:47:08	2018 AUG 12 00:52:17	2018 AUG 12 00:51:06	309.0	-175.9	-47.0	19.4	
NOMAD	11	Egress	2018 AUG 12 01:29:59	2018 AUG 12 01:34:54	2018 AUG 12 01:31:09	295.0	21.8	65.9	9.3	
N/A	12	Ingress	2018 AUG 12 02:45:05	2018 AUG 12 02:50:15	2018 AUG 12 02:49:03	310.0	155.2	-46.6	19.4	
N/A	13	Egress	2018 AUG 12 03:27:54	2018 AUG 12 03:32:48	2018 AUG 12 03:29:04	294.0	-7.0	65.9	9.3	
N/A	14	Ingress	2018 AUG 12 04:43:02	2018 AUG 12 04:48:13	2018 AUG 12 04:47:02	311.0	126.5	-46.6	19.4	
NOMAD	15	Egress	2018 AUG 12 05:25:48	2018 AUG 12 05:30:43	2018 AUG 12 05:26:59	295.0	-35.6	65.9	9.3	
