Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
14	88	Nightside	2024 DEC 22 17:23:50	2024 DEC 22 17:53:15	2024 DEC 22 18:22:39	3528.88	24.25	68.75	-170.09	71.65	-10.82	-71.61	167.24	23.16	14	-	-	-		
14	88	Dayside	2024 DEC 22 18:22:39	2024 DEC 22 18:52:12	2024 DEC 22 19:21:44	3544.95	-170.09	-125.29	-4.54	-71.61	12.41	71.56	12.88	11.18	14	-		COP row -1: 		
15	88	Nightside	2024 DEC 22 19:21:44	2024 DEC 22 19:51:09	2024 DEC 22 20:20:34	3529.84	-4.54	39.86	161.11	71.56	-10.93	-71.52	167.03	23.14	1	-	-	-		
15	88	Dayside	2024 DEC 22 20:20:34	2024 DEC 22 20:50:08	2024 DEC 22 21:19:41	3546.95	161.11	-154.20	-33.34	-71.52	12.50	71.46	13.10	11.16	1	-		COP row -1: 		
16	88	Nightside	2024 DEC 22 21:19:41	2024 DEC 22 21:49:07	2024 DEC 22 22:18:32	3531.36	-33.34	10.93	132.29	71.46	-10.99	-71.41	166.81	23.13	14	-	-	-		
16	88	Dayside	2024 DEC 22 22:18:32	2024 DEC 22 22:48:06	2024 DEC 22 23:17:39	3546.84	132.29	176.88	-62.11	-71.41	12.62	71.39	13.33	11.15	14	-		COP row -1: 		
17	88	Nightside	2024 DEC 22 23:17:39	2024 DEC 22 23:47:06	2024 DEC 23 00:16:32	3532.67	-62.11	-18.01	103.53	71.39	-11.06	-71.35	166.58	23.11	1	-	-	-		
17	88	Dayside	2024 DEC 23 00:16:32	2024 DEC 23 00:46:04	2024 DEC 23 01:15:37	3545.20	103.53	147.93	-90.83	-71.35	12.70	71.35	13.57	11.13	1	-		COP row -1: 	&daysideMatch:AEOLIS MENSAE MFF; 	
18	88	Nightside	2024 DEC 23 01:15:37	2024 DEC 23 01:45:04	2024 DEC 23 02:14:30	3533.02	-90.83	-46.95	74.85	71.35	-11.15	-71.34	166.34	23.10	14	-	-	-		
18	88	Dayside	2024 DEC 23 02:14:30	2024 DEC 23 02:44:02	2024 DEC 23 03:13:33	3543.20	74.85	118.99	-119.51	-71.34	12.76	71.33	13.79	11.12	14	-		COP row -1: 		
19	88	Nightside	2024 DEC 23 03:13:33	2024 DEC 23 03:42:59	2024 DEC 23 04:12:25	3531.66	-119.51	-75.88	46.20	71.33	-11.24	-71.33	166.11	23.08	1	-	-	-		
19	88	Dayside	2024 DEC 23 04:12:25	2024 DEC 23 04:41:56	2024 DEC 23 05:11:27	3542.35	46.20	90.08	-148.18	-71.33	12.83	71.31	14.02	11.10	1	-		COP row -1: 	&ingressMatch:PHOENIX; 	
20	88	Nightside	2024 DEC 23 05:11:27	2024 DEC 23 05:40:52	2024 DEC 23 06:10:17	3529.87	-148.18	-104.78	17.48	71.31	-11.31	-71.28	165.90	23.07	14	-	-	-		
20	88	Dayside	2024 DEC 23 06:10:17	2024 DEC 23 06:39:49	2024 DEC 23 07:09:21	3543.46	17.48	61.19	-176.92	-71.28	12.94	71.25	14.23	11.09	14	-		COP row -1: 		
21	88	Nightside	2024 DEC 23 07:09:21	2024 DEC 23 07:38:46	2024 DEC 23 08:08:12	3531.06	-176.92	-133.67	-11.33	71.25	-11.38	-71.18	165.70	23.06	1	-	-	-		
21	88	Dayside	2024 DEC 23 08:08:12	2024 DEC 23 08:37:44	2024 DEC 23 09:07:17	3545.25	-11.33	32.29	154.25	-71.18	13.02	71.13	14.43	11.08	1	-		COP row -1: 		
22	88	Nightside	2024 DEC 23 09:07:17	2024 DEC 23 09:36:43	2024 DEC 23 10:06:10	3532.61	154.25	-162.58	-40.12	71.13	-11.50	-71.09	165.48	23.04	1	-	-	-		
22	88	Dayside	2024 DEC 23 10:06:10	2024 DEC 23 10:35:43	2024 DEC 23 11:05:16	3546.11	-40.12	3.37	125.45	-71.09	13.07	71.04	14.64	11.06	1	H2O CO 2SUBD #1	Science: orders #168, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&mroOverlap; 	
23	88	Nightside	2024 DEC 23 11:05:16	2024 DEC 23 11:34:42	2024 DEC 23 12:04:08	3532.37	125.45	168.48	-68.88	71.04	-11.62	-71.03	165.24	23.03	14	-	-	-		
23	88	Dayside	2024 DEC 23 12:04:08	2024 DEC 23 12:33:41	2024 DEC 23 13:03:15	3546.54	-68.88	-25.58	96.71	-71.03	13.16	70.99	14.88	11.05	14	-		COP row -1: 		
24	88	Nightside	2024 DEC 23 13:03:15	2024 DEC 23 13:32:40	2024 DEC 23 14:02:05	3530.77	96.71	139.53	-97.59	70.99	-11.69	-70.99	165.00	23.01	1	-	-	-		
24	88	Dayside	2024 DEC 23 14:02:05	2024 DEC 23 14:31:38	2024 DEC 23 15:01:12	3546.24	-97.59	-54.53	68.04	-70.99	13.26	70.98	15.13	11.03	1	-		COP row -1: 	&daysideMatch:EASTERN COPRATES; &daysideMatch:COPRATES RISE; 	
25	88	Nightside	2024 DEC 23 15:01:12	2024 DEC 23 15:30:36	2024 DEC 23 16:00:01	3529.08	68.04	110.60	-126.28	70.98	-11.74	-70.96	164.78	23.00	14	-	-	-		
25	88	Dayside	2024 DEC 23 16:00:01	2024 DEC 23 16:29:33	2024 DEC 23 16:59:06	3545.21	-126.28	-83.45	39.37	-70.96	13.35	70.97	15.36	11.02	14	-		COP row -1: 		
26	88	Nightside	2024 DEC 23 16:59:06	2024 DEC 23 17:28:30	2024 DEC 23 17:57:54	3528.16	39.37	81.69	-154.96	70.97	-11.82	-70.93	164.56	22.98	1	-	-	-		
