NOM_01, OCCEG, 24, 28, 32, 52, 57, 63, 68, 75, 81, 86, 117, 143, 148, 149, 180, 190, 192, 214, 236, 246, 264, 314, 324
NOM_01, OCCIN, 34, 38, 40, 46, 60, 88, 94, 95, 101, 111, 117, 123, 126, 134, 138, 143, 165, 205, 227, 247, 259, 277, 293, 301, 305
NOM_01, OCCME, 18
NOM_01, OCCGR, 1, 8, 16
DUST01, OCCEG, 113, 142, 244
DUST01, OCCIN, 32, 57, 86, 187, 299
ICE_01, OCCEG, 34, 60, 88, 194, 252, 306
ICE_01, OCCIN, 118, 146
AER_01, OCCEG, 110, 136, 178, 234, 290
AER_01, OCCIN, 28, 52, 81
