TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2021 AUG 07 16:39:00,1,1
2021 AUG 09 00:06:00,17,17
2021 AUG 10 13:27:00,36,36
2021 AUG 12 10:39:00,59,59
2021 AUG 13 18:06:00,75,75
2021 AUG 15 07:27:00,94,94
2021 AUG 16 20:48:00,113,113
2021 AUG 18 21:57:00,138,138
2021 AUG 19 01:54:00,140,140
2021 AUG 20 05:24:00,154,154
2021 AUG 20 09:21:00,156,156
2021 AUG 20 19:12:00,161,161
2021 AUG 21 16:48:00,172,172
2021 AUG 25 02:24:00,214,214
2021 AUG 25 06:21:00,216,216
2021 AUG 25 10:18:00,218,218
2021 AUG 25 14:15:00,220,220
2021 AUG 26 11:51:00,231,231
2021 AUG 26 15:48:00,233,233
2021 AUG 26 19:45:00,235,235
2021 AUG 26 23:42:00,237,237
2021 AUG 27 03:39:00,239,239
2021 AUG 28 05:12:00,252,252
2021 AUG 28 07:12:00,253,253
2021 AUG 28 11:03:00,255,255
2021 AUG 28 11:09:00,255,255
2021 AUG 29 22:30:00,273,273
2021 AUG 29 22:36:00,273,273
2021 AUG 30 02:27:00,275,275
2021 AUG 31 09:57:00,291,291
2021 AUG 31 10:03:00,291,291
2021 AUG 31 11:57:00,292,292
2021 AUG 31 13:54:00,293,293
2021 AUG 31 15:54:00,294,294
2021 AUG 31 17:51:00,295,295
2021 AUG 31 19:51:00,296,296
2021 SEP 01 23:24:00,310,310
2021 SEP 01 23:27:00,310,310
2021 SEP 02 03:21:00,312,312
2021 SEP 02 07:18:00,314,314
2021 SEP 02 11:15:00,316,316
2021 SEP 03 14:48:00,330,330
2021 SEP 03 18:45:00,332,332
2021 SEP 03 22:42:00,334,334
