S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2024 JUL 08 19:36:00,-74.5724,118.502,251.4222,15.3003,57.0865,1.1577e-14,57.0865
TGO,2024 JUL 08 19:27:00,-75.6663,119.9904,381.084,15.2536,57.5539,0.51967,57.5195

MRO,2024 JUL 09 01:12:00,-76.0773,37.6911,251.4948,15.3611,58.1271,1.1901e-14,58.1271
TGO,2024 JUL 09 01:21:00,-75.4625,34.8715,380.474,15.3189,57.6609,1.1414,58.6908

MRO,2024 JUL 15 10:33:00,-73.161,-43.0209,251.0352,15.1722,56.5255,1.0668e-14,56.5255
TGO,2024 JUL 15 10:39:00,-74.2183,-47.6194,380.8873,14.9631,56.4682,0.37352,56.5043

MRO,2024 JUL 16 23:57:00,-72.7469,130.7519,250.4623,15.1436,56.3587,1.4312e-14,56.3587
TGO,2024 JUL 17 00:00:00,-72.9717,129.9785,380.8007,15.1408,56.4787,0.39006,56.5161

MRO,2024 JUL 18 13:21:00,-72.1107,-55.4913,250.3896,15.1144,56.0617,1.5003e-14,56.0617
TGO,2024 JUL 18 13:21:00,-71.65,-54.0321,381.9742,15.2119,56.168,0.40379,56.2031

MRO,2024 JUL 20 02:45:00,-71.0224,118.0953,250.9424,15.0742,55.4587,4.2937e-14,55.4587
TGO,2024 JUL 20 02:42:00,-70.063,121.3417,380.5418,15.2419,55.6061,0.41823,55.6371

MRO,2024 JUL 20 08:21:00,-72.3928,36.8874,250.8876,15.1089,56.4165,2.736e-14,56.4165
TGO,2024 JUL 20 08:36:00,-69.6086,36.2621,379.1211,15.3103,55.6919,0.42445,55.725

MRO,2024 JUL 22 01:30:00,-69.7177,154.7764,250.139,15.0042,54.6477,2.3801e-14,54.6477
TGO,2024 JUL 22 01:54:00,-68.551,151.9225,380.9281,15.2031,54.8601,39.2136,65.4355

MRO,2024 JUL 23 05:33:00,-69.0781,105.3437,250.867,14.9997,54.3971,3.2318e-14,54.3971
TGO,2024 JUL 23 05:24:00,-66.6856,109.8742,379.7733,15.1558,53.7807,0.62729,53.3145

MRO,2024 JUL 26 15:51:00,-61.9482,-18.2839,252.3617,14.8319,49.8727,4.0011e-14,49.8727
TGO,2024 JUL 26 15:57:00,-64.2312,-21.2695,380.5757,14.7303,50.6668,0.68692,50.05

MRO,2024 JUL 28 05:15:00,-60.6962,155.4169,250.711,14.8011,49.1821,2.4013e-14,49.1821
TGO,2024 JUL 28 05:18:00,-62.2581,151.6498,380.0094,14.5986,48.96,1.0623,47.9024

MRO,2024 JUL 28 09:00:00,-58.6774,100.4987,251.3175,14.7886,48.0041,6.02e-14,48.0041
TGO,2024 JUL 28 09:15:00,-59.4281,97.3459,379.2242,14.8217,48.6263,2.9325,45.6976

MRO,2024 JUL 29 16:48:00,-55.2249,-4.3992,253.5386,14.7361,45.967,6.2655e-14,45.967
TGO,2024 JUL 29 16:42:00,-57.7208,-5.0365,380.0582,14.5961,46.3916,1.7379,47.9623

MRO,2024 JUL 29 22:24:00,-56.9952,-85.772,250.3598,14.76,47.1004,1.0059e-13,47.1004
TGO,2024 JUL 29 22:36:00,-57.3299,-90.5173,379.1716,14.6381,46.4702,3.0551,43.4319

MRO,2024 JUL 31 04:21:00,-49.358,-164.114,252.3598,14.6781,42.7975,2.2546e-14,42.7975
TGO,2024 JUL 31 04:06:00,-52.861,-162.5983,380.557,14.5358,43.4118,4.4614,47.7197

MRO,2024 JUL 31 09:57:00,-51.3366,114.4434,251.8801,14.6972,43.9219,6.4637e-14,43.9219
