Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,1,2023 FEB 18 14:58:24,2023 FEB 18 16:56:23,7079,2023 FEB 18 14:56:24,2023 FEB 18 15:55:08,3524,2023 FEB 18 15:55:09,2023 FEB 18 16:54:23,3554,36.1247,2023 FEB 18 16:25:02
1,1,2,2023 FEB 18 16:56:24,2023 FEB 18 18:54:20,7076,2023 FEB 18 16:54:24,2023 FEB 18 17:53:07,3523,2023 FEB 18 17:53:08,2023 FEB 18 18:52:20,3552,35.9221,2023 FEB 18 18:23:00
3,3,3,2023 FEB 18 18:54:21,2023 FEB 18 20:52:14,7073,2023 FEB 18 18:52:21,2023 FEB 18 19:51:04,3523,2023 FEB 18 19:51:05,2023 FEB 18 20:50:14,3549,35.728,2023 FEB 18 20:20:55
1,1,4,2023 FEB 18 20:52:15,2023 FEB 18 22:50:07,7072,2023 FEB 18 20:50:15,2023 FEB 18 21:48:57,3522,2023 FEB 18 21:48:58,2023 FEB 18 22:48:07,3549,35.5225,2023 FEB 18 22:18:49
3,3,5,2023 FEB 18 22:50:08,2023 FEB 19 00:48:04,7076,2023 FEB 18 22:48:08,2023 FEB 18 23:46:51,3523,2023 FEB 18 23:46:52,2023 FEB 19 00:46:04,3552,35.2805,2023 FEB 19 00:16:44
1,1,6,2023 FEB 19 00:48:05,2023 FEB 19 02:46:02,7077,2023 FEB 19 00:46:05,2023 FEB 19 01:44:49,3524,2023 FEB 19 01:44:50,2023 FEB 19 02:44:02,3552,35.0328,2023 FEB 19 02:14:42
1,1,7,2023 FEB 19 02:46:03,2023 FEB 19 04:44:01,7078,2023 FEB 19 02:44:03,2023 FEB 19 03:42:49,3526,2023 FEB 19 03:42:50,2023 FEB 19 04:42:01,3551,34.8034,2023 FEB 19 04:12:41
3,3,8,2023 FEB 19 04:44:02,2023 FEB 19 06:41:58,7076,2023 FEB 19 04:42:02,2023 FEB 19 05:40:47,3525,2023 FEB 19 05:40:48,2023 FEB 19 06:39:58,3550,34.5994,2023 FEB 19 06:10:40
1,1,9,2023 FEB 19 06:41:59,2023 FEB 19 08:39:53,7074,2023 FEB 19 06:39:59,2023 FEB 19 07:38:44,3525,2023 FEB 19 07:38:45,2023 FEB 19 08:37:53,3548,34.4116,2023 FEB 19 08:08:35
3,3,10,2023 FEB 19 08:39:54,2023 FEB 19 10:37:45,7071,2023 FEB 19 08:37:54,2023 FEB 19 09:36:37,3523,2023 FEB 19 09:36:38,2023 FEB 19 10:35:45,3547,34.2048,2023 FEB 19 10:06:28
1,1,11,2023 FEB 19 10:37:46,2023 FEB 19 12:35:40,7074,2023 FEB 19 10:35:46,2023 FEB 19 11:34:31,3525,2023 FEB 19 11:34:32,2023 FEB 19 12:33:40,3548,33.963,2023 FEB 19 12:04:22
3,3,12,2023 FEB 19 12:35:41,2023 FEB 19 14:33:39,7078,2023 FEB 19 12:33:41,2023 FEB 19 13:32:28,3527,2023 FEB 19 13:32:29,2023 FEB 19 14:31:39,3550,33.7214,2023 FEB 19 14:02:20
1,1,13,2023 FEB 19 14:33:40,2023 FEB 19 16:31:39,7079,2023 FEB 19 14:31:40,2023 FEB 19 15:30:26,3526,2023 FEB 19 15:30:27,2023 FEB 19 16:29:39,3552,33.4954,2023 FEB 19 16:00:19
1,1,14,2023 FEB 19 16:31:40,2023 FEB 19 18:29:37,7077,2023 FEB 19 16:29:40,2023 FEB 19 17:28:24,3524,2023 FEB 19 17:28:25,2023 FEB 19 18:27:37,3552,33.2802,2023 FEB 19 17:58:17
3,3,15,2023 FEB 19 18:29:38,2023 FEB 19 20:27:32,7074,2023 FEB 19 18:27:38,2023 FEB 19 19:26:21,3523,2023 FEB 19 19:26:22,2023 FEB 19 20:25:32,3550,33.0821,2023 FEB 19 19:56:13
3,3,16,2023 FEB 19 20:27:33,2023 FEB 19 22:25:25,7072,2023 FEB 19 20:25:33,2023 FEB 19 21:24:16,3523,2023 FEB 19 21:24:17,2023 FEB 19 22:23:25,3548,32.8822,2023 FEB 19 21:54:07
1,1,17,2023 FEB 19 22:25:26,2023 FEB 20 00:23:20,7074,2023 FEB 19 22:23:26,2023 FEB 19 23:22:09,3523,2023 FEB 19 23:22:10,2023 FEB 20 00:21:20,3550,32.6555,2023 FEB 19 23:52:01
3,3,18,2023 FEB 20 00:23:21,2023 FEB 20 02:21:17,7076,2023 FEB 20 00:21:21,2023 FEB 20 01:20:06,3525,2023 FEB 20 01:20:07,2023 FEB 20 02:19:17,3550,32.4045,2023 FEB 20 01:49:58
