MRO time overlap (UTC),MRO subSC lat (deg),MRO subSC lon (deg),MRO S/C altitude (km),MRO LST (h),MRO Incidence angle (deg),MRO Emission angle (deg),MRO Phase angle (deg),TGO time overlap (UTC),UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),TGO S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
2026 SEP 27 04:24:00,-54.0716,-134.586,252.9877,14.7014,63.1199,1.6218e-14,63.1199,2026 SEP 27 04:03:00,-56.8093,-132.6018,380.1015,14.4931,63.8188,0.43778,63.7373
2026 SEP 27 10:00:00,-56.3252,143.8752,252.2766,14.7167,64.806,4.6744e-14,64.806,2026 SEP 27 09:57:00,-57.3294,141.1177,378.9673,14.4842,64.202,0.53143,63.8774
2026 SEP 29 04:57:00,-67.9276,-120.3832,251.3208,14.9089,74.1479,3.7091e-14,74.1479,2026 SEP 29 05:15:00,-67.9668,-121.2541,380.4255,15.1428,75.1395,0.57034,75.5932
2026 OCT 03 17:24:00,-69.8819,97.1576,251.633,14.9817,76.6999,1.4494e-14,76.6999,2026 OCT 03 17:21:00,-70.6784,94.1533,379.4452,14.7328,76.3915,0.37728,76.3838
2026 OCT 05 06:48:00,-70.0348,-88.8051,249.8308,14.9914,77.1588,1.7996e-14,77.1588,2026 OCT 05 06:42:00,-72.1157,-90.2794,379.1202,14.7958,77.9599,0.36973,77.9637
2026 OCT 11 14:15:00,-73.0098,-138.4456,252.4419,15.1125,80.8759,3.1163e-14,80.8759,2026 OCT 11 14:03:00,-75.0683,-138.6505,381.7082,14.9042,81.6867,1.0765,82.704
2026 OCT 11 19:51:00,-75.2391,141.1202,251.8501,15.2017,82.6701,5.1727e-14,82.6701,2026 OCT 11 19:57:00,-75.3926,138.1016,379.1721,15.0978,82.4841,1.8395,84.2884
2026 OCT 13 14:51:00,-76.2883,-125.5718,252.4623,15.2811,83.9359,3.6299e-14,83.9359,2026 OCT 13 15:12:00,-75.7166,-126.9373,381.4633,15.5308,84.2859,2.3864,86.6439
2026 OCT 16 02:42:00,-74.2727,79.2544,250.4699,15.1983,82.8959,1.3114e-14,82.8959,2026 OCT 16 02:09:00,-75.8032,83.6078,380.077,14.9533,83.2531,0.35023,83.2955
2026 OCT 16 08:18:00,-76.2764,-1.4365,253.5193,15.2706,84.4537,2.7797e-14,84.4537,2026 OCT 16 08:03:00,-75.9405,-0.56842,379.551,15.085,83.7387,0.36602,83.8446
2026 OCT 22 23:15:00,-74.5667,-163.1135,251.5635,15.2258,84.5424,1.9878e-14,84.5424,2026 OCT 22 23:15:00,-75.2846,-165.3907,378.533,15.0739,84.5935,0.356,84.6263
2026 OCT 24 12:39:00,-73.9259,10.5343,253.1341,15.2106,84.3826,6.472e-15,84.3826,2026 OCT 24 12:36:00,-74.4671,13.01,379.1179,15.3269,85.0884,0.36975,85.1239
2026 OCT 24 18:15:00,-75.9656,-69.5326,250.3301,15.3242,86.0842,2.2448e-14,86.0842,2026 OCT 24 18:30:00,-73.9939,-71.1215,381.7223,15.4617,85.263,0.37761,85.3004
