Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	48	Ingress	2021 NOV 27 15:56:20	2021 NOV 27 15:59:57	2021 NOV 27 16:00:41	261.00	-40.41	-30.02	-28.21	-66.41	-61.66	-60.52	15.50	3	-	-	-		
N/A	1	48	Egress	2021 NOV 27 16:38:25	2021 NOV 27 16:39:07	2021 NOV 27 16:42:24	239.00	49.36	52.26	67.38	67.17	67.99	70.77	21.62	3	-	-	-		
NOMAD	2	48	Ingress	2021 NOV 27 17:54:16	2021 NOV 27 17:57:53	2021 NOV 27 17:58:37	261.00	-68.81	-58.44	-56.63	-66.33	-61.52	-60.37	15.52	1	6SUBD CH4 H2O #1	Science: orders #169, #132, #133, #134, #136, #137, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	2	48	Egress	2021 NOV 27 18:36:17	2021 NOV 27 18:36:59	2021 NOV 27 18:40:16	239.00	20.27	23.16	38.29	67.07	67.90	70.74	21.59	1	CO2 100km #1	Science: orders #167, #155, #159, #164, #148, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
ACS	3	48	Ingress	2021 NOV 27 19:52:16	2021 NOV 27 19:55:53	2021 NOV 27 19:56:37	261.00	-97.20	-86.86	-85.06	-66.24	-61.37	-60.21	15.54	14	-	-	-		
ACS	3	48	Egress	2021 NOV 27 20:34:14	2021 NOV 27 20:34:56	2021 NOV 27 20:38:14	240.00	-8.83	-5.94	9.28	66.96	67.81	70.71	21.57	14	-	-	-		
NOMAD	4	48	Ingress	2021 NOV 27 21:50:15	2021 NOV 27 21:53:52	2021 NOV 27 21:54:37	262.00	-125.79	-115.42	-113.58	-66.21	-61.31	-60.11	15.55	1	HCL #5	Science: orders #121, #134, #130, #130, #130, #130, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:INSIGHT; &daysideMatch:CURIOSITY; 	
NOMAD	4	48	Egress	2021 NOV 27 22:32:09	2021 NOV 27 22:32:51	2021 NOV 27 22:36:10	241.00	-38.06	-35.20	-19.94	66.82	67.68	70.67	21.53	1	All Fullscan Fast #2	Diffraction order stepping (fullscan): 115 orders from 110 to 225 in steps of 1 (6 order(s) per 1 second(s))	COP row -1: 	&daysideMatch:INSIGHT; &daysideMatch:CURIOSITY; 	
ACS	5	48	Ingress	2021 NOV 27 23:48:11	2021 NOV 27 23:51:49	2021 NOV 27 23:52:34	263.00	-154.50	-144.02	-142.17	-66.23	-61.27	-60.06	15.56	3	-	-	-	&daysideMatch:TIANWEN1; 	
ACS	5	48	Egress	2021 NOV 28 00:30:03	2021 NOV 28 00:30:46	2021 NOV 28 00:34:05	242.00	-67.37	-64.46	-49.27	66.64	67.54	70.60	21.49	3	-	-	-	&daysideMatch:TIANWEN1; 	
NOMAD	6	48	Ingress	2021 NOV 28 01:46:04	2021 NOV 28 01:49:44	2021 NOV 28 01:50:29	265.00	176.68	-172.67	-170.81	-66.29	-61.26	-60.04	15.56	1	6SUBD CH4 H2O #1	Science: orders #169, #132, #133, #134, #136, #137, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:PERSEVERANCE; 	
NOMAD	6	48	Egress	2021 NOV 28 02:27:54	2021 NOV 28 02:28:37	2021 NOV 28 02:31:57	243.00	-96.61	-93.73	-78.53	66.48	67.39	70.54	21.45	1	6SUBD Nom CO2 #1	Science: orders #121, #134, #149, #164, #165, #169, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 	&daysideMatch:PERSEVERANCE; 	
NOMAD	7	48	Ingress	2021 NOV 28 03:43:57	2021 NOV 28 03:47:38	2021 NOV 28 03:48:23	266.00	147.97	158.73	160.60	-66.32	-61.23	-60.00	15.56	1	HDO 01	Science: orders #168, #134, #124, #129, #190, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	7	48	Egress	2021 NOV 28 04:25:45	2021 NOV 28 04:26:28	2021 NOV 28 04:29:49	244.00	-125.71	-122.84	-107.58	66.36	67.29	70.51	21.42	1	6SUBD Nominal #1	Science: orders #121, #134, #149, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
ACS	8	48	Ingress	2021 NOV 28 05:41:53	2021 NOV 28 05:45:34	2021 NOV 28 05:46:19	266.00	119.56	130.29	132.15	-66.24	-61.10	-59.86	15.58	14	-	-	-		
ACS	8	48	Egress	2021 NOV 28 06:23:37	2021 NOV 28 06:24:20	2021 NOV 28 06:27:42	245.00	-154.79	-151.93	-136.59	66.24	67.18	70.48	21.40	14	-	-	-		
NOMAD	9	48	Ingress	2021 NOV 28 07:39:51	2021 NOV 28 07:43:33	2021 NOV 28 07:44:18	267.00	91.14	101.89	103.74	-66.16	-60.93	-59.69	15.60	1	6SUBD CO2 Dipole #1	Science: orders #169, #132, #133, #134, #136, #137, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	9	48	Egress	2021 NOV 28 08:21:31	2021 NOV 28 08:22:14	2021 NOV 28 08:25:36	245.00	176.06	178.91	-165.79	66.10	67.06	70.42	21.36	1	6SUBD CO2 CO #1	Science: orders #119, #149, #164, #165, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
