MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2023 SEP 10 01:00:40,2023 SEP 10 01:03:41,91,91
2023 SEP 11 00:24:54,2023 SEP 11 00:26:43,103,103
2023 SEP 11 02:37:40,2023 SEP 11 02:38:17,104,104
2023 SEP 11 08:26:21,2023 SEP 11 08:31:21,107,107
2023 SEP 12 00:08:33,2023 SEP 12 00:13:33,115,115
2023 SEP 14 09:11:25,2023 SEP 14 09:16:25,144,144
2023 SEP 14 15:03:08,2023 SEP 14 15:08:08,147,147
2023 SEP 18 01:29:19,2023 SEP 18 01:29:53,189,189
2023 SEP 19 16:56:10,2023 SEP 19 17:01:10,209,209
2023 SEP 20 20:22:35,2023 SEP 20 20:27:29,223,223
2023 SEP 21 08:16:00,2023 SEP 21 08:21:00,229,229
2023 SEP 21 14:00:53,2023 SEP 21 14:04:04,232,232
2023 SEP 22 19:40:45,2023 SEP 22 19:41:20,247,247
2023 SEP 22 23:36:32,2023 SEP 22 23:41:32,249,249
2023 SEP 24 10:50:16,2023 SEP 24 10:55:16,267,267
2023 SEP 25 04:40:20,2023 SEP 25 04:45:20,276,276
2023 SEP 26 04:08:29,2023 SEP 26 04:13:29,288,288
2023 SEP 27 05:40:25,2023 SEP 27 05:45:25,301,301
