Target Name,Flyover #,Orbit type,Thermal orbit number,Start crossing time (UTC),End crossing time (UTC),Start crossing latitude (deg),Start crossing longitude (deg),End crossing latitude (deg),End crossing longitude (deg),Start crossing phase angle (deg),End crossing phase angle (deg),Start crossing solar incidence angle (deg),End crossing solar incidence angle (deg),Start crossing emission angle (deg),End crossing emission angle (deg),Start crossing LST (h),End crossing LST (h)
Region of residual magnetic field,1,3,16,2023 SEP 03 20:56:21,2023 SEP 03 20:58:06,-65.778,150.0707,-69.8912,159.0552,132.9536,127.5744,132.6995,127.3345,0.2771,0.25965,2.0372,2.6644
Region of residual magnetic field,2,1,162,2023 SEP 15 19:31:17,2023 SEP 15 19:33:34,-10.099,-141.2433,-16.8464,-140,143.1242,146.9388,143.044,146.8647,0.36468,0.43933,21.5575,21.6772
Region of residual magnetic field,3,1,187,2023 SEP 17 20:38:57,2023 SEP 17 20:46:19,-10.0989,-144.6363,-31.886,-140,137.5933,146.2739,137.488,146.0803,0.36095,0.56969,21.1492,21.5778
Region of residual magnetic field,4,1,212,2023 SEP 19 21:46:39,2023 SEP 19 21:57:36,-10.0989,-148.0363,-42.3889,-140,131.9684,141.9674,131.8606,141.6969,0.3626,0.6119,20.7411,21.4544
Region of residual magnetic field,5,1,237,2023 SEP 21 22:54:21,2023 SEP 21 23:07:51,-10.0972,-151.3376,-49.7678,-140,125.3223,137.4219,126.2746,137.1215,1.0045,0.61028,20.3394,21.3144
Region of residual magnetic field,6,1,262,2023 SEP 24 00:01:58,2023 SEP 24 00:17:25,-10.0974,-154.3126,-55.1184,-140,115.5853,133.4557,120.9487,133.151,5.3677,0.59418,19.9586,21.1633
Region of residual magnetic field,7,1,274,2023 SEP 24 23:36:50,2023 SEP 24 23:40:03,-10.0998,-141.5547,-19.5291,-140,113.0575,120.242,118.1866,122.8982,5.1328,2.682,19.7614,19.9172
Region of residual magnetic field,8,3,291,2023 SEP 26 09:31:45,2023 SEP 26 09:33:19,-69.8976,-149.1508,-66.3629,-140,112.8254,112.8254,118.0553,115.3508,5.2299,2.5256,4.2664,4.9019
Region of residual magnetic field,9,1,302,2023 SEP 27 06:56:37,2023 SEP 27 06:59:29,-62.89,150.0564,-69.8911,163.2979,128.3,127.5129,128,127.1906,0.55094,0.48641,21.0569,21.9864
Region of residual magnetic field,10,1,314,2023 SEP 28 06:25:26,2023 SEP 28 06:34:23,-46.0013,150.0219,-69.8912,176.1372,124.3662,126.7878,124.1851,126.4731,0.59937,0.48883,19.9092,21.7953
Region of residual magnetic field,11,1,316,2023 SEP 28 10:39:23,2023 SEP 28 10:41:53,-69.8988,-153.3524,-64.153,-140,112.981,112.944,120.0186,116.4362,7.0387,3.497,3.8036,4.7344
Region of residual magnetic field,12,1,327,2023 SEP 29 08:05:14,2023 SEP 29 08:07:12,-65.2632,150.0676,-69.891,159.8698,125.8538,125.9129,125.5675,125.6074,0.53364,0.491,20.8914,21.5767
Region of residual magnetic field,13,3,328,2023 SEP 29 10:14:17,2023 SEP 29 10:14:24,-69.8955,-140.7066,-69.6545,-140,113.8238,113.6452,120.8359,120.7227,7.0121,7.0776,3.6,3.6489
Region of residual magnetic field,14,3,339,2023 SEP 30 07:35:22,2023 SEP 30 07:42:05,-52.4,150.0296,-69.8912,172.7058,121.9955,125.0964,121.8009,124.7993,0.59114,0.49258,19.7647,21.3853
Region of residual magnetic field,15,3,341,2023 SEP 30 11:47:12,2023 SEP 30 11:50:19,-69.8906,-153.9097,-62.2784,-140,121.0165,117.808,120.7672,117.615,0.25311,0.19678,3.5875,4.565
