MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2021 JUN 13 02:07:45,2021 JUN 13 02:08:04,6,6
2021 JUN 13 05:58:04,2021 JUN 13 06:03:04,8,8
2021 JUN 13 23:39:31,2021 JUN 13 23:44:31,17,17
2021 JUN 14 05:32:09,2021 JUN 14 05:37:09,20,20
2021 JUN 14 23:13:55,2021 JUN 14 23:18:55,29,29
2021 JUN 15 03:18:44,2021 JUN 15 03:19:39,31,31
2021 JUN 15 05:15:39,2021 JUN 15 05:20:39,32,32
2021 JUN 15 07:13:35,2021 JUN 15 07:18:35,33,33
2021 JUN 15 14:52:46,2021 JUN 15 14:57:46,37,37
2021 JUN 16 04:40:43,2021 JUN 16 04:45:43,44,44
2021 JUN 17 21:59:22,2021 JUN 17 22:04:22,65,65
2021 JUN 18 01:57:28,2021 JUN 18 02:02:28,67,67
2021 JUN 18 15:40:39,2021 JUN 18 15:45:39,74,74
2021 JUN 19 03:33:23,2021 JUN 19 03:38:23,80,80
2021 JUN 20 06:57:23,2021 JUN 20 07:02:23,94,94
2021 JUN 24 01:22:01,2021 JUN 24 01:27:01,140,140
2021 JUN 24 13:08:14,2021 JUN 24 13:13:14,146,146
2021 JUN 26 06:25:39,2021 JUN 26 06:30:39,167,167
2021 JUN 27 12:20:18,2021 JUN 27 12:25:18,182,182
2021 JUN 27 18:12:47,2021 JUN 27 18:17:47,185,185
2021 JUN 30 11:08:50,2021 JUN 30 11:13:50,218,218
2021 JUL 01 20:20:53,2021 JUL 01 20:25:53,235,235
2021 JUL 02 04:17:51,2021 JUL 02 04:22:51,239,239
2021 JUL 02 22:08:49,2021 JUL 02 22:12:16,248,248
2021 JUL 03 17:40:21,2021 JUL 03 17:45:21,258,258
2021 JUL 03 19:40:16,2021 JUL 03 19:45:16,259,259
2021 JUL 05 18:48:55,2021 JUL 05 18:53:55,283,283
2021 JUL 06 16:29:15,2021 JUL 06 16:34:15,294,294
2021 JUL 06 18:23:49,2021 JUL 06 18:28:49,295,295
2021 JUL 07 06:12:00,2021 JUL 07 06:17:00,301,301
2021 JUL 08 03:49:18,2021 JUL 08 03:54:18,312,312
2021 JUL 09 19:09:09,2021 JUL 09 19:14:09,332,332
