THERMAL ORBIT NUMBER WITH LNO MEASURING H2O IN IRDAYSIDE, OBSERVATION NAME, DIFFRACTION ORDER MEASURED
1, Ice H2O 2SUBD #1, 168
2, H2O 2SUBD 01, 167
4, Nominal 3SUBD 01, 167
6, Nominal 6SUBD 01, 168
8, Nominal 6SUBD 01, 168
10, CO H2O 3SUBD 01, 168
14, Ice H2O 2SUBD #1, 168
18, Nominal Limb 01, 169
34, Ice H2O 2SUBD #1, 168
39, Ice H2O 2SUBD #1, 168
44, Nominal 6SUBD 01, 168
45, CH4 H2O 2SUBD 02, 168
48, Nominal 4SUBD 01, 168
53, H2O 2SUBD 01, 167
54, Nominal 3SUBD 01, 167
56, H2O 2SUBD 01, 167
58, CH4 H2O 2SUBD 02, 168
66, Nominal 6SUBD 01, 168
73, CH4 H2O 2SUBD 02, 168
76, H2O CO 2SUBD 01, 168
78, Nominal 6SUBD 01, 168
83, Nominal 6SUBD 01, 168
87, Nominal 3SUBD 01, 167
90, Nominal 4SUBD 01, 168
93, HDO H2O 2SUBD 03, 168
96, HDO H2O 2SUBD 02, 168
100, CH4 3SUBD 01, 168
103, Nominal 3SUBD 01, 167
104, Ice H2O 2SUBD #1, 168
107, CH4 H2O 2SUBD 02, 168
111, H2O 2SUBD 01, 167
115, Ice H2O 2SUBD #1, 168
118, Nominal 6SUBD 01, 168
124, HDO H2O 2SUBD 03, 168
126, Nominal 6SUBD 01, 168
129, CH4 H2O 2SUBD 02, 168
134, Ice H2O 2SUBD #1, 168
136, CH4 H2O 2SUBD 02, 168
138, Nominal 3SUBD 01, 167
140, CO H2O 3SUBD 01, 168
141, Nominal 3SUBD 01, 167
146, Nominal 4SUBD 01, 168
148, CH4 H2O 2SUBD 02, 168
150, CH4 H2O 2SUBD 02, 168
156, HDO H2O 2SUBD 03, 168
159, Nominal 3SUBD 01, 167
163, Ice H2O 2SUBD #1, 168
167, Nominal 4SUBD 01, 168
169, CH4 H2O 2SUBD 02, 168
172, HDO CO 3SUBD 02, 168
176, Nominal 4SUBD 01, 168
179, Nominal 6SUBD 01, 168
184, Nominal 4SUBD 01, 168
188, CH4 H2O 2SUBD 01, 168
192, H2O 2SUBD 01, 167
194, Nominal 6SUBD 01, 168
198, Nominal 6SUBD 01, 168
202, Nominal 4SUBD 01, 168
205, Nominal 3SUBD 01, 167
211, Nominal 4SUBD 01, 168
213, H2O CO 2SUBD 01, 168
217, HDO CO 3SUBD 02, 168
220, Ice H2O 2SUBD #1, 168
224, CH4 H2O 2SUBD 01, 168
226, H2O 2SUBD 01, 167
229, Nominal 4SUBD 01, 168
233, Nominal 3SUBD 01, 167
236, Nominal 6SUBD 01, 168
242, HDO CO 3SUBD 02, 168
250, Nominal 6SUBD 01, 168
253, Nominal 3SUBD 01, 167
255, CH4 H2O 2SUBD 01, 168
258, CO H2O 3SUBD 01, 168
261, H2O 2SUBD 01, 167
265, Ice H2O 2SUBD #1, 168
267, Nominal 6SUBD 01, 168
269, H2O 2SUBD 01, 167
271, CH4 3SUBD 01, 168
274, CO H2O 3SUBD 01, 168
280, Nominal 6SUBD 01, 168
282, Nominal 6SUBD 01, 168
285, Nominal 6SUBD 01, 168
288, Nominal 3SUBD 01, 167
290, H2O 2SUBD 01, 167
296, CH4 H2O 2SUBD 01, 168
300, Nominal 6SUBD 01, 168
302, Ice H2O 2SUBD #1, 168
305, Nominal 4SUBD 01, 168
312, CH4 H2O 2SUBD 01, 168
316, Nominal 3SUBD 01, 167
322, CH4 H2O 2SUBD 02, 168
324, CH4 H2O 2SUBD 02, 168
335, Nominal 6SUBD 01, 168
339, HDO H2O 2SUBD 02, 168
