Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	75	Ingress	2023 DEC 23 14:58:05	2023 DEC 23 15:01:07	2023 DEC 23 15:01:45	220.00	148.54	-166.38	-154.19	83.53	85.27	85.12	0.17	14	-	-	-		
N/A	1	75	Egress	2023 DEC 23 15:41:01	2023 DEC 23 15:41:41	2023 DEC 23 15:45:00	239.00	-79.49	-79.22	-77.49	-62.50	-63.58	-68.51	6.64	14	-	-	-		
NOMAD	2	75	Ingress	2023 DEC 23 16:56:00	2023 DEC 23 16:59:01	2023 DEC 23 16:59:39	219.00	118.69	162.14	174.41	83.43	85.30	85.19	23.98	1	6SUBD Nominal #12	Science: orders #121, #134, #127, #129, #169, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
NOMAD	2	75	Egress	2023 DEC 23 17:38:58	2023 DEC 23 17:39:38	2023 DEC 23 17:42:56	238.00	-108.19	-107.91	-106.21	-62.61	-63.68	-68.54	6.64	1	6SUBD CO2 H2O #12	Science: orders #121, #132, #148, #156, #189, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
ACS	3	75	Ingress	2023 DEC 23 18:53:56	2023 DEC 23 18:56:57	2023 DEC 23 18:57:35	219.00	89.04	131.26	143.56	83.34	85.31	85.24	23.84	14	-	-	-	&mroOverlap; 	
ACS	3	75	Egress	2023 DEC 23 19:36:57	2023 DEC 23 19:37:37	2023 DEC 23 19:40:55	238.00	-136.87	-136.59	-134.90	-62.79	-63.84	-68.66	6.64	14	-	-	-	&mroOverlap; 	
NOMAD	4	75	Ingress	2023 DEC 23 20:51:54	2023 DEC 23 20:54:54	2023 DEC 23 20:55:32	218.00	59.93	101.16	113.43	83.32	85.33	85.28	23.74	1	6SUBD CO2 H2O #11	Science: orders #121, #132, #148, #156, #160, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
N/A	4	75	Egress	2023 DEC 23 21:34:56	2023 DEC 23 21:35:36	2023 DEC 23 21:38:54	238.00	-165.53	-165.25	-163.56	-63.00	-64.05	-68.82	6.64	1	-	-	-		
N/A	5	75	Ingress	2023 DEC 23 22:49:50	2023 DEC 23 22:52:49	2023 DEC 23 22:53:27	217.00	30.98	71.37	83.59	83.32	85.34	85.32	23.67	3	-	-	-		
ACS	5	75	Egress	2023 DEC 23 23:32:53	2023 DEC 23 23:33:33	2023 DEC 23 23:36:51	238.00	165.82	166.09	167.79	-63.21	-64.24	-68.97	6.65	3	-	-	-		
N/A	6	75	Ingress	2023 DEC 24 00:47:40	2023 DEC 24 00:50:39	2023 DEC 24 00:51:17	217.00	1.63	41.05	53.22	83.27	85.34	85.35	23.56	1	-	-	-		
