Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	52	Ingress	2022 MAR 19 14:20:52	2022 MAR 19 14:23:49	2022 MAR 19 14:24:25	213.00	46.49	44.90	44.57	-73.21	-72.48	-72.32	19.22	14	-	-	-		
N/A	1	52	Egress	2022 MAR 19 15:05:47	2022 MAR 19 15:06:21	2022 MAR 19 15:09:02	195.00	-139.31	-139.74	-141.62	76.44	76.29	75.62	7.60	14	-	-	-		
NOMAD	2	52	Ingress	2022 MAR 19 16:18:46	2022 MAR 19 16:21:43	2022 MAR 19 16:22:19	213.00	17.81	16.18	15.84	-73.16	-72.39	-72.22	19.22	1	6SUBD CO2 H2O #12	Science: orders #121, #132, #148, #156, #189, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
N/A	2	52	Egress	2022 MAR 19 17:03:40	2022 MAR 19 17:04:14	2022 MAR 19 17:06:55	195.00	-167.69	-168.14	-170.10	76.55	76.39	75.69	7.62	1	-	-	-		
N/A	3	52	Ingress	2022 MAR 19 18:16:37	2022 MAR 19 18:19:35	2022 MAR 19 18:20:11	214.00	-10.93	-12.60	-12.95	-73.05	-72.24	-72.06	19.21	14	-	-	-		
ACS	3	52	Egress	2022 MAR 19 19:01:33	2022 MAR 19 19:02:07	2022 MAR 19 19:04:48	195.00	163.81	163.34	161.31	76.59	76.43	75.69	7.63	14	-	-	-		
NOMAD	4	52	Ingress	2022 MAR 19 20:14:36	2022 MAR 19 20:17:33	2022 MAR 19 20:18:09	213.00	-39.75	-41.45	-41.80	-72.90	-72.05	-71.87	19.20	1	6SUBD Nom CO #1	Science: orders #121, #149, #186, #187, #189, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
N/A	4	52	Egress	2022 MAR 19 20:59:30	2022 MAR 19 21:00:04	2022 MAR 19 21:02:45	195.00	135.24	134.75	132.65	76.60	76.43	75.66	7.64	1	-	-	-		
N/A	5	52	Ingress	2022 MAR 19 22:12:35	2022 MAR 19 22:15:32	2022 MAR 19 22:16:08	213.00	-68.54	-70.27	-70.62	-72.77	-71.89	-71.69	19.19	14	-	-	-		
ACS	5	52	Egress	2022 MAR 19 22:57:29	2022 MAR 19 22:58:03	2022 MAR 19 23:00:44	195.00	106.75	106.24	104.06	76.66	76.48	75.68	7.65	14	-	-	-		
NOMAD	6	52	Ingress	2022 MAR 20 00:10:33	2022 MAR 20 00:13:30	2022 MAR 20 00:14:06	213.00	-97.28	-99.05	-99.42	-72.68	-71.75	-71.55	19.19	1	6SUBD Nominal #51	Science: orders #121, #136, #129, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: 		
N/A	6	52	Egress	2022 MAR 20 00:55:27	2022 MAR 20 00:56:01	2022 MAR 20 00:58:42	195.00	78.37	77.84	75.57	76.77	76.58	75.75	7.67	1	-	-	-		
N/A	7	52	Ingress	2022 MAR 20 02:08:28	2022 MAR 20 02:11:26	2022 MAR 20 02:12:02	214.00	-125.98	-127.80	-128.17	-72.62	-71.64	-71.43	19.18	1	-	-	-		
NOMAD	7	52	Egress	2022 MAR 20 02:53:22	2022 MAR 20 02:53:56	2022 MAR 20 02:56:37	195.00	50.05	49.49	47.12	76.90	76.70	75.83	7.69	1	LNO Occultation Fullscan Fast #2	Diffraction order stepping (fullscan): 105 orders from 110 to 215 in steps of 1 (6 order(s) per 1 second(s))	COP row -1: 		
ACS	8	52	Ingress	2022 MAR 20 04:06:22	2022 MAR 20 04:09:20	2022 MAR 20 04:09:56	214.00	-154.66	-156.53	-156.90	-72.56	-71.55	-71.32	19.18	14	-	-	-		
N/A	8	52	Egress	2022 MAR 20 04:51:16	2022 MAR 20 04:51:50	2022 MAR 20 04:54:32	196.00	21.68	21.09	18.62	76.99	76.79	75.88	7.71	14	-	-	-		
N/A	9	52	Ingress	2022 MAR 20 06:04:16	2022 MAR 20 06:07:14	2022 MAR 20 06:07:50	214.00	176.63	174.73	174.34	-72.48	-71.43	-71.20	19.18	1	-	-	-		
NOMAD	9	52	Egress	2022 MAR 20 06:49:09	2022 MAR 20 06:49:43	2022 MAR 20 06:52:25	196.00	-6.83	-7.44	-9.99	77.03	76.82	75.88	7.72	1	All Fullscan Fast #2	Diffraction order stepping (fullscan): 115 orders from 110 to 225 in steps of 1 (6 order(s) per 1 second(s))	COP row -1: 		
ACS	10	52	Ingress	2022 MAR 20 08:02:11	2022 MAR 20 08:05:09	2022 MAR 20 08:05:45	214.00	147.83	145.91	145.52	-72.33	-71.24	-71.00	19.17	14	-	-	-		
N/A	10	52	Egress	2022 MAR 20 08:47:04	2022 MAR 20 08:47:38	2022 MAR 20 08:50:20	196.00	-35.36	-35.98	-38.61	77.06	76.84	75.86	7.73	14	-	-	-		
N/A	11	52	Ingress	2022 MAR 20 10:00:09	2022 MAR 20 10:03:07	2022 MAR 20 10:03:43	214.00	119.02	117.07	116.67	-72.18	-71.05	-70.80	19.16	1	-	-	-	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
