UTC TIME WHEN LNO OBSERVING CLOSE TO INSIGHT, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2020 NOV 30 11:40:38, 31.8, 13.7, #136 #168
2020 DEC 02 12:48:08, 26.8, 13.3, #136 #189
2020 DEC 04 13:56:08, 21.7, 12.8, #136 #189
2020 DEC 07 14:37:43, 20.2, 12.1, #136 #168
2020 DEC 09 15:46:20, 17.4, 11.7, #136 #136
2020 DEC 11 16:54:00, 19.7, 11.3, #136 #189
2020 DEC 16 18:44:14, 31.3, 10.2, #136 #168
2020 DEC 18 19:51:42, 37.4, 9.7, #136 #189
2020 DEC 20 21:00:47, 40.9, 9.4, #168 #189
2020 DEC 23 21:42:04, 52.2, 8.6, #136 #189
