UTC TIME WHEN LNO OBSERVING CLOSE TO CURIOSITY, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2020 NOV 30 11:43:38, 29.5, 13.9, #136 #168
2020 DEC 02 12:51:08, 23.4, 13.4, #136 #189
2020 DEC 04 13:59:08, 17.2, 13.0, #136 #189
2020 DEC 07 14:41:13, 10.7, 12.3, #136 #168
2020 DEC 09 15:49:20, 8.1, 11.9, #136 #136
2020 DEC 11 16:57:00, 11.2, 11.4, #136 #189
2020 DEC 14 17:38:22, 21.7, 10.7, #136 #189
2020 DEC 16 18:47:14, 25.5, 10.3, #136 #168
2020 DEC 18 19:54:42, 32.1, 9.9, #136 #189
2020 DEC 23 21:45:04, 47.8, 8.8, #136 #189
