THERMAL ORBIT NUMBER WITH LNO MEASURING H2O IN IRDAYSIDE, OBSERVATION NAME, DIFFRACTION ORDER MEASURED
1, H2O 2SUBD 01, 167
2, HDO H2O 2SUBD 01, 169
4, HDO CO 3SUBD 01, 167
11, CH4 3SUBD 01, 168
14, CO 2SUBD 02, 167
16, Nominal 6SUBD 01, 168
21, HDO H2O 2SUBD 01, 169
23, H2O 2SUBD 01, 167
24, HDO H2O 2SUBD 01, 169
27, HDO CO 3SUBD 01, 167
29, AER H2Oi 3SUBD 01, 169
33, CH4 3SUBD 01, 168
34, CO 2SUBD 02, 167
36, Nominal 6SUBD 01, 168
40, CO 2SUBD 02, 167
45, H2O 2SUBD 01, 167
47, HDO H2O 2SUBD 01, 169
49, HDO CO 3SUBD 01, 167
50, AER H2Oi 3SUBD 01, 169
55, CH4 3SUBD 01, 168
58, Nominal 6SUBD 01, 168
64, HDO H2O 2SUBD 01, 169
67, H2O 2SUBD 01, 167
69, HDO H2O 2SUBD 01, 169
72, HDO CO 3SUBD 01, 167
74, AER H2Oi 3SUBD 01, 169
78, CH4 3SUBD 01, 168
79, CO 2SUBD 02, 167
82, Nominal 6SUBD 01, 168
88, CO 2SUBD 02, 167
89, HDO H2O 2SUBD 01, 169
90, H2O 2SUBD 01, 167
93, HDO H2O 2SUBD 01, 169
95, HDO CO 3SUBD 01, 167
97, AER H2Oi 3SUBD 01, 169
101, CH4 3SUBD 01, 168
104, CO 2SUBD 02, 167
109, CO 2SUBD 02, 167
112, HDO H2O 2SUBD 01, 169
114, H2O 2SUBD 01, 167
121, AER H2Oi 3SUBD 01, 169
124, CH4 3SUBD 01, 168
125, CO 2SUBD 02, 167
127, Nominal 6SUBD 01, 168
131, CO 2SUBD 02, 167
133, HDO H2O 2SUBD 01, 169
134, H2O 2SUBD 01, 167
137, HDO H2O 2SUBD 01, 169
138, HDO CO 3SUBD 01, 167
140, AER H2Oi 3SUBD 01, 169
145, CH4 3SUBD 01, 168
146, CO 2SUBD 02, 167
148, Nominal 6SUBD 01, 168
152, CO 2SUBD 02, 167
154, HDO H2O 2SUBD 01, 169
156, H2O 2SUBD 01, 167
158, HDO H2O 2SUBD 01, 169
160, HDO CO 3SUBD 01, 167
162, AER H2Oi 3SUBD 01, 169
166, CH4 3SUBD 01, 168
168, CO 2SUBD 02, 167
170, Nominal 6SUBD 01, 168
176, CO 2SUBD 02, 167
179, HDO H2O 2SUBD 01, 169
180, H2O 2SUBD 01, 167
182, HDO H2O 2SUBD 01, 169
183, HDO CO 3SUBD 01, 167
186, AER H2Oi 3SUBD 01, 169
189, CH4 3SUBD 01, 168
194, CO 2SUBD 02, 167
195, Nominal 6SUBD 01, 168
201, CO 2SUBD 02, 167
203, HDO H2O 2SUBD 01, 169
205, H2O 2SUBD 01, 167
207, HDO H2O 2SUBD 01, 169
210, HDO CO 3SUBD 01, 167
212, AER H2Oi 3SUBD 01, 169
216, CH4 3SUBD 01, 168
218, CO 2SUBD 02, 167
220, Nominal 6SUBD 01, 168
223, CO 2SUBD 02, 167
228, HDO H2O 2SUBD 01, 169
232, H2O 2SUBD 01, 167
235, HDO H2O 2SUBD 01, 169
237, HDO CO 3SUBD 01, 167
239, AER H2Oi 3SUBD 01, 169
245, CH4 3SUBD 01, 168
247, CO 2SUBD 02, 167
249, Nominal 6SUBD 01, 168
253, CO 2SUBD 02, 167
259, Limb 2SUBD 06, 167
261, HDO H2O 2SUBD 01, 169
262, H2O 2SUBD 01, 167
263, HDO H2O 2SUBD 01, 169
265, HDO CO 3SUBD 01, 167
268, AER H2Oi 3SUBD 01, 169
271, CH4 3SUBD 01, 168
273, CO 2SUBD 02, 167
275, Nominal 6SUBD 01, 168
279, CO 2SUBD 02, 167
283, HDO H2O 2SUBD 01, 169
306, HDO H2O 2SUBD 01, 169
307, H2O 2SUBD 01, 167
309, HDO H2O 2SUBD 01, 169
310, HDO CO 3SUBD 01, 167
311, AER H2Oi 3SUBD 01, 169
315, CH4 3SUBD 01, 168
317, CO 2SUBD 02, 167
319, Nominal 6SUBD 01, 168
323, CO 2SUBD 02, 167
324, HDO H2O 2SUBD 01, 169
325, H2O 2SUBD 01, 167
327, HDO H2O 2SUBD 01, 169
329, HDO CO 3SUBD 01, 167
332, AER H2Oi 3SUBD 01, 169
335, CH4 3SUBD 01, 168
337, CO 2SUBD 02, 167
338, Nominal 6SUBD 01, 168
341, CO 2SUBD 02, 167
