Target Name,Flyover #,Orbit type,Thermal orbit number,Start crossing time (UTC),End crossing time (UTC),Start crossing latitude (deg),Start crossing longitude (deg),End crossing latitude (deg),End crossing longitude (deg),Start crossing phase angle (deg),End crossing phase angle (deg),Start crossing solar incidence angle (deg),End crossing solar incidence angle (deg),Start crossing emission angle (deg),End crossing emission angle (deg),Start crossing LST (h),End crossing LST (h)
Region of residual magnetic field,1,3,2,2025 FEB 15 16:59:15,2025 FEB 15 16:59:19,-69.8905,-140.4362,-69.7321,-140,122.3321,122.5547,122.0348,122.2554,0.49242,0.49365,21.3378,21.3681
Region of residual magnetic field,2,3,27,2025 FEB 17 18:06:55,2025 FEB 17 18:07:18,-69.2922,-142.1671,-68.3979,-140,114.2295,115.2446,121.5681,122.7554,7.3711,7.5437,21.0469,21.1975
Region of residual magnetic field,3,3,90,2025 FEB 22 21:55:40,2025 FEB 22 22:04:39,-68.1461,-161.477,-43.9478,-140,113.183,143.1298,119.3792,142.777,6.2113,0.61529,20.2864,21.8642
Region of residual magnetic field,4,3,102,2025 FEB 23 21:30:40,2025 FEB 23 21:32:42,-67.9679,-148.2984,-62.8285,-140,112.9785,118.5674,118.7475,124.2554,5.7857,5.7064,20.1225,20.7089
Region of residual magnetic field,5,1,115,2025 FEB 24 23:03:31,2025 FEB 24 23:15:44,-67.8239,-164.2652,-34.007,-140,112.9527,146.4092,117.919,146.1347,4.9758,0.58215,19.9275,21.7433
Region of residual magnetic field,6,3,127,2025 FEB 25 22:38:28,2025 FEB 25 22:41:34,-67.7469,-151.3395,-59.7333,-140,112.8254,120.3694,117.097,124.9086,4.2952,4.5656,19.7458,20.5519
Region of residual magnetic field,7,1,129,2025 FEB 26 02:34:17,2025 FEB 26 02:54:30,-67.64,150.5987,-10.0989,-179.9509,112.9441,149.759,116.9063,149.6512,3.9745,0.36166,19.7011,21.9922
Region of residual magnetic field,8,1,130,2025 FEB 26 04:50:28,2025 FEB 26 04:52:27,-15.9792,150.0094,-10.099,151.088,149.5922,149.5203,149.466,149.4122,0.42481,0.36167,21.8711,21.9753
Region of residual magnetic field,9,3,140,2025 FEB 27 00:11:16,2025 FEB 27 00:28:13,-67.6793,-167.543,-19.7064,-140,112.8254,146.8667,116.096,146.7371,3.3019,0.46861,19.5342,21.6453
Region of residual magnetic field,10,1,141,2025 FEB 27 02:09:11,2025 FEB 27 02:29:21,-67.5844,163.4541,-10.0989,-167.162,112.9441,147.0582,116.0166,146.9499,3.0887,0.36303,19.5136,21.8
Region of residual magnetic field,11,1,142,2025 FEB 27 04:12:17,2025 FEB 27 04:27:17,-54.0031,150.0276,-10.0989,163.873,126.5966,146.8119,127.7986,146.7035,1.3007,0.36307,20.6158,21.7825
Region of residual magnetic field,12,1,152,2025 FEB 27 23:46:12,2025 FEB 27 23:50:47,-67.6277,-154.874,-55.5098,-140,112.9441,122.8867,115.1268,125.6271,2.2055,2.7791,19.335,20.4011
Region of residual magnetic field,13,3,153,2025 FEB 28 01:44:05,2025 FEB 28 02:04:14,-67.597,176.1974,-10.0989,-154.3764,112.7146,144.3519,115.0535,144.2424,2.3869,0.36379,19.3189,21.6078
Region of residual magnetic field,14,1,154,2025 FEB 28 03:42:36,2025 FEB 28 04:02:10,-66.1052,150.0824,-10.0989,176.6566,112.9441,144.1006,116.4082,143.991,3.4796,0.36383,19.5008,21.5897
Region of residual magnetic field,15,1,167,2025 MAR 01 05:22:08,2025 MAR 01 05:34:58,-47.8719,150.0231,-10.0989,160.4767,128.8994,141.1379,128.7021,141.0273,0.59276,0.36443,20.4747,21.3797
Region of residual magnetic field,16,3,179,2025 MAR 02 04:51:09,2025 MAR 02 05:09:51,-63.9709,150.0693,-10.0989,173.257,112.7146,138.4166,116.0505,138.3052,3.3741,0.36484,19.3381,21.1872
Region of residual magnetic field,17,1,192,2025 MAR 03 06:32:39,2025 MAR 03 06:42:41,-39.7149,150.0172,-10.0989,157.074,129.2511,135.4481,129.0646,135.3363,0.5956,0.36514,20.3442,20.9772
Region of residual magnetic field,18,1,204,2025 MAR 04 05:59:56,2025 MAR 04 06:17:33,-61.1443,150.0564,-10.0989,169.8549,112.9441,132.7229,115.5641,132.6107,2.6457,0.36532,19.1789,20.7844
Region of residual magnetic field,19,1,217,2025 MAR 05 07:44:19,2025 MAR 05 07:50:22,-28.0582,150.012,-10.0989,153.675,128.2462,129.7556,128.1178,129.6432,0.53196,0.36541,20.2319,20.5744
Region of residual magnetic field,20,1,242,2025 MAR 07 08:57:31,2025 MAR 07 08:58:02,-11.6349,150.0089,-10.0989,150.2839,124.1372,124.0681,124.0277,123.9558,0.38052,0.36534,20.145,20.1717
