TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2022 JUN 12 04:15:00,7,7
2022 JUN 13 23:30:00,29,29
2022 JUN 14 09:21:00,34,34
2022 JUN 15 12:51:00,48,48
2022 JUN 15 18:45:00,51,51
2022 JUN 16 04:36:00,56,56
2022 JUN 17 10:06:00,71,71
2022 JUN 17 16:00:00,74,74
2022 JUN 18 19:30:00,88,88
2022 JUN 19 01:27:00,91,91
2022 JUN 19 02:27:00,92,92
2022 JUN 20 03:57:00,105,105
2022 JUN 20 09:51:00,108,108
2022 JUN 20 11:51:00,109,109
2022 JUN 20 13:51:00,110,110
2022 JUN 20 15:51:00,111,111
2022 JUN 20 21:45:00,114,114
2022 JUN 21 21:15:00,126,126
2022 JUN 21 23:15:00,127,127
2022 JUN 22 01:15:00,128,128
2022 JUN 22 03:09:00,129,129
2022 JUN 22 05:09:00,130,130
2022 JUN 22 07:09:00,131,131
2022 JUN 22 09:09:00,132,132
2022 JUN 23 10:42:00,145,145
2022 JUN 23 10:39:00,145,145
2022 JUN 23 12:42:00,146,146
2022 JUN 23 14:42:00,147,147
2022 JUN 23 16:42:00,148,148
2022 JUN 23 16:33:00,148,148
2022 JUN 23 18:36:00,149,149
2022 JUN 23 20:36:00,150,150
2022 JUN 24 18:15:00,161,161
2022 JUN 24 20:15:00,162,162
2022 JUN 24 22:15:00,163,163
2022 JUN 24 22:06:00,163,163
2022 JUN 25 00:09:00,164,164
2022 JUN 25 02:09:00,165,165
2022 JUN 25 04:09:00,166,166
2022 JUN 25 04:00:00,166,166
2022 JUN 25 06:03:00,167,167
2022 JUN 26 03:42:00,178,178
2022 JUN 26 05:45:00,179,179
2022 JUN 26 07:42:00,180,180
2022 JUN 26 11:39:00,182,182
2022 JUN 26 11:36:00,182,182
2022 JUN 26 13:39:00,183,183
2022 JUN 27 17:15:00,197,197
2022 JUN 27 17:12:00,197,197
2022 JUN 27 19:12:00,198,198
2022 JUN 27 23:09:00,200,200
2022 JUN 28 01:06:00,201,201
2022 JUN 28 03:06:00,202,202
2022 JUN 29 06:39:00,216,216
2022 JUN 29 10:36:00,218,218
2022 JUN 29 12:36:00,219,219
2022 JUN 29 14:33:00,220,220
2022 JUN 30 16:06:00,233,233
2022 JUN 30 18:06:00,234,234
2022 JUN 30 20:03:00,235,235
2022 JUN 30 22:00:00,236,236
2022 JUL 01 01:57:00,238,238
2022 JUL 02 03:30:00,251,251
2022 JUL 02 07:27:00,253,253
2022 JUL 02 13:24:00,256,256
2022 JUL 02 19:18:00,259,259
2022 JUL 03 14:54:00,269,269
2022 JUL 03 18:51:00,271,271
2022 JUL 03 20:48:00,272,272
2022 JUL 05 06:15:00,289,289
2022 JUL 05 08:12:00,290,290
2022 JUL 06 19:36:00,308,308
2022 JUL 06 23:33:00,310,310
2022 JUL 07 01:30:00,311,311
2022 JUL 07 05:27:00,313,313
2022 JUL 07 07:24:00,314,314
2022 JUL 09 06:36:00,338,338
