Obs Index	Obs Type Index	Orbit No	Obs Type	IR Status	UVIS Status	TC Start Time	UVIS Start Time	UVIS End Time	IR Precooling Time	IR Start Time	 IR Transition Time	IR End Time	New TC Start Time	New UVIS Start Time	New UVIS End Time	New IR Precooling Time	New IR Start Time	New IR End Time	IR Duration	UVIS Duration	New IR duration	New UVIS Duration	TC20 FIXED	TC20 SCI1	TC20 SCI2	SCI1 description	SCI2 description	
0	0	0	Dayside_Nadir	OFF	UVIS_1	2018 MAR 24 12:20:21	2018 MAR 24 12:20:31	2018 MAR 24 13:22:25	-	-	-	-	Same	Same	Same	-	-	-	-	3714.0	-	3714.0	-	-	-	-	-	
1	0	0	Dayside_Nadir	OFF	UVIS_2	2018 MAR 24 12:20:21	2018 MAR 24 12:20:31	2018 MAR 24 13:22:25	-	-	-	-	Same	Same	Same	-	-	-	-	3714.0	-	3714.0	-	-	-	-	-	
2	0	0	Dayside_Nadir	OFF	UVIS_3	2018 MAR 24 12:20:21	2018 MAR 24 12:20:31	2018 MAR 24 13:22:25	-	-	-	-	Same	Same	Same	-	-	-	-	3714.0	-	3714.0	-	-	-	-	-	
3	1	1	Dayside_Nadir	OFF	UVIS_1	2018 MAR 24 14:19:07	2018 MAR 24 14:19:17	2018 MAR 24 15:21:13	-	-	-	-	Same	Same	Same	-	-	-	-	3716.0	-	3716.0	-	-	-	-	-	
4	1	1	Dayside_Nadir	OFF	UVIS_2	2018 MAR 24 14:19:07	2018 MAR 24 14:19:17	2018 MAR 24 15:21:13	-	-	-	-	Same	Same	Same	-	-	-	-	3716.0	-	3716.0	-	-	-	-	-	
5	1	1	Dayside_Nadir	OFF	UVIS_3	2018 MAR 24 14:19:07	2018 MAR 24 14:19:17	2018 MAR 24 15:21:13	-	-	-	-	Same	Same	Same	-	-	-	-	3716.0	-	3716.0	-	-	-	-	-	
6	2	2	Dayside_Nadir	OFF	UVIS_1	2018 MAR 24 16:17:59	2018 MAR 24 16:18:09	2018 MAR 24 17:20:05	-	-	-	-	Same	Same	Same	-	-	-	-	3716.0	-	3716.0	-	-	-	-	-	
7	2	2	Dayside_Nadir	OFF	UVIS_2	2018 MAR 24 16:17:59	2018 MAR 24 16:18:09	2018 MAR 24 17:20:05	-	-	-	-	Same	Same	Same	-	-	-	-	3716.0	-	3716.0	-	-	-	-	-	
8	2	2	Dayside_Nadir	OFF	UVIS_3	2018 MAR 24 16:17:59	2018 MAR 24 16:18:09	2018 MAR 24 17:20:05	-	-	-	-	Same	Same	Same	-	-	-	-	3716.0	-	3716.0	-	-	-	-	-	
9	3	3	Dayside_Nadir	OFF	UVIS_1	2018 MAR 24 18:16:51	2018 MAR 24 18:17:01	2018 MAR 24 19:18:59	-	-	-	-	Same	Same	Same	-	-	-	-	3718.0	-	3718.0	-	-	-	-	-	
10	3	3	Dayside_Nadir	OFF	UVIS_2	2018 MAR 24 18:16:51	2018 MAR 24 18:17:01	2018 MAR 24 19:18:59	-	-	-	-	Same	Same	Same	-	-	-	-	3718.0	-	3718.0	-	-	-	-	-	
11	3	3	Dayside_Nadir	OFF	UVIS_3	2018 MAR 24 18:16:51	2018 MAR 24 18:17:01	2018 MAR 24 19:18:59	-	-	-	-	Same	Same	Same	-	-	-	-	3718.0	-	3718.0	-	-	-	-	-	
12	4	4	Dayside_Nadir	OFF	UVIS_1	2018 MAR 24 20:15:43	2018 MAR 24 20:15:53	2018 MAR 24 21:17:49	-	-	-	-	Same	Same	Same	-	-	-	-	3716.0	-	3716.0	-	-	-	-	-	
13	4	4	Dayside_Nadir	OFF	UVIS_2	2018 MAR 24 20:15:43	2018 MAR 24 20:15:53	2018 MAR 24 21:17:49	-	-	-	-	Same	Same	Same	-	-	-	-	3716.0	-	3716.0	-	-	-	-	-	
14	4	4	Dayside_Nadir	OFF	UVIS_3	2018 MAR 24 20:15:43	2018 MAR 24 20:15:53	2018 MAR 24 21:17:49	-	-	-	-	Same	Same	Same	-	-	-	-	3716.0	-	3716.0	-	-	-	-	-	
15	5	5	Dayside_Nadir	OFF	UVIS_1	2018 MAR 24 22:14:33	2018 MAR 24 22:14:43	2018 MAR 24 23:16:37	-	-	-	-	Same	Same	Same	-	-	-	-	3714.0	-	3714.0	-	-	-	-	-	
16	5	5	Dayside_Nadir	OFF	UVIS_2	2018 MAR 24 22:14:33	2018 MAR 24 22:14:43	2018 MAR 24 23:16:37	-	-	-	-	Same	Same	Same	-	-	-	-	3714.0	-	3714.0	-	-	-	-	-	
17	5	5	Dayside_Nadir	OFF	UVIS_3	2018 MAR 24 22:14:33	2018 MAR 24 22:14:43	2018 MAR 24 23:16:37	-	-	-	-	Same	Same	Same	-	-	-	-	3714.0	-	3714.0	-	-	-	-	-	
18	6	6	Dayside_Nadir	OFF	UVIS_1	2018 MAR 25 00:13:13	2018 MAR 25 00:13:23	2018 MAR 25 01:15:15	-	-	-	-	Same	Same	Same	-	-	-	-	3712.0	-	3712.0	-	-	-	-	-	
19	6	6	Dayside_Nadir	OFF	UVIS_2	2018 MAR 25 00:13:13	2018 MAR 25 00:13:23	2018 MAR 25 01:15:15	-	-	-	-	Same	Same	Same	-	-	-	-	3712.0	-	3712.0	-	-	-	-	-	
20	6	6	Dayside_Nadir	OFF	UVIS_3	2018 MAR 25 00:13:13	2018 MAR 25 00:13:23	2018 MAR 25 01:15:15	-	-	-	-	Same	Same	Same	-	-	-	-	3712.0	-	3712.0	-	-	-	-	-	
