Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
70	Ingress	2018 MAR 27 14:43:41	2018 MAR 27 14:53:01	2018 MAR 27 14:50:49	560.0	49.2	-56.3	16.7	
71	Egress	2018 MAR 27 15:12:33	2018 MAR 27 15:22:05	2018 MAR 27 15:14:47	572.0	-114.1	-21.0	6.3	
72	Ingress	2018 MAR 27 16:42:18	2018 MAR 27 16:51:31	2018 MAR 27 16:49:21	553.0	20.0	-56.7	16.7	
73	Egress	2018 MAR 27 17:11:22	2018 MAR 27 17:20:49	2018 MAR 27 17:13:34	567.0	-143.3	-20.1	6.3	
74	Ingress	2018 MAR 27 18:40:57	2018 MAR 27 18:50:04	2018 MAR 27 18:47:55	547.0	-9.0	-57.0	16.7	
75	Egress	2018 MAR 27 19:10:16	2018 MAR 27 19:19:37	2018 MAR 27 19:12:26	561.0	-172.5	-19.0	6.3	
76	Ingress	2018 MAR 27 20:39:40	2018 MAR 27 20:48:41	2018 MAR 27 20:46:34	541.0	-38.4	-57.6	16.6	
77	Egress	2018 MAR 27 21:09:09	2018 MAR 27 21:18:27	2018 MAR 27 21:11:17	558.0	158.4	-18.0	6.3	
78	Ingress	2018 MAR 27 22:38:21	2018 MAR 27 22:47:17	2018 MAR 27 22:45:11	536.0	-67.6	-57.9	16.6	
79	Egress	2018 MAR 27 23:07:57	2018 MAR 27 23:17:14	2018 MAR 27 23:10:05	557.0	129.2	-17.2	6.3	
80	Ingress	2018 MAR 28 00:36:55	2018 MAR 28 00:45:49	2018 MAR 28 00:43:43	534.0	-96.4	-58.0	16.6	
81	Egress	2018 MAR 28 01:06:41	2018 MAR 28 01:15:54	2018 MAR 28 01:08:48	553.0	100.2	-16.4	6.2	
82	Ingress	2018 MAR 28 02:35:27	2018 MAR 28 02:44:15	2018 MAR 28 02:42:11	528.0	-125.3	-58.1	16.6	
83	Egress	2018 MAR 28 03:05:24	2018 MAR 28 03:14:32	2018 MAR 28 03:07:29	548.0	71.1	-15.6	6.2	
84	Ingress	2018 MAR 28 04:34:05	2018 MAR 28 04:42:48	2018 MAR 28 04:40:45	523.0	-154.5	-58.5	16.6	
85	Egress	2018 MAR 28 05:04:11	2018 MAR 28 05:13:15	2018 MAR 28 05:06:15	544.0	42.0	-14.8	6.2	
86	Ingress	2018 MAR 28 06:32:45	2018 MAR 28 06:41:23	2018 MAR 28 06:39:22	518.0	176.4	-58.8	16.6	
87	Egress	2018 MAR 28 07:03:00	2018 MAR 28 07:12:02	2018 MAR 28 07:05:04	542.0	12.9	-14.0	6.2	
88	Ingress	2018 MAR 28 08:31:23	2018 MAR 28 08:39:57	2018 MAR 28 08:37:57	514.0	147.3	-59.1	16.6	
89	Egress	2018 MAR 28 09:01:50	2018 MAR 28 09:10:47	2018 MAR 28 09:03:52	537.0	-16.3	-13.1	6.2	
90	Ingress	2018 MAR 28 10:29:59	2018 MAR 28 10:38:28	2018 MAR 28 10:36:29	509.0	118.2	-59.4	16.6	
91	Egress	2018 MAR 28 11:00:36	2018 MAR 28 11:09:30	2018 MAR 28 11:02:37	534.0	-45.4	-12.3	6.2	
92	Ingress	2018 MAR 28 12:28:33	2018 MAR 28 12:37:00	2018 MAR 28 12:35:02	507.0	89.3	-59.4	16.6	
93	Egress	2018 MAR 28 12:59:20	2018 MAR 28 13:08:11	2018 MAR 28 13:01:20	531.0	-74.4	-11.5	6.2	
94	Ingress	2018 MAR 28 14:27:07	2018 MAR 28 14:35:30	2018 MAR 28 14:33:33	503.0	60.0	-59.9	16.5	
95	Egress	2018 MAR 28 14:58:01	2018 MAR 28 15:06:49	2018 MAR 28 15:00:00	528.0	-103.5	-10.8	6.2	
96	Ingress	2018 MAR 28 16:25:42	2018 MAR 28 16:34:00	2018 MAR 28 16:32:04	498.0	31.2	-60.0	16.5	
97	Egress	2018 MAR 28 16:56:46	2018 MAR 28 17:05:30	2018 MAR 28 16:58:44	524.0	-132.6	-10.0	6.1	
98	Ingress	2018 MAR 28 18:24:19	2018 MAR 28 18:32:31	2018 MAR 28 18:30:37	492.0	2.1	-60.2	16.5	
99	Egress	2018 MAR 28 18:55:35	2018 MAR 28 19:04:15	2018 MAR 28 18:57:33	520.0	-161.7	-9.1	6.1	
100	Ingress	2018 MAR 28 20:22:59	2018 MAR 28 20:31:06	2018 MAR 28 20:29:13	487.0	-26.9	-60.4	16.5	
101	Egress	2018 MAR 28 20:54:26	2018 MAR 28 21:03:03	2018 MAR 28 20:56:22	517.0	169.2	-8.2	6.1	
102	Ingress	2018 MAR 28 22:21:39	2018 MAR 28 22:29:43	2018 MAR 28 22:27:50	484.0	-56.5	-61.1	16.5	
103	Egress	2018 MAR 28 22:52:39	2018 MAR 28 23:00:41	2018 MAR 28 22:54:31	482.0	140.6	-9.1	6.1	
104	Ingress	2018 MAR 29 00:22:16	2018 MAR 29 00:30:08	2018 MAR 29 00:28:17	472.0	-86.5	-61.8	16.4	
105	Egress	2018 MAR 29 00:53:12	2018 MAR 29 01:01:12	2018 MAR 29 00:55:04	480.0	111.1	-8.4	6.1	
106	Ingress	2018 MAR 29 02:22:36	2018 MAR 29 02:30:25	2018 MAR 29 02:28:35	469.0	-115.9	-61.9	16.4	
107	Egress	2018 MAR 29 02:53:42	2018 MAR 29 03:01:38	2018 MAR 29 02:55:33	476.0	81.7	-7.7	6.1	
108	Ingress	2018 MAR 29 04:23:00	2018 MAR 29 04:30:45	2018 MAR 29 04:28:56	465.0	-145.1	-61.9	16.4	
109	Egress	2018 MAR 29 04:54:15	2018 MAR 29 05:02:07	2018 MAR 29 04:56:05	472.0	52.2	-7.1	6.1	
110	Ingress	2018 MAR 29 06:23:30	2018 MAR 29 06:31:10	2018 MAR 29 06:29:22	460.0	-174.7	-62.2	16.4	
111	Egress	2018 MAR 29 06:54:53	2018 MAR 29 07:02:42	2018 MAR 29 06:56:41	469.0	22.7	-6.3	6.1	
112	Ingress	2018 MAR 29 08:23:58	2018 MAR 29 08:31:35	2018 MAR 29 08:29:48	457.0	155.8	-62.4	16.4	
113	Egress	2018 MAR 29 08:55:30	2018 MAR 29 09:03:16	2018 MAR 29 08:57:18	466.0	-6.8	-5.6	6.1	
114	Ingress	2018 MAR 29 10:24:23	2018 MAR 29 10:31:58	2018 MAR 29 10:30:11	455.0	126.2	-62.7	16.4	
115	Egress	2018 MAR 29 10:56:06	2018 MAR 29 11:03:49	2018 MAR 29 10:57:53	463.0	-36.3	-4.9	6.1	
116	Ingress	2018 MAR 29 12:24:47	2018 MAR 29 12:32:20	2018 MAR 29 12:30:34	453.0	96.9	-62.7	16.4	
117	Egress	2018 MAR 29 12:56:38	2018 MAR 29 13:04:19	2018 MAR 29 12:58:25	461.0	-65.8	-4.2	6.1	
118	Ingress	2018 MAR 29 14:25:11	2018 MAR 29 14:32:41	2018 MAR 29 14:30:55	450.0	67.1	-63.1	16.3	
119	Egress	2018 MAR 29 14:57:09	2018 MAR 29 15:04:47	2018 MAR 29 14:58:55	458.0	-95.3	-3.6	6.1	
120	Ingress	2018 MAR 29 16:25:35	2018 MAR 29 16:33:01	2018 MAR 29 16:31:17	446.0	37.9	-63.2	16.3	
121	Egress	2018 MAR 29 16:57:41	2018 MAR 29 17:05:16	2018 MAR 29 16:59:26	455.0	-124.7	-2.9	6.0	
122	Ingress	2018 MAR 29 18:26:01	2018 MAR 29 18:33:22	2018 MAR 29 18:31:39	441.0	8.3	-63.4	16.3	
123	Egress	2018 MAR 29 18:58:18	2018 MAR 29 19:05:49	2018 MAR 29 19:00:02	451.0	-154.3	-2.2	6.0	
124	Ingress	2018 MAR 29 20:26:29	2018 MAR 29 20:33:47	2018 MAR 29 20:32:05	438.0	-21.2	-63.6	16.3	
125	Egress	2018 MAR 29 20:58:56	2018 MAR 29 21:06:24	2018 MAR 29 21:00:40	448.0	176.2	-1.4	6.0	
126	Ingress	2018 MAR 29 22:26:59	2018 MAR 29 22:34:14	2018 MAR 29 22:32:33	435.0	-50.8	-63.8	16.3	
127	Egress	2018 MAR 29 22:59:34	2018 MAR 29 23:07:00	2018 MAR 29 23:01:17	446.0	146.7	-0.7	6.0	
128	Ingress	2018 MAR 30 00:27:26	2018 MAR 30 00:34:38	2018 MAR 30 00:32:57	432.0	-80.0	-63.8	16.3	
129	Egress	2018 MAR 30 01:00:07	2018 MAR 30 01:07:32	2018 MAR 30 01:01:50	445.0	117.2	-0.0	6.0	
130	Ingress	2018 MAR 30 02:27:46	2018 MAR 30 02:34:56	2018 MAR 30 02:33:16	430.0	-109.3	-63.9	16.3	
131	Egress	2018 MAR 30 03:00:36	2018 MAR 30 03:07:57	2018 MAR 30 03:02:18	441.0	87.8	0.6	6.0	
132	Ingress	2018 MAR 30 04:28:08	2018 MAR 30 04:35:15	2018 MAR 30 04:33:35	427.0	-139.0	-64.2	16.3	
133	Egress	2018 MAR 30 05:01:06	2018 MAR 30 05:08:24	2018 MAR 30 05:02:47	438.0	58.3	1.2	6.0	
134	Ingress	2018 MAR 30 06:28:36	2018 MAR 30 06:35:40	2018 MAR 30 06:34:01	424.0	-168.7	-64.5	16.2	
135	Egress	2018 MAR 30 07:01:42	2018 MAR 30 07:08:57	2018 MAR 30 07:03:22	435.0	28.9	1.8	6.0	
136	Ingress	2018 MAR 30 08:29:04	2018 MAR 30 08:36:05	2018 MAR 30 08:34:26	421.0	162.3	-64.4	16.3	
137	Egress	2018 MAR 30 09:02:18	2018 MAR 30 09:09:31	2018 MAR 30 09:03:58	433.0	-0.6	2.5	6.0	
138	Ingress	2018 MAR 30 10:29:29	2018 MAR 30 10:36:28	2018 MAR 30 10:34:50	419.0	132.7	-64.6	16.2	
139	Egress	2018 MAR 30 11:02:53	2018 MAR 30 11:10:03	2018 MAR 30 11:04:32	430.0	-30.1	3.2	6.0	
140	Ingress	2018 MAR 30 12:29:53	2018 MAR 30 12:36:50	2018 MAR 30 12:35:12	417.0	103.5	-64.6	16.2	
141	Egress	2018 MAR 30 13:03:25	2018 MAR 30 13:10:33	2018 MAR 30 13:05:03	428.0	-59.6	3.8	5.9	
142	Ingress	2018 MAR 30 14:30:16	2018 MAR 30 14:37:11	2018 MAR 30 14:35:34	415.0	73.6	-65.0	16.2	
143	Egress	2018 MAR 30 15:03:54	2018 MAR 30 15:11:00	2018 MAR 30 15:05:32	426.0	-89.0	4.3	5.9	
144	Ingress	2018 MAR 30 16:30:40	2018 MAR 30 16:37:31	2018 MAR 30 16:35:55	411.0	44.3	-65.0	16.2	
145	Egress	2018 MAR 30 17:04:24	2018 MAR 30 17:11:28	2018 MAR 30 17:06:02	424.0	-118.4	4.9	5.9	
146	Ingress	2018 MAR 30 18:31:05	2018 MAR 30 18:37:53	2018 MAR 30 18:36:17	408.0	14.7	-65.3	16.2	
147	Egress	2018 MAR 30 19:04:59	2018 MAR 30 19:11:59	2018 MAR 30 19:06:35	420.0	-147.9	5.6	5.9	
148	Ingress	2018 MAR 30 20:31:32	2018 MAR 30 20:38:17	2018 MAR 30 20:36:43	405.0	-14.8	-65.5	16.2	
149	Egress	2018 MAR 30 21:05:36	2018 MAR 30 21:12:34	2018 MAR 30 21:07:12	418.0	-177.4	6.3	5.9	
150	Ingress	2018 MAR 30 22:32:02	2018 MAR 30 22:38:44	2018 MAR 30 22:37:10	402.0	-44.3	-65.6	16.2	
151	Egress	2018 MAR 30 23:06:13	2018 MAR 30 23:13:09	2018 MAR 30 23:07:48	416.0	153.1	7.0	5.9	
152	Ingress	2018 MAR 31 00:32:29	2018 MAR 31 00:39:09	2018 MAR 31 00:37:35	400.0	-73.5	-65.6	16.2	
153	Egress	2018 MAR 31 01:06:46	2018 MAR 31 01:13:41	2018 MAR 31 01:08:21	415.0	123.6	7.6	5.9	
154	Ingress	2018 MAR 31 02:32:50	2018 MAR 31 02:39:28	2018 MAR 31 02:37:55	398.0	-102.8	-65.7	16.2	
155	Egress	2018 MAR 31 03:07:14	2018 MAR 31 03:14:06	2018 MAR 31 03:08:49	412.0	94.2	8.1	5.9	
156	Ingress	2018 MAR 31 04:33:10	2018 MAR 31 04:39:46	2018 MAR 31 04:38:13	396.0	-132.1	-65.7	16.2	
157	Egress	2018 MAR 31 05:07:42	2018 MAR 31 05:14:31	2018 MAR 31 05:09:16	409.0	64.8	8.6	5.9	
158	Ingress	2018 MAR 31 06:33:37	2018 MAR 31 06:40:10	2018 MAR 31 06:38:38	393.0	-161.7	-65.9	16.2	
159	Egress	2018 MAR 31 07:08:16	2018 MAR 31 07:15:03	2018 MAR 31 07:09:49	407.0	35.3	9.2	5.9	
160	Ingress	2018 MAR 31 08:34:05	2018 MAR 31 08:40:35	2018 MAR 31 08:39:04	390.0	168.7	-66.1	16.1	
161	Egress	2018 MAR 31 09:08:51	2018 MAR 31 09:15:36	2018 MAR 31 09:10:24	405.0	5.8	9.8	5.9	
162	Ingress	2018 MAR 31 10:34:30	2018 MAR 31 10:40:59	2018 MAR 31 10:39:28	389.0	139.1	-66.4	16.1	
163	Egress	2018 MAR 31 11:09:24	2018 MAR 31 11:16:07	2018 MAR 31 11:10:57	403.0	-23.6	10.4	5.9	
164	Ingress	2018 MAR 31 12:34:54	2018 MAR 31 12:41:21	2018 MAR 31 12:39:50	387.0	109.9	-66.3	16.1	
165	Egress	2018 MAR 31 13:09:55	2018 MAR 31 13:16:36	2018 MAR 31 13:11:27	401.0	-53.1	11.0	5.8	
166	Ingress	2018 MAR 31 14:35:16	2018 MAR 31 14:41:42	2018 MAR 31 14:40:11	386.0	80.6	-66.4	16.1	
167	Egress	2018 MAR 31 15:10:24	2018 MAR 31 15:17:03	2018 MAR 31 15:11:56	399.0	-82.5	11.5	5.8	
168	Ingress	2018 MAR 31 16:35:39	2018 MAR 31 16:42:02	2018 MAR 31 16:40:32	383.0	50.8	-66.8	16.1	
169	Egress	2018 MAR 31 17:10:52	2018 MAR 31 17:17:30	2018 MAR 31 17:12:24	398.0	-111.9	12.0	5.8	
170	Ingress	2018 MAR 31 18:36:03	2018 MAR 31 18:42:23	2018 MAR 31 18:40:54	380.0	21.6	-66.7	16.1	
171	Egress	2018 MAR 31 19:11:24	2018 MAR 31 19:17:59	2018 MAR 31 19:12:55	395.0	-141.3	12.5	5.8	
172	Ingress	2018 MAR 31 20:36:30	2018 MAR 31 20:42:47	2018 MAR 31 20:41:19	377.0	-7.9	-66.9	16.1	
173	Egress	2018 MAR 31 21:11:59	2018 MAR 31 21:18:32	2018 MAR 31 21:13:29	393.0	-170.8	13.2	5.8	
174	Ingress	2018 MAR 31 22:36:59	2018 MAR 31 22:43:14	2018 MAR 31 22:41:46	375.0	-37.4	-67.0	16.1	
175	Egress	2018 MAR 31 23:12:33	2018 MAR 31 23:19:03	2018 MAR 31 23:14:03	390.0	159.7	13.7	5.8	
176	Ingress	2018 APR 01 00:37:31	2018 APR 01 00:43:44	2018 APR 01 00:42:16	373.0	-66.8	-67.1	16.1	
177	Egress	2018 APR 01 01:13:11	2018 APR 01 01:19:39	2018 APR 01 01:14:40	388.0	130.2	14.3	5.8	
178	Ingress	2018 APR 01 02:37:58	2018 APR 01 02:44:09	2018 APR 01 02:42:42	371.0	-96.4	-67.3	16.0	
179	Egress	2018 APR 01 03:13:44	2018 APR 01 03:20:10	2018 APR 01 03:15:13	386.0	100.8	14.8	5.8	
180	Ingress	2018 APR 01 04:38:23	2018 APR 01 04:44:33	2018 APR 01 04:43:05	370.0	-125.4	-67.2	16.1	
181	Egress	2018 APR 01 05:14:16	2018 APR 01 05:20:40	2018 APR 01 05:15:44	384.0	71.4	15.3	5.8	
182	Ingress	2018 APR 01 06:38:54	2018 APR 01 06:45:01	2018 APR 01 06:43:34	367.0	-154.8	-67.3	16.1	
183	Egress	2018 APR 01 07:14:53	2018 APR 01 07:21:15	2018 APR 01 07:16:21	382.0	41.9	15.7	5.8	
184	Ingress	2018 APR 01 08:39:26	2018 APR 01 08:45:31	2018 APR 01 08:44:05	365.0	175.3	-67.6	16.0	
185	Egress	2018 APR 01 09:15:32	2018 APR 01 09:21:52	2018 APR 01 09:16:59	380.0	12.5	16.3	5.8	
186	Ingress	2018 APR 01 10:39:57	2018 APR 01 10:46:00	2018 APR 01 10:44:35	363.0	145.9	-67.7	16.0	
187	Egress	2018 APR 01 11:16:09	2018 APR 01 11:22:28	2018 APR 01 11:17:37	379.0	-17.0	16.8	5.8	
188	Ingress	2018 APR 01 12:40:25	2018 APR 01 12:46:27	2018 APR 01 12:45:02	362.0	116.5	-67.8	16.0	
189	Egress	2018 APR 01 13:16:45	2018 APR 01 13:23:02	2018 APR 01 13:18:12	377.0	-46.5	17.4	5.8	
190	Ingress	2018 APR 01 14:40:53	2018 APR 01 14:46:53	2018 APR 01 14:45:28	360.0	87.5	-67.6	16.0	
191	Egress	2018 APR 01 15:17:18	2018 APR 01 15:23:33	2018 APR 01 15:18:44	375.0	-75.9	17.9	5.8	
192	Ingress	2018 APR 01 16:41:20	2018 APR 01 16:47:19	2018 APR 01 16:45:54	359.0	57.9	-67.9	16.0	
193	Egress	2018 APR 01 17:17:50	2018 APR 01 17:24:04	2018 APR 01 17:19:16	374.0	-105.3	18.3	5.7	
194	Ingress	2018 APR 01 18:41:48	2018 APR 01 18:47:45	2018 APR 01 18:46:21	357.0	28.4	-68.0	16.0	
195	Egress	2018 APR 01 19:18:25	2018 APR 01 19:24:37	2018 APR 01 19:19:51	372.0	-134.8	18.8	5.7	
196	Ingress	2018 APR 01 20:42:19	2018 APR 01 20:48:14	2018 APR 01 20:46:50	355.0	-0.9	-68.0	16.0	
197	Egress	2018 APR 01 21:19:03	2018 APR 01 21:25:13	2018 APR 01 21:20:28	370.0	-164.2	19.3	5.7	
198	Ingress	2018 APR 01 22:42:53	2018 APR 01 22:48:45	2018 APR 01 22:47:21	352.0	-30.7	-68.3	16.0	
199	Egress	2018 APR 01 23:19:42	2018 APR 01 23:25:51	2018 APR 01 23:21:07	369.0	166.3	19.9	5.7	
200	Ingress	2018 APR 02 00:43:24	2018 APR 02 00:49:15	2018 APR 02 00:47:52	351.0	-60.1	-68.4	16.0	
201	Egress	2018 APR 02 01:20:20	2018 APR 02 01:26:27	2018 APR 02 01:21:44	367.0	136.8	20.4	5.7	
202	Ingress	2018 APR 02 02:43:52	2018 APR 02 02:49:41	2018 APR 02 02:48:18	349.0	-89.7	-68.5	15.9	
203	Egress	2018 APR 02 03:20:52	2018 APR 02 03:26:58	2018 APR 02 03:22:17	366.0	107.4	20.9	5.7	
204	Ingress	2018 APR 02 04:44:16	2018 APR 02 04:50:04	2018 APR 02 04:48:42	348.0	-118.7	-68.4	16.0	
205	Egress	2018 APR 02 05:21:23	2018 APR 02 05:27:26	2018 APR 02 05:22:47	363.0	77.9	21.3	5.7	
206	Ingress	2018 APR 02 06:44:46	2018 APR 02 06:50:32	2018 APR 02 06:49:10	346.0	-148.1	-68.5	16.0	
207	Egress	2018 APR 02 07:21:58	2018 APR 02 07:28:00	2018 APR 02 07:23:21	362.0	48.5	21.7	5.7	
208	Ingress	2018 APR 02 08:45:18	2018 APR 02 08:51:02	2018 APR 02 08:49:40	344.0	-177.5	-68.5	16.0	
209	Egress	2018 APR 02 09:22:36	2018 APR 02 09:28:36	2018 APR 02 09:23:59	360.0	19.1	22.2	5.7	
210	Ingress	2018 APR 02 10:45:49	2018 APR 02 10:51:31	2018 APR 02 10:50:10	342.0	152.6	-68.9	15.9	
211	Egress	2018 APR 02 11:23:12	2018 APR 02 11:29:11	2018 APR 02 11:24:35	359.0	-10.4	22.7	5.7	
212	Ingress	2018 APR 02 12:46:17	2018 APR 02 12:51:58	2018 APR 02 12:50:37	341.0	123.8	-68.7	16.0	
213	Egress	2018 APR 02 13:23:47	2018 APR 02 13:29:44	2018 APR 02 13:25:10	357.0	-39.9	23.2	5.7	
214	Ingress	2018 APR 02 14:46:44	2018 APR 02 14:52:24	2018 APR 02 14:51:04	340.0	94.2	-68.8	15.9	
215	Egress	2018 APR 02 15:24:19	2018 APR 02 15:30:16	2018 APR 02 15:25:42	357.0	-69.3	23.6	5.7	
216	Ingress	2018 APR 02 16:47:11	2018 APR 02 16:52:50	2018 APR 02 16:51:29	339.0	64.5	-69.0	15.9	
217	Egress	2018 APR 02 17:24:50	2018 APR 02 17:30:45	2018 APR 02 17:26:12	355.0	-98.7	24.0	5.7	
218	Ingress	2018 APR 02 18:47:39	2018 APR 02 18:53:15	2018 APR 02 18:51:55	336.0	35.1	-69.2	15.9	
219	Egress	2018 APR 02 19:25:23	2018 APR 02 19:31:17	2018 APR 02 19:26:45	354.0	-128.1	24.4	5.7	
220	Ingress	2018 APR 02 20:48:09	2018 APR 02 20:53:44	2018 APR 02 20:52:24	335.0	5.8	-69.2	15.9	
221	Egress	2018 APR 02 21:26:00	2018 APR 02 21:31:51	2018 APR 02 21:27:21	351.0	-157.6	24.9	5.6	
222	Ingress	2018 APR 02 22:48:41	2018 APR 02 22:54:14	2018 APR 02 22:52:55	333.0	-23.5	-69.1	15.9	
223	Egress	2018 APR 02 23:26:38	2018 APR 02 23:32:28	2018 APR 02 23:27:59	350.0	173.0	25.5	5.6	
224	Ingress	2018 APR 03 00:49:13	2018 APR 03 00:54:45	2018 APR 03 00:53:26	332.0	-52.8	-69.2	15.9	
225	Egress	2018 APR 03 01:27:14	2018 APR 03 01:33:04	2018 APR 03 01:28:35	350.0	143.5	25.9	5.6	
226	Ingress	2018 APR 03 02:49:41	2018 APR 03 02:55:11	2018 APR 03 02:53:52	330.0	-82.4	-69.4	15.9	
227	Egress	2018 APR 03 03:27:47	2018 APR 03 03:33:35	2018 APR 03 03:29:07	348.0	114.1	26.4	5.6	
228	Ingress	2018 APR 03 04:50:05	2018 APR 03 04:55:34	2018 APR 03 04:54:16	329.0	-111.5	-69.3	15.9	
229	Egress	2018 APR 03 05:28:16	2018 APR 03 05:34:02	2018 APR 03 05:29:36	346.0	84.7	26.8	5.6	
230	Ingress	2018 APR 03 06:50:33	2018 APR 03 06:56:01	2018 APR 03 06:54:43	328.0	-140.9	-69.4	15.9	
231	Egress	2018 APR 03 07:28:49	2018 APR 03 07:34:34	2018 APR 03 07:30:09	345.0	55.2	27.1	5.6	
232	Ingress	2018 APR 03 08:51:05	2018 APR 03 08:56:31	2018 APR 03 08:55:13	326.0	-170.2	-69.4	15.9	
233	Egress	2018 APR 03 09:29:26	2018 APR 03 09:35:10	2018 APR 03 09:30:46	344.0	25.8	27.6	5.6	
234	Ingress	2018 APR 03 10:51:36	2018 APR 03 10:57:00	2018 APR 03 10:55:43	324.0	159.8	-69.7	15.9	
235	Egress	2018 APR 03 11:30:02	2018 APR 03 11:35:44	2018 APR 03 11:31:22	342.0	-3.7	28.0	5.6	
236	Ingress	2018 APR 03 12:52:04	2018 APR 03 12:57:28	2018 APR 03 12:56:10	324.0	131.0	-69.5	15.9	
237	Egress	2018 APR 03 13:30:36	2018 APR 03 13:36:17	2018 APR 03 13:31:55	341.0	-33.1	28.5	5.6	
238	Ingress	2018 APR 03 14:52:31	2018 APR 03 14:57:54	2018 APR 03 14:56:37	323.0	101.5	-69.7	15.9	
239	Egress	2018 APR 03 15:31:08	2018 APR 03 15:36:48	2018 APR 03 15:32:27	340.0	-62.5	28.9	5.6	
240	Ingress	2018 APR 03 16:52:58	2018 APR 03 16:58:19	2018 APR 03 16:57:02	321.0	71.8	-69.9	15.9	
241	Egress	2018 APR 03 17:31:38	2018 APR 03 17:37:17	2018 APR 03 17:32:57	339.0	-91.9	29.3	5.6	
242	Ingress	2018 APR 03 18:53:25	2018 APR 03 18:58:45	2018 APR 03 18:57:28	320.0	42.3	-70.0	15.8	
243	Egress	2018 APR 03 19:32:10	2018 APR 03 19:37:47	2018 APR 03 19:33:28	337.0	-121.4	29.6	5.6	
244	Ingress	2018 APR 03 20:53:55	2018 APR 03 20:59:13	2018 APR 03 20:57:57	318.0	13.1	-70.0	15.8	
245	Egress	2018 APR 03 21:32:45	2018 APR 03 21:38:20	2018 APR 03 21:34:03	335.0	-150.8	30.0	5.6	
246	Ingress	2018 APR 03 22:54:27	2018 APR 03 22:59:43	2018 APR 03 22:58:27	316.0	-16.2	-70.0	15.9	
247	Egress	2018 APR 03 23:33:22	2018 APR 03 23:38:56	2018 APR 03 23:34:40	334.0	179.7	30.5	5.6	
248	Ingress	2018 APR 04 00:54:59	2018 APR 04 01:00:14	2018 APR 04 00:58:58	315.0	-45.5	-70.0	15.8	
249	Egress	2018 APR 04 01:33:58	2018 APR 04 01:39:32	2018 APR 04 01:35:16	334.0	150.3	31.0	5.6	
250	Ingress	2018 APR 04 02:55:27	2018 APR 04 03:00:42	2018 APR 04 02:59:26	315.0	-75.1	-70.2	15.8	
251	Egress	2018 APR 04 03:34:30	2018 APR 04 03:40:03	2018 APR 04 03:35:48	333.0	120.9	31.4	5.5	
252	Ingress	2018 APR 04 04:55:51	2018 APR 04 05:01:05	2018 APR 04 04:59:49	314.0	-104.1	-70.1	15.8	
253	Egress	2018 APR 04 05:34:59	2018 APR 04 05:40:30	2018 APR 04 05:36:16	331.0	91.5	31.7	5.5	
254	Ingress	2018 APR 04 06:56:18	2018 APR 04 07:01:30	2018 APR 04 07:00:15	312.0	-133.6	-70.2	15.8	
255	Egress	2018 APR 04 07:35:30	2018 APR 04 07:41:00	2018 APR 04 07:36:47	330.0	62.1	32.0	5.5	
256	Ingress	2018 APR 04 08:56:49	2018 APR 04 09:02:00	2018 APR 04 09:00:45	311.0	-162.9	-70.2	15.8	
257	Egress	2018 APR 04 09:36:06	2018 APR 04 09:41:35	2018 APR 04 09:37:22	329.0	32.6	32.4	5.5	
258	Ingress	2018 APR 04 10:57:20	2018 APR 04 11:02:30	2018 APR 04 11:01:15	310.0	167.8	-70.2	15.8	
259	Egress	2018 APR 04 11:36:41	2018 APR 04 11:42:09	2018 APR 04 11:37:58	328.0	3.2	32.8	5.5	
260	Ingress	2018 APR 04 12:57:49	2018 APR 04 13:02:58	2018 APR 04 13:01:43	309.0	138.4	-70.3	15.8	
261	Egress	2018 APR 04 13:37:15	2018 APR 04 13:42:42	2018 APR 04 13:38:31	327.0	-26.3	33.2	5.5	
262	Ingress	2018 APR 04 14:58:16	2018 APR 04 15:03:24	2018 APR 04 15:02:10	308.0	108.9	-70.4	15.8	
263	Egress	2018 APR 04 15:37:46	2018 APR 04 15:43:12	2018 APR 04 15:39:03	326.0	-55.7	33.6	5.5	
264	Ingress	2018 APR 04 16:58:42	2018 APR 04 17:03:50	2018 APR 04 17:02:35	308.0	79.2	-70.6	15.8	
265	Egress	2018 APR 04 17:38:16	2018 APR 04 17:43:41	2018 APR 04 17:39:32	325.0	-85.1	34.0	5.5	
266	Ingress	2018 APR 04 18:59:10	2018 APR 04 19:04:15	2018 APR 04 19:03:01	305.0	50.3	-70.5	15.8	
267	Egress	2018 APR 04 19:38:47	2018 APR 04 19:44:10	2018 APR 04 19:40:03	323.0	-114.5	34.3	5.5	
268	Ingress	2018 APR 04 20:59:39	2018 APR 04 21:04:43	2018 APR 04 21:03:29	304.0	21.0	-70.5	15.8	
269	Egress	2018 APR 04 21:39:21	2018 APR 04 21:44:43	2018 APR 04 21:40:36	322.0	-143.9	34.7	5.5	
270	Ingress	2018 APR 04 23:00:10	2018 APR 04 23:05:13	2018 APR 04 23:04:00	303.0	-8.8	-70.7	15.8	
271	Egress	2018 APR 04 23:39:57	2018 APR 04 23:45:18	2018 APR 04 23:41:12	321.0	-173.4	35.1	5.5	
272	Ingress	2018 APR 05 00:57:17	2018 APR 05 01:02:53	2018 APR 05 01:01:36	336.0	-30.0	-66.4	16.3	
