Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
610	Ingress	2018 APR 18 21:03:07	2018 APR 18 21:07:39	2018 APR 18 21:06:34	272.0	162.9	-71.4	16.4	
611	Egress	2018 APR 18 21:47:59	2018 APR 18 21:52:14	2018 APR 18 21:49:02	255.0	-33.6	74.4	4.0	
612	Ingress	2018 APR 18 23:00:56	2018 APR 18 23:05:29	2018 APR 18 23:04:24	273.0	134.3	-71.4	16.4	
613	Egress	2018 APR 18 23:45:49	2018 APR 18 23:50:04	2018 APR 18 23:46:52	255.0	-62.5	74.5	4.0	
614	Ingress	2018 APR 19 00:58:49	2018 APR 19 01:03:20	2018 APR 19 01:02:16	271.0	105.8	-71.4	16.4	
615	Egress	2018 APR 19 01:43:40	2018 APR 19 01:47:55	2018 APR 19 01:44:43	255.0	-91.3	74.6	4.0	
616	Ingress	2018 APR 19 02:56:43	2018 APR 19 03:01:15	2018 APR 19 03:00:10	272.0	77.2	-71.3	16.4	
617	Egress	2018 APR 19 03:41:33	2018 APR 19 03:45:48	2018 APR 19 03:42:36	255.0	-120.2	74.8	4.0	
618	Ingress	2018 APR 19 04:54:39	2018 APR 19 04:59:10	2018 APR 19 04:58:06	271.0	48.6	-71.3	16.4	
619	Egress	2018 APR 19 05:39:28	2018 APR 19 05:43:43	2018 APR 19 05:40:31	255.0	-149.2	74.9	4.0	
620	Ingress	2018 APR 19 06:52:34	2018 APR 19 06:57:06	2018 APR 19 06:56:01	272.0	20.0	-71.3	16.4	
621	Egress	2018 APR 19 07:37:23	2018 APR 19 07:41:38	2018 APR 19 07:38:26	255.0	-178.2	75.1	4.0	
622	Ingress	2018 APR 19 08:50:26	2018 APR 19 08:54:58	2018 APR 19 08:53:54	272.0	-8.7	-71.3	16.4	
623	Egress	2018 APR 19 09:35:15	2018 APR 19 09:39:30	2018 APR 19 09:36:18	255.0	152.7	75.3	3.9	
624	Ingress	2018 APR 19 10:48:14	2018 APR 19 10:52:47	2018 APR 19 10:51:42	273.0	-37.3	-71.3	16.4	
625	Egress	2018 APR 19 11:33:03	2018 APR 19 11:37:18	2018 APR 19 11:34:06	255.0	123.7	75.4	3.9	
626	Ingress	2018 APR 19 12:46:04	2018 APR 19 12:50:37	2018 APR 19 12:49:33	273.0	-65.9	-71.3	16.4	
627	Egress	2018 APR 19 13:30:53	2018 APR 19 13:35:08	2018 APR 19 13:31:56	255.0	94.9	75.5	3.9	
628	Ingress	2018 APR 19 14:44:00	2018 APR 19 14:48:33	2018 APR 19 14:47:28	273.0	-94.4	-71.2	16.4	
629	Egress	2018 APR 19 15:28:48	2018 APR 19 15:33:03	2018 APR 19 15:29:51	255.0	66.0	75.6	3.9	
630	Ingress	2018 APR 19 16:41:56	2018 APR 19 16:46:28	2018 APR 19 16:45:23	272.0	-123.0	-71.1	16.5	
631	Egress	2018 APR 19 17:26:43	2018 APR 19 17:30:59	2018 APR 19 17:27:46	256.0	37.0	75.8	3.9	
632	Ingress	2018 APR 19 18:39:49	2018 APR 19 18:44:22	2018 APR 19 18:43:17	273.0	-151.6	-71.2	16.5	
633	Egress	2018 APR 19 19:24:36	2018 APR 19 19:28:52	2018 APR 19 19:25:39	256.0	7.9	76.0	3.8	
634	Ingress	2018 APR 19 20:37:40	2018 APR 19 20:42:13	2018 APR 19 20:41:08	273.0	179.7	-71.2	16.5	
635	Egress	2018 APR 19 21:22:27	2018 APR 19 21:26:43	2018 APR 19 21:23:30	256.0	-21.2	76.2	3.8	
636	Ingress	2018 APR 19 22:35:30	2018 APR 19 22:40:04	2018 APR 19 22:38:59	274.0	151.1	-71.2	16.5	
637	Egress	2018 APR 19 23:20:17	2018 APR 19 23:24:33	2018 APR 19 23:21:20	256.0	-50.2	76.3	3.8	
638	Ingress	2018 APR 20 00:33:21	2018 APR 20 00:37:54	2018 APR 20 00:36:49	273.0	122.5	-71.2	16.5	
639	Egress	2018 APR 20 01:18:07	2018 APR 20 01:22:24	2018 APR 20 01:19:10	257.0	-79.1	76.4	3.8	
640	Ingress	2018 APR 20 02:31:14	2018 APR 20 02:35:48	2018 APR 20 02:34:43	274.0	94.1	-71.0	16.5	
641	Egress	2018 APR 20 03:15:59	2018 APR 20 03:20:16	2018 APR 20 03:17:03	257.0	-108.0	76.5	3.8	
642	Ingress	2018 APR 20 04:29:09	2018 APR 20 04:33:43	2018 APR 20 04:32:38	274.0	65.5	-71.0	16.5	
