NOM_02, OCCEG, 178, 250, 302
NOM_02, OCCIN, 23, 34, 43, 85, 95, 106, 183, 330
NOM_03, OCCEG, 9, 17, 21, 28, 30, 36, 43, 45, 61, 71, 74, 76, 79, 85, 90, 93, 95, 96, 99, 101, 108, 112, 117, 118, 120, 123, 132, 137, 141, 147, 149, 162, 165, 188, 194, 218, 231, 262, 265, 308, 325, 330, 331
NOM_03, OCCIN, 5, 11, 21, 28, 33, 36, 52, 55, 57, 65, 67, 71, 89, 145, 155, 170, 209, 211, 225, 230, 238, 266, 287, 307, 324, 331, 338, 341
CO_001, OCCEG, 39, 57, 192
CO_001, OCCIN, 90
CO_002, OCCEG, 67, 130, 138, 273
CO_002, OCCIN, 79, 83, 99, 101, 104, 117, 141, 143, 195, 241, 293, 303, 305
CO2_01, OCCEG, 248
CO2_01, OCCIN, 257
CO2_02, OCCEG, 3, 7, 11, 48, 81, 129, 145, 158, 160, 327
CO2_02, OCCIN, 70, 74, 108, 114, 123, 126, 157, 200, 203, 228, 284
HCL_01, OCCEG, 70, 233
HCL_01, OCCIN, 49, 335
FUL_01, OCCEG, 126, 180, 208, 235, 242, 335
FUL_01, OCCIN, 15, 17, 48, 120, 147, 213, 251
