Instrument	Occultation Index	Occultation Type	UTC Start Time	UTC End Time	UTC Transition Time	Duration (s)	Tangent Centre Longitude	Tangent Centre Latitude	Tangent Centre Local Time (hrs)	
N/A	0	Ingress	2018 DEC 29 14:18:10	2018 DEC 29 14:22:25	2018 DEC 29 14:21:22	255.0	-161.7	65.6	15.0	
N/A	1	Egress	2018 DEC 29 15:02:54	2018 DEC 29 15:07:25	2018 DEC 29 15:03:58	271.0	2.1	-67.3	2.7	
N/A	2	Ingress	2018 DEC 29 16:16:03	2018 DEC 29 16:20:18	2018 DEC 29 16:19:15	255.0	169.6	65.6	15.0	
NOMAD	3	Egress	2018 DEC 29 17:00:47	2018 DEC 29 17:05:19	2018 DEC 29 17:01:52	272.0	-27.1	-67.5	2.7	
ACS	4	Ingress	2018 DEC 29 18:13:54	2018 DEC 29 18:18:10	2018 DEC 29 18:17:07	256.0	140.8	65.6	15.0	
N/A	5	Egress	2018 DEC 29 18:58:38	2018 DEC 29 19:03:10	2018 DEC 29 18:59:43	272.0	-56.2	-67.6	2.6	
N/A	6	Ingress	2018 DEC 29 20:11:45	2018 DEC 29 20:16:01	2018 DEC 29 20:14:58	256.0	112.1	65.7	15.0	
NOMAD	7	Egress	2018 DEC 29 20:56:29	2018 DEC 29 21:01:01	2018 DEC 29 20:57:33	272.0	-85.2	-67.7	2.6	
ACS	8	Ingress	2018 DEC 29 22:09:37	2018 DEC 29 22:13:52	2018 DEC 29 22:12:49	255.0	83.5	65.7	15.0	
N/A	9	Egress	2018 DEC 29 22:54:19	2018 DEC 29 22:58:51	2018 DEC 29 22:55:24	272.0	-114.2	-67.8	2.6	
N/A	10	Ingress	2018 DEC 30 00:07:30	2018 DEC 30 00:11:46	2018 DEC 30 00:10:43	256.0	54.9	65.7	15.0	
NOMAD	11	Egress	2018 DEC 30 00:52:13	2018 DEC 30 00:56:44	2018 DEC 30 00:53:17	271.0	-143.3	-68.0	2.5	
N/A	12	Ingress	2018 DEC 30 02:05:26	2018 DEC 30 02:09:41	2018 DEC 30 02:08:38	255.0	26.3	65.6	15.0	
N/A	13	Egress	2018 DEC 30 02:50:07	2018 DEC 30 02:54:39	2018 DEC 30 02:51:12	272.0	-172.5	-68.1	2.5	
N/A	14	Ingress	2018 DEC 30 04:03:21	2018 DEC 30 04:07:36	2018 DEC 30 04:06:33	255.0	-2.5	65.7	15.0	
N/A	15	Egress	2018 DEC 30 04:48:02	2018 DEC 30 04:52:34	2018 DEC 30 04:49:07	272.0	158.4	-68.3	2.5	
NOMAD	16	Ingress	2018 DEC 30 06:01:14	2018 DEC 30 06:05:29	2018 DEC 30 06:04:26	255.0	-31.3	65.8	15.0	
N/A	17	Egress	2018 DEC 30 06:45:54	2018 DEC 30 06:50:27	2018 DEC 30 06:46:59	273.0	129.2	-68.4	2.5	
N/A	18	Ingress	2018 DEC 30 07:59:02	2018 DEC 30 08:03:18	2018 DEC 30 08:02:15	256.0	-60.0	65.8	15.0	
