Dayside Nadir Index	UTC Start Time	UTC End Time	UTC Minimum Incidence Angle Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Local Time (hrs)	
0	2018 DEC 29 15:09:55	2018 DEC 29 16:12:37	2018 DEC 29 15:41:07	3766.0	3.4	129.2	168.9	-66.2	-16.0	66.2	11.8	
1	2018 DEC 29 17:07:48	2018 DEC 29 18:10:29	2018 DEC 29 17:39:01	3764.0	-25.5	100.2	140.0	-66.3	-15.9	66.3	11.8	
2	2018 DEC 29 19:05:39	2018 DEC 29 20:08:19	2018 DEC 29 19:36:51	3764.0	-54.4	71.3	111.2	-66.4	-15.8	66.4	11.7	
3	2018 DEC 29 21:03:28	2018 DEC 29 22:06:11	2018 DEC 29 21:34:39	3766.0	-83.1	42.4	82.6	-66.5	-15.7	66.5	11.7	
4	2018 DEC 29 23:01:21	2018 DEC 30 00:04:05	2018 DEC 29 23:32:33	3768.0	-111.8	13.5	53.9	-66.5	-15.6	66.5	11.7	
5	2018 DEC 30 00:59:15	2018 DEC 30 02:01:59	2018 DEC 30 01:30:29	3768.0	-140.6	-15.5	25.0	-66.5	-15.6	66.5	11.7	
6	2018 DEC 30 02:57:10	2018 DEC 30 03:59:55	2018 DEC 30 03:28:23	3770.0	-169.5	-44.4	-3.8	-66.6	-15.5	66.6	11.7	
7	2018 DEC 30 04:55:03	2018 DEC 30 05:57:47	2018 DEC 30 05:26:15	3768.0	161.7	-73.4	-32.7	-66.7	-15.3	66.7	11.7	
8	2018 DEC 30 06:52:54	2018 DEC 30 07:55:37	2018 DEC 30 07:24:05	3766.0	132.9	-102.3	-61.6	-66.8	-15.2	66.8	11.6	
9	2018 DEC 30 08:50:43	2018 DEC 30 09:53:27	2018 DEC 30 09:21:55	3768.0	104.0	-131.2	-90.3	-66.8	-15.2	66.8	11.6	
10	2018 DEC 30 10:48:34	2018 DEC 30 11:51:19	2018 DEC 30 11:19:47	3770.0	75.2	-160.1	-119.1	-66.8	-15.2	66.8	11.6	
11	2018 DEC 30 12:46:29	2018 DEC 30 13:49:13	2018 DEC 30 13:17:41	3768.0	46.6	170.9	-147.9	-66.9	-15.0	66.9	11.6	
12	2018 DEC 30 14:44:25	2018 DEC 30 15:47:09	2018 DEC 30 15:15:37	3768.0	17.8	142.0	-176.6	-67.0	-14.9	67.0	11.6	
13	2018 DEC 30 16:42:19	2018 DEC 30 17:45:01	2018 DEC 30 17:13:31	3766.0	-11.1	113.0	154.5	-67.0	-14.9	67.1	11.5	
14	2018 DEC 30 18:40:11	2018 DEC 30 19:42:51	2018 DEC 30 19:11:21	3764.0	-40.0	84.1	125.5	-67.1	-14.8	67.1	11.5	
15	2018 DEC 30 20:37:59	2018 DEC 30 21:40:41	2018 DEC 30 21:09:11	3766.0	-68.9	55.2	96.8	-67.2	-14.7	67.2	11.5	
16	2018 DEC 30 22:35:50	2018 DEC 30 23:38:33	2018 DEC 30 23:07:01	3766.0	-97.4	26.3	68.1	-67.2	-14.6	67.2	11.5	
17	2018 DEC 31 00:33:44	2018 DEC 31 01:36:29	2018 DEC 31 01:04:57	3770.0	-126.3	-2.7	39.4	-67.2	-14.6	67.3	11.5	
18	2018 DEC 31 02:31:38	2018 DEC 31 03:34:23	2018 DEC 31 03:02:51	3768.0	-155.0	-31.6	10.5	-67.3	-14.5	67.3	11.5	
19	2018 DEC 31 04:29:32	2018 DEC 31 05:32:17	2018 DEC 31 05:00:45	3768.0	176.2	-60.6	-18.3	-67.4	-14.4	67.4	11.4	
20	2018 DEC 31 06:27:24	2018 DEC 31 07:30:07	2018 DEC 31 06:58:35	3766.0	147.3	-89.5	-47.3	-67.5	-14.3	67.5	11.4	
21	2018 DEC 31 08:25:14	2018 DEC 31 09:27:57	2018 DEC 31 08:56:25	3768.0	118.3	-118.4	-76.0	-67.5	-14.3	67.5	11.4	
22	2018 DEC 31 10:23:03	2018 DEC 31 11:25:49	2018 DEC 31 10:54:17	3770.0	89.6	-147.3	-104.7	-67.6	-14.2	67.6	11.4	
23	2018 DEC 31 12:20:57	2018 DEC 31 13:23:43	2018 DEC 31 12:52:09	3770.0	61.0	-176.3	-133.4	-67.6	-14.0	67.6	11.4	
24	2018 DEC 31 14:18:53	2018 DEC 31 15:21:37	2018 DEC 31 14:50:05	3768.0	32.3	154.7	-162.3	-67.6	-14.0	67.6	11.4	
25	2018 DEC 31 16:16:48	2018 DEC 31 17:19:31	2018 DEC 31 16:48:01	3766.0	3.4	125.8	168.9	-67.7	-13.9	67.7	11.3	
26	2018 DEC 31 18:14:41	2018 DEC 31 19:17:23	2018 DEC 31 18:45:53	3766.0	-25.6	96.9	140.0	-67.8	-13.9	67.8	11.3	
27	2018 DEC 31 20:12:31	2018 DEC 31 21:15:13	2018 DEC 31 20:43:43	3766.0	-54.4	68.0	111.2	-67.9	-13.8	67.9	11.3	
28	2018 DEC 31 22:10:21	2018 DEC 31 23:13:03	2018 DEC 31 22:41:31	3766.0	-83.1	39.0	82.4	-67.9	-13.7	67.9	11.3	
29	2019 JAN 01 00:08:14	2019 JAN 01 01:10:59	2019 JAN 01 00:39:25	3770.0	-111.9	10.1	53.9	-67.9	-13.6	68.0	11.3	
30	2019 JAN 01 02:06:08	2019 JAN 01 03:08:53	2019 JAN 01 02:37:21	3770.0	-140.7	-18.9	25.0	-67.9	-13.6	68.0	11.3	
31	2019 JAN 01 04:04:02	2019 JAN 01 05:06:47	2019 JAN 01 04:35:15	3770.0	-169.6	-47.8	-3.9	-68.0	-13.5	68.0	11.2	
32	2019 JAN 01 06:01:55	2019 JAN 01 07:04:39	2019 JAN 01 06:33:07	3768.0	161.7	-76.8	-32.8	-68.1	-13.3	68.1	11.2	
33	2019 JAN 01 07:59:46	2019 JAN 01 09:02:29	2019 JAN 01 08:30:57	3768.0	132.8	-105.7	-61.6	-68.2	-13.3	68.2	11.2	
34	2019 JAN 01 09:57:34	2019 JAN 01 11:00:19	2019 JAN 01 10:28:45	3768.0	104.1	-134.6	-90.3	-68.3	-13.2	68.2	11.2	
35	2019 JAN 01 11:55:25	2019 JAN 01 12:58:13	2019 JAN 01 12:26:37	3772.0	75.3	-163.5	-118.9	-68.2	-13.1	68.3	11.2	
36	2019 JAN 01 13:53:20	2019 JAN 01 14:56:07	2019 JAN 01 14:24:31	3770.0	46.7	167.5	-147.7	-68.3	-13.0	68.3	11.2	
37	2019 JAN 01 15:51:16	2019 JAN 01 16:54:01	2019 JAN 01 16:22:27	3770.0	17.7	138.6	-176.5	-68.3	-12.9	68.4	11.1	
38	2019 JAN 01 17:49:10	2019 JAN 01 18:51:53	2019 JAN 01 18:20:21	3768.0	-11.2	109.6	154.5	-68.4	-12.9	68.5	11.1	
39	2019 JAN 01 19:47:01	2019 JAN 01 20:49:43	2019 JAN 01 20:18:11	3766.0	-39.9	80.7	125.7	-68.5	-12.8	68.5	11.1	
40	2019 JAN 01 21:44:49	2019 JAN 01 22:47:33	2019 JAN 01 22:15:59	3768.0	-68.8	51.8	97.0	-68.5	-12.7	68.6	11.1	
41	2019 JAN 01 23:42:41	2019 JAN 02 00:45:25	2019 JAN 02 00:13:51	3768.0	-97.3	22.9	68.2	-68.6	-12.7	68.6	11.1	
42	2019 JAN 02 01:40:34	2019 JAN 02 02:43:21	2019 JAN 02 02:11:47	3770.0	-126.1	-6.1	39.6	-68.6	-12.6	68.6	11.0	
43	2019 JAN 02 03:38:29	2019 JAN 02 04:41:15	2019 JAN 02 04:09:41	3770.0	-154.9	-35.1	10.6	-68.7	-12.5	68.7	11.0	
44	2019 JAN 02 05:36:22	2019 JAN 02 06:39:07	2019 JAN 02 06:07:33	3770.0	176.1	-64.0	-18.3	-68.7	-12.5	68.7	11.0	
45	2019 JAN 02 07:34:14	2019 JAN 02 08:36:57	2019 JAN 02 08:05:25	3768.0	147.3	-92.9	-47.2	-68.8	-12.4	68.8	11.0	
46	2019 JAN 02 09:32:03	2019 JAN 02 10:34:47	2019 JAN 02 10:03:13	3768.0	118.5	-121.8	-75.9	-68.9	-12.3	68.8	11.0	
47	2019 JAN 02 11:29:53	2019 JAN 02 12:32:39	2019 JAN 02 12:01:05	3770.0	89.9	-150.7	-104.5	-68.9	-12.2	68.9	11.0	
48	2019 JAN 02 13:27:46	2019 JAN 02 14:30:33	2019 JAN 02 13:58:59	3770.0	61.2	-179.7	-133.3	-68.9	-12.1	68.9	10.9	
49	2019 JAN 02 15:25:42	2019 JAN 02 16:28:27	2019 JAN 02 15:56:53	3770.0	32.2	151.3	-162.1	-68.9	-12.1	68.9	10.9	
50	2019 JAN 02 17:23:37	2019 JAN 02 18:26:21	2019 JAN 02 17:54:49	3768.0	3.5	122.4	169.0	-69.0	-12.0	69.0	10.9	
51	2019 JAN 02 19:21:30	2019 JAN 02 20:24:13	2019 JAN 02 19:52:41	3768.0	-25.5	93.4	140.2	-69.1	-11.9	69.1	10.9	
52	2019 JAN 02 21:19:19	2019 JAN 02 22:22:01	2019 JAN 02 21:50:29	3766.0	-54.3	64.5	111.3	-69.1	-11.9	69.1	10.9	
53	2019 JAN 02 23:17:09	2019 JAN 03 00:19:53	2019 JAN 02 23:48:19	3768.0	-82.9	35.6	82.7	-69.2	-11.7	69.2	10.9	
54	2019 JAN 03 01:15:02	2019 JAN 03 02:17:47	2019 JAN 03 01:46:13	3770.0	-111.7	6.7	54.0	-69.2	-11.7	69.2	10.8	
55	2019 JAN 03 03:12:56	2019 JAN 03 04:15:43	2019 JAN 03 03:44:09	3772.0	-140.5	-22.3	25.3	-69.2	-11.6	69.2	10.8	
56	2019 JAN 03 05:10:50	2019 JAN 03 06:13:35	2019 JAN 03 05:42:01	3770.0	-169.3	-51.3	-3.8	-69.3	-11.6	69.3	10.8	
57	2019 JAN 03 07:08:42	2019 JAN 03 08:11:27	2019 JAN 03 07:39:53	3770.0	161.8	-80.2	-32.6	-69.3	-11.5	69.4	10.8	
58	2019 JAN 03 09:06:32	2019 JAN 03 10:09:17	2019 JAN 03 09:37:41	3770.0	132.9	-109.1	-61.3	-69.4	-11.4	69.5	10.8	
59	2019 JAN 03 11:04:21	2019 JAN 03 12:07:07	2019 JAN 03 11:35:31	3770.0	104.3	-138.0	-90.0	-69.5	-11.3	69.5	10.8	
60	2019 JAN 03 13:02:12	2019 JAN 03 14:04:59	2019 JAN 03 13:33:25	3772.0	75.5	-167.0	-118.8	-69.4	-11.3	69.4	10.7	
61	2019 JAN 03 15:00:07	2019 JAN 03 16:02:55	2019 JAN 03 15:31:19	3772.0	46.9	164.1	-147.4	-69.5	-11.1	69.5	10.7	
62	2019 JAN 03 16:58:03	2019 JAN 03 18:00:47	2019 JAN 03 17:29:13	3768.0	18.1	135.1	-176.4	-69.5	-11.1	69.5	10.7	
63	2019 JAN 03 18:55:56	2019 JAN 03 19:58:39	2019 JAN 03 19:27:07	3768.0	-11.0	106.2	154.7	-69.6	-11.1	69.6	10.7	
64	2019 JAN 03 20:53:46	2019 JAN 03 21:56:29	2019 JAN 03 21:24:57	3766.0	-39.6	77.3	125.9	-69.7	-11.0	69.7	10.7	
65	2019 JAN 03 22:51:35	2019 JAN 03 23:54:19	2019 JAN 03 23:22:45	3768.0	-68.5	48.4	97.2	-69.7	-10.9	69.7	10.6	
66	2019 JAN 04 00:49:27	2019 JAN 04 01:52:13	2019 JAN 04 01:20:39	3770.0	-97.1	19.4	68.6	-69.7	-10.8	69.7	10.6	
67	2019 JAN 04 02:47:21	2019 JAN 04 03:50:09	2019 JAN 04 03:18:33	3772.0	-125.8	-9.5	39.9	-69.8	-10.7	69.8	10.6	
68	2019 JAN 04 04:45:15	2019 JAN 04 05:48:03	2019 JAN 04 05:16:27	3772.0	-154.6	-38.5	11.0	-69.8	-10.7	69.8	10.6	
69	2019 JAN 04 06:43:08	2019 JAN 04 07:45:55	2019 JAN 04 07:14:19	3772.0	176.4	-67.4	-17.9	-69.8	-10.6	69.9	10.6	
70	2019 JAN 04 08:40:59	2019 JAN 04 09:43:45	2019 JAN 04 09:12:09	3770.0	147.6	-96.4	-46.7	-69.9	-10.5	70.0	10.6	
71	2019 JAN 04 10:38:48	2019 JAN 04 11:41:33	2019 JAN 04 11:09:59	3770.0	118.7	-125.3	-75.6	-69.9	-10.5	70.0	10.5	
72	2019 JAN 04 12:36:38	2019 JAN 04 13:39:27	2019 JAN 04 13:07:51	3772.0	90.3	-154.2	-104.1	-70.0	-10.4	70.0	10.5	
73	2019 JAN 04 14:34:33	2019 JAN 04 15:37:21	2019 JAN 04 15:05:45	3772.0	61.6	176.8	-132.8	-70.0	-10.3	70.0	10.5	
