windowLineCount,windowLeftTop,detectorSupply,aotfDelay,dataSource,dataValidSource,rythm
23,123,1,1,0,0,2 # OCCULTATION_CALIBRATION
23,128,1,1,0,0,2 # OCCULTATION_CALIBRATION
23,104,1,1,0,0,4 # OCCULTATION_CALIBRATION
23,112,1,1,0,0,4 # OCCULTATION_CALIBRATION
23,113,1,1,0,0,4 # OCCULTATION_CALIBRATION
23,114,1,1,0,0,4 # OCCULTATION_CALIBRATION
23,115,1,1,0,0,4 # OCCULTATION_CALIBRATION
23,116,1,1,0,0,4 # OCCULTATION_CALIBRATION
23,117,1,1,0,0,4 # OCCULTATION_CALIBRATION
23,118,1,1,0,0,4 # OCCULTATION_CALIBRATION
23,119,1,1,0,0,4 # OCCULTATION_CALIBRATION
23,120,1,1,0,0,4 # OCCULTATION_CALIBRATION
23,121,1,1,0,0,4 # OCCULTATION_CALIBRATION
23,122,1,1,0,0,4 # OCCULTATION_CALIBRATION
23,123,1,1,0,0,4 # OCCULTATION_CALIBRATION
23,128,1,1,0,0,4 # OCCULTATION_CALIBRATION
23,104,1,1,0,0,15 # OCCULTATION_CALIBRATION
23,112,1,1,0,0,15 # OCCULTATION_CALIBRATION
23,113,1,1,0,0,15 # OCCULTATION_CALIBRATION
23,114,1,1,0,0,15 # OCCULTATION_CALIBRATION
23,115,1,1,0,0,15 # OCCULTATION_CALIBRATION
23,116,1,1,0,0,15 # OCCULTATION_CALIBRATION
23,117,1,1,0,0,15 # OCCULTATION_CALIBRATION
23,118,1,1,0,0,15 # OCCULTATION_CALIBRATION
23,119,1,1,0,0,15 # OCCULTATION_CALIBRATION
23,120,1,1,0,0,15 # OCCULTATION_CALIBRATION
23,121,1,1,0,0,15 # OCCULTATION_CALIBRATION
23,122,1,1,0,0,15 # OCCULTATION_CALIBRATION
23,123,1,1,0,0,15 # OCCULTATION_CALIBRATION
23,128,1,1,0,0,15 # OCCULTATION_CALIBRATION
