MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2021 NOV 29 10:32:54,2021 NOV 29 10:34:41,22,22
2021 NOV 29 12:28:27,2021 NOV 29 12:33:27,23,23
2021 NOV 30 23:53:37,2021 NOV 30 23:58:37,41,41
2021 DEC 01 05:55:18,2021 DEC 01 06:00:18,44,44
2021 DEC 01 09:45:37,2021 DEC 01 09:50:37,46,46
2021 DEC 02 07:20:41,2021 DEC 02 07:25:41,57,57
2021 DEC 02 18:57:26,2021 DEC 02 19:01:53,63,63
2021 DEC 03 14:57:42,2021 DEC 03 14:59:17,73,73
2021 DEC 03 18:47:54,2021 DEC 03 18:52:54,75,75
2021 DEC 06 05:50:28,2021 DEC 06 05:55:28,105,105
2021 DEC 06 23:33:36,2021 DEC 06 23:38:36,114,114
2021 DEC 08 01:07:08,2021 DEC 08 01:12:08,127,127
2021 DEC 08 14:35:32,2021 DEC 08 14:40:32,134,134
2021 DEC 08 16:38:37,2021 DEC 08 16:43:37,135,135
2021 DEC 08 18:42:18,2021 DEC 08 18:46:06,136,136
2021 DEC 09 00:43:49,2021 DEC 09 00:48:49,139,139
2021 DEC 10 11:44:24,2021 DEC 10 11:44:45,157,157
2021 DEC 11 03:36:25,2021 DEC 11 03:41:25,165,165
2021 DEC 16 07:23:06,2021 DEC 16 07:28:06,228,228
2021 DEC 23 11:16:12,2021 DEC 23 11:21:12,316,316
2021 DEC 23 23:10:27,2021 DEC 23 23:15:27,322,322
2021 DEC 24 01:16:52,2021 DEC 24 01:17:40,323,323
2021 DEC 24 20:34:12,2021 DEC 24 20:39:12,333,333
