Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	44	Nightside	2021 AUG 07 15:30:50	2021 AUG 07 16:00:12	2021 AUG 07 16:29:35	3525.09	-86.84	45.84	78.73	-64.11	-19.58	64.09	127.69	20.22	3	-	-	-		
1	44	Dayside	2021 AUG 07 16:29:35	2021 AUG 07 16:59:09	2021 AUG 07 17:28:44	3548.73	78.73	-149.10	-115.67	64.09	21.04	-64.09	52.43	8.18	3	Nominal 6SUBD #2	Science: orders #149, #134, #168, #121, #189, #196, with 220000us integration time (6 orders per 15 second(s) for detector lines 80 to 224)	COP row 85: NADIR: Horizontal Bin (57:245;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12409 ms, Binning=3	&mroOverlap; 	
2	44	Nightside	2021 AUG 07 17:28:44	2021 AUG 07 17:58:07	2021 AUG 07 18:27:31	3527.26	-115.67	16.87	49.92	-64.09	-19.58	64.08	127.44	20.20	1	-	-	-		
2	44	Dayside	2021 AUG 07 18:27:31	2021 AUG 07 18:57:05	2021 AUG 07 19:26:39	3548.10	49.92	-178.08	-144.64	64.08	21.00	-64.05	52.69	8.16	1	-		COP row -1: UVIS off		
3	44	Nightside	2021 AUG 07 19:26:39	2021 AUG 07 19:56:03	2021 AUG 07 20:25:27	3528.53	-144.64	-12.12	20.94	-64.05	-19.64	64.04	127.19	20.18	14	-	-	-		
3	44	Dayside	2021 AUG 07 20:25:27	2021 AUG 07 20:55:01	2021 AUG 07 21:24:34	3546.63	20.94	152.93	-173.71	64.04	21.04	-64.01	52.95	8.14	14	-		COP row 89: NADIR: Horizontal Bin (57:245;0:1047), Tint = 10000 ms,20 bit,Rhythm = 15364 ms, Binning=3		
4	44	Nightside	2021 AUG 07 21:24:34	2021 AUG 07 21:53:58	2021 AUG 07 22:23:22	3528.10	-173.71	-41.11	-8.21	-64.01	-19.70	63.98	126.94	20.16	1	-	-	-		
4	44	Dayside	2021 AUG 07 22:23:22	2021 AUG 07 22:52:55	2021 AUG 07 23:22:28	3545.56	-8.21	123.94	157.16	63.98	21.17	-63.95	53.18	8.12	1	Nominal 3SUBD 01	Science: orders #167, #169, #190, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 85: NADIR: Horizontal Bin (57:245;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12409 ms, Binning=3		
5	44	Nightside	2021 AUG 07 23:22:28	2021 AUG 07 23:51:51	2021 AUG 08 00:21:14	3526.38	157.16	-70.08	-37.42	-63.95	-19.78	63.91	126.71	20.14	14	-	-	-		
5	44	Dayside	2021 AUG 08 00:21:14	2021 AUG 08 00:50:47	2021 AUG 08 01:20:19	3545.25	-37.42	94.98	128.01	63.91	21.31	-63.89	53.39	8.10	14	-		COP row -1: UVIS off		
6	44	Nightside	2021 AUG 08 01:20:19	2021 AUG 08 01:49:42	2021 AUG 08 02:19:04	3524.93	128.01	-99.03	-66.54	-63.89	-19.87	63.85	126.50	20.13	1	-	-	-		
6	44	Dayside	2021 AUG 08 02:19:04	2021 AUG 08 02:48:37	2021 AUG 08 03:18:09	3544.59	-66.54	66.05	98.94	63.85	21.39	-63.83	53.60	8.09	1	-		COP row 89: NADIR: Horizontal Bin (57:245;0:1047), Tint = 10000 ms,20 bit,Rhythm = 15364 ms, Binning=3	&egressMatch:ALBA MONS; 	
7	44	Nightside	2021 AUG 08 03:18:09	2021 AUG 08 03:47:32	2021 AUG 08 04:16:56	3526.93	98.94	-127.96	-95.43	-63.83	-19.93	63.82	126.29	20.11	1	-	-	-		
7	44	Dayside	2021 AUG 08 04:16:56	2021 AUG 08 04:46:28	2021 AUG 08 05:16:01	3545.17	-95.43	37.10	70.08	63.82	21.37	-63.81	53.84	8.07	1	-		COP row -1: UVIS off		
8	44	Nightside	2021 AUG 08 05:16:01	2021 AUG 08 05:45:25	2021 AUG 08 06:14:50	3529.01	70.08	-156.92	-124.30	-63.81	-19.93	63.80	126.04	20.09	14	-	-	-		
8	44	Dayside	2021 AUG 08 06:14:50	2021 AUG 08 06:44:24	2021 AUG 08 07:13:57	3547.26	-124.30	8.11	41.21	63.80	21.37	-63.78	54.10	8.05	14	-		COP row 89: NADIR: Horizontal Bin (57:245;0:1047), Tint = 10000 ms,20 bit,Rhythm = 15364 ms, Binning=3		
9	44	Nightside	2021 AUG 08 07:13:57	2021 AUG 08 07:43:21	2021 AUG 08 08:12:45	3527.95	41.21	174.08	-153.28	-63.78	-19.92	63.75	125.77	20.07	3	-	-	-		
9	44	Dayside	2021 AUG 08 08:12:45	2021 AUG 08 08:42:20	2021 AUG 08 09:11:54	3548.93	-153.28	-20.88	12.19	63.75	21.42	-63.73	54.35	8.03	3	Surface 3SUBD #3	Science: orders #189, #194, #196, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 85: NADIR: Horizontal Bin (57:245;0:1047), Tint = 7000 ms,20 bit,Rhythm = 12409 ms, Binning=3	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; &daysideMatch:MAWRTH VALLIS; 	
10	44	Nightside	2021 AUG 08 09:11:54	2021 AUG 08 09:41:17	2021 AUG 08 10:10:40	3525.98	12.19	145.09	177.64	-63.73	-19.99	63.70	125.52	20.05	1	-	-	-		
