stepValue,steppingParameter,stepCount,stepSpeed
2,AOTF_IX,45,2 # FULLSCAN_45ORDERS_2STEPPING_3SUBDS
3,AOTF_IX,30,5 # FULLSCAN_30ORDERS_3STEPPING_6SUBDS
3,AOTF_IX,30,3 # FULLSCAN_30ORDERS_3STEPPING_4SUBDS
3,AOTF_IX,30,2 # FULLSCAN_30ORDERS_3STEPPING_3SUBDS
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
0,INTEGRATION_TIME,0,0 # EMPTY ROW
