Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Nightside nadir observation number,Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),SubSC latitude (deg) @ TC20 execution start time (UTC),SubSC longitude (deg) @ TC20 execution start time (UTC),SubSC LST @ TC20 execution start time (h),SubSC phase angle (deg) @ TC20 execution start time (UTC),SubSC solar incidence angle (deg) @ TC20 execution start time (UTC),SubSC emission angle (deg) @ TC20 execution start time (UTC),SubSC latitude (deg) @ TC20 execution end time (UTC),SubSC longitude (deg) @ TC20 execution end time (UTC),SubSC LST @ TC20 execution end time (h),SubSC phase angle (deg) @ TC20 execution end time (UTC),SubSC solar incidence angle (deg) @ TC20 execution end time (UTC),SubSC emission angle (deg) @ TC20 execution end time (UTC),Beta angle (deg),Solar longitude Ls (deg),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),LNO+UVIS+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
17,17,1,90,1917,0,1,0,0,0,2018 APR 29 00:46:59,2018 APR 29 01:12:09,N/A,N/A,2018 APR 29 00:47:09,2018 APR 29 01:12:08,-46.7862,-96.8361,20.3136,117.1212,117.1212,2.8135e-14,26.3688,-76.3314,22.0889,137.5359,137.5359,3.7397e-14,37.0125,166.9811,N/A,150.9347,150.9347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1499,104,402,1400002C0000000000000000000000000000000000000000000000000000000000000000000A05DB00680192
7,7,2,246,2073,1,0,0,0,0,2018 MAY 11 19:25:47,2018 MAY 11 20:05:03,2018 MAY 11 19:25:57,2018 MAY 11 20:04:57,2018 MAY 11 19:25:57,2018 MAY 11 20:05:02,-4.0227,79.7729,18.5522,98.4352,98.4352,6.4106e-15,60.5812,-140.135,4.5286,98.2688,98.2688,6.3611e-15,73.3731,173.9722,12.2705,236.1101,247.1082,0,0,0,0,0,0,0,0,0,0,10,640,1495,30,30,2340,1,1,1844,1844,10,2345,104,813,1400002C00000000000000000000000000000000000A028005D71E1E0924010107340734000A09290068032D
17,17,3,247,2074,0,1,0,0,0,2018 MAY 11 21:23:51,2018 MAY 11 22:01:08,N/A,N/A,2018 MAY 11 21:24:01,2018 MAY 11 22:01:07,-3.201,51.0188,18.5506,98.3791,98.3791,2.2949e-14,64.6608,-175.6889,4.0414,99.6527,99.6527,3.2784e-15,73.4869,174.0176,N/A,224.1339,224.1339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2226,104,364,1400002C0000000000000000000000000000000000000000000000000000000000000000000A08B20068016C
7,7,4,248,2075,1,0,0,0,0,2018 MAY 11 23:22:01,2018 MAY 12 00:01:21,2018 MAY 11 23:22:11,2018 MAY 12 00:01:11,2018 MAY 11 23:22:11,2018 MAY 12 00:01:20,-2.2859,22.2607,18.55,98.3385,98.3385,4.2262e-15,58.9439,163.8262,4.6258,98.1725,98.1725,1.8271e-14,73.5652,174.063,12.2705,236.5129,247.5109,0,0,0,0,0,0,0,0,0,0,10,640,1495,30,30,2340,1,1,1844,1844,10,2349,104,817,1400002C00000000000000000000000000000000000A028005D71E1E0924010107340734000A092D00680331
17,17,5,249,2076,0,1,0,0,0,2018 MAY 12 01:20:12,2018 MAY 12 01:57:31,N/A,N/A,2018 MAY 12 01:20:22,2018 MAY 12 01:57:30,-1.4327,-6.532,18.5478,98.2683,98.2683,5.5978e-15,63.1327,128.9084,4.1825,99.5516,99.5516,1.6218e-14,73.6772,174.1084,N/A,224.3353,224.3353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2228,104,366,1400002C0000000000000000000000000000000000000000000000000000000000000000000A08B40068016E
7,7,6,250,2077,1,0,0,0,0,2018 MAY 12 03:18:23,2018 MAY 12 03:57:44,2018 MAY 12 03:18:33,2018 MAY 12 03:57:33,2018 MAY 12 03:18:33,2018 MAY 12 03:57:43,-0.53872,-35.324,18.5456,98.1957,98.1957,2.8452e-14,57.3961,107.6121,4.7128,98.0467,98.0467,4.0855e-14,73.8261,174.1538,12.2705,236.6136,247.6116,0,0,0,0,0,0,0,0,0,0,10,640,1495,30,30,2340,1,1,1844,1844,10,2350,104,818,1400002C00000000000000000000000000000000000A028005D71E1E0924010107340734000A092E00680332
17,17,7,251,2079,0,1,0,0,0,2018 MAY 12 05:16:31,2018 MAY 12 05:53:49,N/A,N/A,2018 MAY 12 05:16:41,2018 MAY 12 05:53:48,0.30693,-64.1107,18.5428,98.1171,98.1171,1.1468e-14,61.8434,73.2165,4.3028,99.3742,99.3742,1.7201e-14,73.9863,174.1993,N/A,224.2346,224.2346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2227,104,365,1400002C0000000000000000000000000000000000000000000000000000000000000000000A08B30068016D
7,7,8,252,2080,1,0,0,0,0,2018 MAY 12 07:14:37,2018 MAY 12 07:53:55,2018 MAY 12 07:14:47,2018 MAY 12 07:53:47,2018 MAY 12 07:14:47,2018 MAY 12 07:53:54,1.1344,-92.8729,18.5408,98.0544,98.0544,7.014e-15,56.0794,51.215,4.7844,97.9102,97.9102,2.0612e-14,74.1289,174.2447,12.2705,236.3115,247.3096,0,0,0,0,0,0,0,0,0,0,10,640,1495,30,30,2340,1,1,1844,1844,10,2347,104,815,1400002C00000000000000000000000000000000000A028005D71E1E0924010107340734000A092B0068032F
17,17,9,253,2081,0,1,0,0,0,2018 MAY 12 09:12:41,2018 MAY 12 09:50:00,N/A,N/A,2018 MAY 12 09:12:51,2018 MAY 12 09:49:59,1.9039,-121.6302,18.5392,97.9901,97.9901,1.4362e-14,60.4229,17.3452,4.4094,99.258,99.258,2.0178e-14,74.2273,174.2901,N/A,224.3353,224.3353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2228,104,366,1400002C0000000000000000000000000000000000000000000000000000000000000000000A08B40068016E
7,7,10,254,2082,1,0,0,0,0,2018 MAY 12 11:10:50,2018 MAY 12 11:50:14,2018 MAY 12 11:11:00,2018 MAY 12 11:50:00,2018 MAY 12 11:11:00,2018 MAY 12 11:50:13,2.8446,-150.3756,18.5392,97.9484,97.9484,3.7093e-14,54.2757,-5.199,4.8569,97.8474,97.8474,4.2937e-14,74.3015,174.3355,12.2705,236.9156,247.9137,0,0,0,0,0,0,0,0,0,0,10,640,1495,30,30,2340,1,1,1844,1844,10,2353,104,821,1400002C00000000000000000000000000000000000A028005D71E1E0924010107340734000A093100680335
