Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,1,2018 APR 21 17:46:23,2018 APR 21 19:44:16,7073,2018 APR 21 17:44:23,2018 APR 21 18:43:17,3534,2018 APR 21 18:43:18,2018 APR 21 19:42:16,3538,13.8457,2018 APR 21 19:13:02
1,1,2,2018 APR 21 19:44:17,2018 APR 21 21:42:08,7071,2018 APR 21 19:42:17,2018 APR 21 20:41:11,3534,2018 APR 21 20:41:12,2018 APR 21 21:40:08,3536,14.1019,2018 APR 21 21:10:56
4,4,3,2018 APR 21 21:42:09,2018 APR 21 23:39:58,7069,2018 APR 21 21:40:09,2018 APR 21 22:39:02,3533,2018 APR 21 22:39:03,2018 APR 21 23:37:58,3535,14.3446,2018 APR 21 23:08:46
1,1,4,2018 APR 21 23:39:59,2018 APR 22 01:37:48,7069,2018 APR 21 23:37:59,2018 APR 22 00:36:52,3533,2018 APR 22 00:36:53,2018 APR 22 01:35:48,3535,14.5937,2018 APR 22 01:06:35
4,4,5,2018 APR 22 01:37:49,2018 APR 22 03:35:41,7072,2018 APR 22 01:35:49,2018 APR 22 02:34:43,3534,2018 APR 22 02:34:44,2018 APR 22 03:33:41,3537,14.8643,2018 APR 22 03:04:27
3,3,6,2018 APR 22 03:35:42,2018 APR 22 05:33:37,7075,2018 APR 22 03:33:42,2018 APR 22 04:32:37,3535,2018 APR 22 04:32:38,2018 APR 22 05:31:37,3539,15.1378,2018 APR 22 05:02:23
4,4,7,2018 APR 22 05:33:38,2018 APR 22 07:31:33,7075,2018 APR 22 05:31:38,2018 APR 22 06:30:32,3534,2018 APR 22 06:30:33,2018 APR 22 07:29:33,3540,15.4104,2018 APR 22 07:00:18
4,4,8,2018 APR 22 07:31:34,2018 APR 22 09:29:26,7072,2018 APR 22 07:29:34,2018 APR 22 08:28:26,3532,2018 APR 22 08:28:27,2018 APR 22 09:27:26,3539,15.6785,2018 APR 22 08:58:12
1,1,9,2018 APR 22 09:29:27,2018 APR 22 11:27:16,7069,2018 APR 22 09:27:27,2018 APR 22 10:26:19,3532,2018 APR 22 10:26:20,2018 APR 22 11:25:16,3536,15.9296,2018 APR 22 10:56:03
1,1,10,2018 APR 22 11:27:17,2018 APR 22 13:25:06,7069,2018 APR 22 11:25:17,2018 APR 22 12:24:09,3532,2018 APR 22 12:24:10,2018 APR 22 13:23:06,3536,16.1736,2018 APR 22 12:53:53
4,4,11,2018 APR 22 13:25:07,2018 APR 22 15:22:59,7072,2018 APR 22 13:23:07,2018 APR 22 14:21:59,3532,2018 APR 22 14:22:00,2018 APR 22 15:20:59,3539,16.4337,2018 APR 22 14:51:45
