Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Ingress solar occultation observation number,Merged Occultation (YES = 1; NO = 0),Thermal orbit/nightside number,ESA orbit number,LNO+UVIS operating (YES = 1; NO = 0),UVIS alone operating (YES = 1; NO = 0),LNO alone operating (YES = 1; NO = 0),SO+UVIS operating (YES = 1; NO = 0),SO alone operating (YES = 1; NO = 0),TC20 execution start time (UTC),TC20 execution end time (UTC),SO start time (UTC),SO end time (UTC),LNO start time (UTC),LNO end time (UTC),UVIS start time (UTC),UVIS end time (UTC),Limb Height 250 km (UTC),Latitude probed @ limb height 250 km (deg),Longitude probed @ limb height 250 km (deg),Limb Height 0 km (UTC),Latitude probed @ limb height 0 km (deg),Longitude probed @ limb height 0 km (deg),Limb Height 50 km: switch SCI1 to SCI2 (UTC),Beta angle (deg),Eclipse duration (Umbra end - Umbra start) (s),Local Solar Time (LST): TGO2SUN vector surface intercept point @ limb height 0 km (h),Solar longitude Ls (deg),SO+SINBAD data volume (Mbit),LNO+SINBAD data volume (Mbit),UVIS+SINBAD data volume (Mbit),Channel(s)+SINBAD data volume (Mbit),TC20 SO_START_TIME,TC20 SO_START_SCIENCE_1,TC20 SO_START_SCIENCE_2,TC20 SO_DURATION_REFERENCE_1,TC20 SO_DURATION_REFERENCE_2,TC20 SO_DURATION_TIME,TC20 SO_COP_GENERAL,TC20 SO_COP_PRECOOLING,TC20 SO_COP_SCIENCE_1,TC20 SO_COP_SCIENCE_2,TC20 LNO_START_TIME,TC20 LNO_START_SCIENCE_1,TC20 LNO_START_SCIENCE_2,TC20 LNO_DURATION_REFERENCE_1,TC20 LNO_DURATION_REFERENCE_2,TC20 LNO_DURATION_TIME,TC20 LNO_COP_GENERAL,TC20 LNO_COP_PRECOOLING,TC20 LNO_COP_SCIENCE_1,TC20 LNO_COP_SCIENCE_2,TC20 UVIS_START_TIME,TC20 UVIS_DURATION_TIME,TC20 UVIS_COP_ROW,TC20 CHECKSUM,TC20 (HEX)
1,1,1,0,2,24742,0,0,0,1,0,2023 JUN 10 16:55:11,2023 JUN 10 17:12:04,2023 JUN 10 16:55:21,2023 JUN 10 17:12:04,N/A,N/A,2023 JUN 10 17:05:21,2023 JUN 10 17:12:04,2023 JUN 10 17:05:51,-39.5378,-32.2856,2023 JUN 10 17:11:34,-52.031,-45.4094,2023 JUN 10 17:10:33,-47.2478,1929,15.735,75.8529,39.6301,N/A,73.0002,112.4156,10,640,922,30,30,1003,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,403,300,982,1400002C000A0280039A1E1E03EB0301000D000D0000000000000000000000000000000002620193012C03D6
1,1,2,0,4,24744,0,0,0,1,0,2023 JUN 10 20:51:10,2023 JUN 10 21:08:02,2023 JUN 10 20:51:20,2023 JUN 10 21:08:02,N/A,N/A,2023 JUN 10 21:01:20,2023 JUN 10 21:08:02,2023 JUN 10 21:01:50,-40.0181,-90.1232,2023 JUN 10 21:07:32,-52.0409,-104.0359,2023 JUN 10 21:06:32,-47.1241,1935,15.6547,75.9245,39.5354,N/A,72.819,112.1404,10,640,922,30,30,1002,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,402,300,980,1400002C000A0280039A1E1E03EA0301000D000D0000000000000000000000000000000002620192012C03D4
1,1,3,0,6,24746,0,0,0,1,0,2023 JUN 11 00:47:02,2023 JUN 11 01:03:52,2023 JUN 11 00:47:12,2023 JUN 11 01:03:52,N/A,N/A,2023 JUN 11 00:57:12,2023 JUN 11 01:03:52,2023 JUN 11 00:57:42,-40.3457,-147.8084,2023 JUN 11 01:03:22,-52.6474,-160.92,2023 JUN 11 01:02:22,-46.8494,1943,15.6883,75.996,39.3461,N/A,72.4567,111.5899,10,640,920,30,30,1000,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,400,300,974,1400002C000A028003981E1E03E80301000D000D0000000000000000000000000000000002620190012C03CE
1,1,4,0,7,24747,0,0,0,1,0,2023 JUN 11 02:45:04,2023 JUN 11 03:01:52,2023 JUN 11 02:45:14,2023 JUN 11 03:01:52,N/A,N/A,2023 JUN 11 02:55:14,2023 JUN 11 03:01:52,2023 JUN 11 02:55:44,-40.6042,-176.7586,2023 JUN 11 03:01:22,-52.636,169.8671,2023 JUN 11 03:00:22,-46.7116,1947,15.655,76.0318,39.1568,N/A,72.0945,111.0394,10,640,918,30,30,998,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,398,300,968,1400002C000A028003961E1E03E60301000D000D000000000000000000000000000000000262018E012C03C8
1,1,5,0,11,24751,0,0,0,1,0,2023 JUN 11 10:36:56,2023 JUN 11 10:53:43,2023 JUN 11 10:37:06,2023 JUN 11 10:53:43,N/A,N/A,2023 JUN 11 10:47:06,2023 JUN 11 10:53:43,2023 JUN 11 10:47:36,-41.2916,67.7936,2023 JUN 11 10:53:13,-53.269,54.4773,2023 JUN 11 10:52:14,-46.3388,1960,15.6172,76.175,39.0622,N/A,71.9133,110.7642,10,640,918,30,30,997,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,397,300,966,1400002C000A028003961E1E03E50301000D000D000000000000000000000000000000000262018D012C03C6
1,1,6,0,13,24753,0,0,0,1,0,2023 JUN 11 14:32:53,2023 JUN 11 14:49:36,2023 JUN 11 14:33:03,2023 JUN 11 14:49:36,N/A,N/A,2023 JUN 11 14:43:03,2023 JUN 11 14:49:36,2023 JUN 11 14:43:33,-41.671,10.0273,2023 JUN 11 14:49:06,-53.0812,-3.7918,2023 JUN 11 14:48:08,-46.0165,1970,15.5594,76.2465,38.6836,N/A,71.1888,109.6632,10,640,915,30,30,993,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,393,300,955,1400002C000A028003931E1E03E10301000D000D0000000000000000000000000000000002620189012C03BB
1,1,7,0,14,24754,0,0,0,1,0,2023 JUN 11 16:30:55,2023 JUN 11 16:47:37,2023 JUN 11 16:31:05,2023 JUN 11 16:47:37,N/A,N/A,2023 JUN 11 16:41:05,2023 JUN 11 16:47:37,2023 JUN 11 16:41:35,-41.8474,-18.8599,2023 JUN 11 16:47:07,-53.3161,-32.4307,2023 JUN 11 16:46:09,-45.8789,1975,15.5647,76.2823,38.589,N/A,71.0076,109.388,10,640,914,30,30,992,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,392,300,952,1400002C000A028003921E1E03E00301000D000D0000000000000000000000000000000002620188012C03B8
1,1,8,0,15,24755,0,0,0,1,0,2023 JUN 11 18:28:58,2023 JUN 11 18:45:39,2023 JUN 11 18:29:08,2023 JUN 11 18:45:39,N/A,N/A,2023 JUN 11 18:39:08,2023 JUN 11 18:45:39,2023 JUN 11 18:39:38,-42.0981,-47.8204,2023 JUN 11 18:45:09,-53.5335,-61.3546,2023 JUN 11 18:44:11,-45.7884,1978,15.5514,76.3181,38.4944,N/A,70.8265,109.1127,10,640,913,30,30,991,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,391,300,949,1400002C000A028003911E1E03DF0301000D000D0000000000000000000000000000000002620187012C03B5
1,1,9,0,16,24756,0,0,0,1,0,2023 JUN 11 20:26:58,2023 JUN 11 20:43:38,2023 JUN 11 20:27:08,2023 JUN 11 20:43:38,N/A,N/A,2023 JUN 11 20:37:08,2023 JUN 11 20:43:38,2023 JUN 11 20:37:38,-42.3435,-76.7661,2023 JUN 11 20:43:08,-53.6756,-90.4021,2023 JUN 11 20:42:10,-45.7192,1980,15.5289,76.3539,38.3997,N/A,70.6453,108.8375,10,640,912,30,30,990,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,390,300,946,1400002C000A028003901E1E03DE0301000D000D0000000000000000000000000000000002620186012C03B2
1,1,10,0,18,24758,0,0,0,1,0,2023 JUN 12 00:22:47,2023 JUN 12 00:39:26,2023 JUN 12 00:22:57,2023 JUN 12 00:39:26,N/A,N/A,2023 JUN 12 00:32:57,2023 JUN 12 00:39:26,2023 JUN 12 00:33:27,-42.5978,-134.3973,2023 JUN 12 00:38:56,-54.2249,-147.3215,2023 JUN 12 00:37:58,-45.4665,1988,15.5594,76.4254,38.3051,N/A,70.4642,108.5623,10,640,911,30,30,989,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,389,300,943,1400002C000A0280038F1E1E03DD0301000D000D0000000000000000000000000000000002620185012C03AF
1,1,11,0,20,24760,0,0,0,1,0,2023 JUN 12 04:18:48,2023 JUN 12 04:35:24,2023 JUN 12 04:18:58,2023 JUN 12 04:35:24,N/A,N/A,2023 JUN 12 04:28:58,2023 JUN 12 04:35:24,2023 JUN 12 04:29:28,-43.0025,167.7775,2023 JUN 12 04:34:54,-53.8056,153.777,2023 JUN 12 04:33:57,-45.1705,1996,15.4608,76.497,38.0211,N/A,69.9208,107.7366,10,640,909,30,30,986,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,386,300,935,1400002C000A0280038D1E1E03DA0301000D000D0000000000000000000000000000000002620182012C03A7
1,1,12,0,23,24763,0,0,0,1,0,2023 JUN 12 10:12:40,2023 JUN 12 10:29:16,2023 JUN 12 10:12:50,2023 JUN 12 10:29:16,N/A,N/A,2023 JUN 12 10:22:50,2023 JUN 12 10:29:16,2023 JUN 12 10:23:20,-43.4352,81.2355,2023 JUN 12 10:28:46,-54.732,68.1632,2023 JUN 12 10:27:49,-44.8677,2007,15.4939,76.6044,38.0211,N/A,69.9208,107.7366,10,640,909,30,30,986,3,1,13,13,0,0,0,0,0,0,0,0,0,0,610,386,300,935,1400002C000A0280038D1E1E03DA0301000D000D0000000000000000000000000000000002620182012C03A7
