Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	Nightside	2020 DEC 26 15:15:15	2020 DEC 26 15:44:53	2020 DEC 26 16:14:32	3556.50	53.27	77.27	-141.21	-51.51	34.99	51.40	129.97	20.87	3	-	-	-		
1	Dayside	2020 DEC 26 16:14:32	2020 DEC 26 16:43:52	2020 DEC 26 17:13:12	3519.94	-141.21	-117.66	24.44	51.40	-33.83	-51.26	50.11	8.83	3	Surface Ice 6SUBD 01	Science: orders #199, #198, #194, #193, #187, #186, with 220000us integration time (6 orders per 15 second(s) for detector lines 80 to 224)	COP row 68: NADIR: Full Frame (57:245;0:1047),Tint = 7000 ms,16 bit,Rhythm = 9017 ms, Binning=0		
2	Nightside	2020 DEC 26 17:13:12	2020 DEC 26 17:42:51	2020 DEC 26 18:12:30	3558.63	24.44	48.45	-170.05	-51.26	35.24	51.14	129.78	20.86	1	-	-	-		
2	Dayside	2020 DEC 26 18:12:30	2020 DEC 26 18:41:51	2020 DEC 26 19:11:12	3522.21	-170.05	-146.49	-4.41	51.14	-34.10	-51.00	50.30	8.82	1	-		COP row -1: UVIS off		
3	Nightside	2020 DEC 26 19:11:12	2020 DEC 26 19:40:52	2020 DEC 26 20:10:32	3559.31	-4.41	19.60	161.09	-51.00	35.45	50.86	129.60	20.85	14	-	-	-		
3	Dayside	2020 DEC 26 20:10:32	2020 DEC 26 20:39:53	2020 DEC 26 21:09:14	3522.39	161.09	-175.36	-33.25	50.86	-34.38	-50.77	50.52	8.81	14	-		COP row -1: UVIS off		
4	Nightside	2020 DEC 26 21:09:14	2020 DEC 26 21:38:54	2020 DEC 26 22:08:34	3559.52	-33.25	-9.30	132.25	-50.77	35.67	50.64	129.37	20.84	1	-	-	-		
4	Dayside	2020 DEC 26 22:08:34	2020 DEC 26 22:37:54	2020 DEC 26 23:07:14	3520.74	132.25	155.73	-62.07	50.64	-34.60	-50.56	50.75	8.80	1	CH4 CO 2SUBD #3	Science: orders #189, #136, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 68: NADIR: Full Frame (57:245;0:1047),Tint = 7000 ms,16 bit,Rhythm = 9017 ms, Binning=0	&daysideMatch:AEOLIS MENSAE MFF; 	
5	Nightside	2020 DEC 26 23:07:14	2020 DEC 26 23:36:54	2020 DEC 27 00:06:34	3559.55	-62.07	-38.23	103.45	-50.56	35.89	50.47	129.12	20.83	14	-	-	-		
5	Dayside	2020 DEC 27 00:06:34	2020 DEC 27 00:35:53	2020 DEC 27 01:05:12	3518.40	103.45	126.80	-90.86	50.47	-34.79	-50.39	50.99	8.78	14	-		COP row -1: UVIS off		
6	Nightside	2020 DEC 27 01:05:12	2020 DEC 27 01:34:52	2020 DEC 27 02:04:31	3558.86	-90.86	-67.15	74.67	-50.39	36.10	50.33	128.87	20.81	1	-	-	-		
6	Dayside	2020 DEC 27 02:04:31	2020 DEC 27 02:33:50	2020 DEC 27 03:03:08	3517.19	74.67	97.89	-119.65	50.33	-34.97	-50.23	51.22	8.77	1	-		COP row -1: UVIS off		
7	Nightside	2020 DEC 27 03:03:08	2020 DEC 27 03:32:47	2020 DEC 27 04:02:26	3557.95	-119.65	-96.03	45.88	-50.23	36.28	50.14	128.66	20.80	1	-	-	-		
7	Dayside	2020 DEC 27 04:02:26	2020 DEC 27 04:31:45	2020 DEC 27 05:01:04	3517.90	45.88	69.05	-148.45	50.14	-35.21	-50.02	51.43	8.76	1	-		COP row -1: UVIS off		
8	Nightside	2020 DEC 27 05:01:04	2020 DEC 27 05:30:44	2020 DEC 27 06:00:24	3560.16	-148.45	-124.86	17.04	-50.02	36.49	49.86	128.48	20.79	14	-	-	-		
8	Dayside	2020 DEC 27 06:00:24	2020 DEC 27 06:29:44	2020 DEC 27 06:59:04	3519.16	17.04	40.24	-177.29	49.86	-35.49	-49.73	51.61	8.75	14	-		COP row -1: UVIS off		
9	Nightside	2020 DEC 27 06:59:04	2020 DEC 27 07:28:45	2020 DEC 27 07:58:26	3562.20	-177.29	-153.69	-11.81	-49.73	36.77	49.58	128.29	20.78	1	-	-	-		
9	Dayside	2020 DEC 27 07:58:26	2020 DEC 27 08:27:46	2020 DEC 27 08:57:06	3520.14	-11.81	11.38	153.85	49.58	-35.73	-49.44	51.80	8.74	1	Nominal 3SUBD 01	Science: orders #167, #169, #190, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 68: NADIR: Full Frame (57:245;0:1047),Tint = 7000 ms,16 bit,Rhythm = 9017 ms, Binning=0		
10	Nightside	2020 DEC 27 08:57:06	2020 DEC 27 09:26:47	2020 DEC 27 09:56:28	3561.59	153.85	177.45	-40.64	-49.44	37.06	49.34	128.07	20.77	14	-	-	-		
