Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
104,4,129,2018 APR 04 09:32:36,2018 APR 04 11:31:10,7114,2018 APR 04 09:30:36,2018 APR 04 10:32:15,3699,2018 APR 04 10:32:16,2018 APR 04 11:29:10,3414,54.8438,2018 APR 04 11:00:02
104,4,130,2018 APR 04 11:31:11,2018 APR 04 13:29:45,7114,2018 APR 04 11:29:11,2018 APR 04 12:30:50,3699,2018 APR 04 12:30:51,2018 APR 04 13:27:45,3414,54.6759,2018 APR 04 12:58:36
104,4,131,2018 APR 04 13:29:46,2018 APR 04 15:28:19,7113,2018 APR 04 13:27:46,2018 APR 04 14:29:23,3697,2018 APR 04 14:29:24,2018 APR 04 15:26:19,3415,54.5409,2018 APR 04 14:57:10
104,4,132,2018 APR 04 15:28:20,2018 APR 04 17:26:50,7110,2018 APR 04 15:26:20,2018 APR 04 16:27:54,3694,2018 APR 04 16:27:55,2018 APR 04 17:24:50,3415,54.4197,2018 APR 04 16:55:40
12,12,133,2018 APR 04 17:26:51,2018 APR 04 19:25:17,7106,2018 APR 04 17:24:51,2018 APR 04 18:26:23,3692,2018 APR 04 18:26:24,2018 APR 04 19:23:17,3413,54.2591,2018 APR 04 18:54:07
3,3,134,2018 APR 04 19:25:18,2018 APR 04 21:23:48,7110,2018 APR 04 19:23:18,2018 APR 04 20:24:51,3693,2018 APR 04 20:24:52,2018 APR 04 21:21:48,3416,54.047,2018 APR 04 20:52:36
12,12,135,2018 APR 04 21:23:49,2018 APR 04 23:22:23,7114,2018 APR 04 21:21:49,2018 APR 04 22:23:22,3693,2018 APR 04 22:23:23,2018 APR 04 23:20:23,3420,53.8464,2018 APR 04 22:51:08
3,3,136,2018 APR 04 23:22:24,2018 APR 05 01:20:59,7115,2018 APR 04 23:20:24,2018 APR 05 00:21:55,3691,2018 APR 05 00:21:56,2018 APR 05 01:18:59,3423,53.6726,2018 APR 05 00:49:41
12,12,137,2018 APR 05 01:21:00,2018 APR 05 03:19:33,7113,2018 APR 05 01:19:00,2018 APR 05 02:20:29,3689,2018 APR 05 02:20:30,2018 APR 05 03:17:33,3423,53.5165,2018 APR 05 02:48:14
3,3,138,2018 APR 05 03:19:34,2018 APR 05 05:18:04,7110,2018 APR 05 03:17:34,2018 APR 05 04:19:01,3687,2018 APR 05 04:19:02,2018 APR 05 05:16:04,3422,53.3771,2018 APR 05 04:46:45
12,12,139,2018 APR 05 05:18:05,2018 APR 05 07:16:33,7108,2018 APR 05 05:16:05,2018 APR 05 06:17:30,3685,2018 APR 05 06:17:31,2018 APR 05 07:14:33,3422,53.225,2018 APR 05 06:45:13
3,3,140,2018 APR 05 07:16:34,2018 APR 05 09:15:03,7109,2018 APR 05 07:14:34,2018 APR 05 08:15:57,3683,2018 APR 05 08:15:58,2018 APR 05 09:13:03,3425,53.0277,2018 APR 05 08:43:42
12,12,141,2018 APR 05 09:15:04,2018 APR 05 11:13:36,7112,2018 APR 05 09:13:04,2018 APR 05 10:14:28,3684,2018 APR 05 10:14:29,2018 APR 05 11:11:36,3427,52.8056,2018 APR 05 10:42:12
3,3,142,2018 APR 05 11:13:37,2018 APR 05 13:12:11,7114,2018 APR 05 11:11:37,2018 APR 05 12:13:02,3685,2018 APR 05 12:13:03,2018 APR 05 13:10:11,3428,52.6084,2018 APR 05 12:40:46
12,12,143,2018 APR 05 13:12:12,2018 APR 05 15:10:44,7112,2018 APR 05 13:10:12,2018 APR 05 14:11:35,3683,2018 APR 05 14:11:36,2018 APR 05 15:08:44,3428,52.4453,2018 APR 05 14:39:19
3,3,144,2018 APR 05 15:10:45,2018 APR 05 17:09:16,7111,2018 APR 05 15:08:45,2018 APR 05 16:10:06,3681,2018 APR 05 16:10:07,2018 APR 05 17:07:16,3429,52.3056,2018 APR 05 16:37:50
4,4,145,2018 APR 05 17:09:17,2018 APR 05 19:07:44,7107,2018 APR 05 17:07:17,2018 APR 05 18:08:35,3678,2018 APR 05 18:08:36,2018 APR 05 19:05:44,3428,52.1538,2018 APR 05 18:36:18
4,4,146,2018 APR 05 19:07:45,2018 APR 05 21:06:12,7107,2018 APR 05 19:05:45,2018 APR 05 20:07:02,3677,2018 APR 05 20:07:03,2018 APR 05 21:04:12,3429,51.9454,2018 APR 05 20:34:45
4,4,147,2018 APR 05 21:06:13,2018 APR 05 23:04:45,7112,2018 APR 05 21:04:13,2018 APR 05 22:05:31,3678,2018 APR 05 22:05:32,2018 APR 05 23:02:45,3433,51.7239,2018 APR 05 22:33:15
4,4,148,2018 APR 05 23:04:46,2018 APR 06 01:03:21,7115,2018 APR 05 23:02:46,2018 APR 06 00:04:03,3677,2018 APR 06 00:04:04,2018 APR 06 01:01:21,3437,51.5259,2018 APR 06 00:31:48
4,4,149,2018 APR 06 01:03:22,2018 APR 06 03:01:55,7113,2018 APR 06 01:01:22,2018 APR 06 02:02:36,3674,2018 APR 06 02:02:37,2018 APR 06 02:59:55,3438,51.3502,2018 APR 06 02:30:20
4,4,150,2018 APR 06 03:01:56,2018 APR 06 05:00:27,7111,2018 APR 06 02:59:56,2018 APR 06 04:01:08,3672,2018 APR 06 04:01:09,2018 APR 06 04:58:27,3438,51.1944,2018 APR 06 04:28:51
12,12,151,2018 APR 06 05:00:28,2018 APR 06 06:58:54,7106,2018 APR 06 04:58:28,2018 APR 06 05:59:37,3669,2018 APR 06 05:59:38,2018 APR 06 06:56:54,3436,51.0366,2018 APR 06 06:27:19
3,3,152,2018 APR 06 06:58:55,2018 APR 06 08:57:23,7108,2018 APR 06 06:56:55,2018 APR 06 07:58:03,3668,2018 APR 06 07:58:04,2018 APR 06 08:55:23,3439,50.8448,2018 APR 06 08:25:46
3,3,153,2018 APR 06 08:57:24,2018 APR 06 10:55:54,7110,2018 APR 06 08:55:24,2018 APR 06 09:56:31,3667,2018 APR 06 09:56:32,2018 APR 06 10:53:54,3442,50.6112,2018 APR 06 10:24:15
12,12,154,2018 APR 06 10:55:55,2018 APR 06 12:54:28,7113,2018 APR 06 10:53:55,2018 APR 06 11:55:03,3668,2018 APR 06 11:55:04,2018 APR 06 12:52:28,3444,50.3899,2018 APR 06 12:22:47
3,3,155,2018 APR 06 12:54:29,2018 APR 06 14:53:01,7112,2018 APR 06 12:52:29,2018 APR 06 13:53:36,3667,2018 APR 06 13:53:37,2018 APR 06 14:51:01,3444,50.1991,2018 APR 06 14:21:20
3,3,156,2018 APR 06 14:53:02,2018 APR 06 16:51:33,7111,2018 APR 06 14:51:02,2018 APR 06 15:52:08,3666,2018 APR 06 15:52:09,2018 APR 06 16:49:33,3444,50.0378,2018 APR 06 16:19:52
12,12,157,2018 APR 06 16:51:34,2018 APR 06 18:50:02,7108,2018 APR 06 16:49:34,2018 APR 06 17:50:37,3663,2018 APR 06 17:50:38,2018 APR 06 18:48:02,3444,49.8842,2018 APR 06 18:18:20
3,3,158,2018 APR 06 18:50:03,2018 APR 06 20:48:29,7106,2018 APR 06 18:48:03,2018 APR 06 19:49:03,3660,2018 APR 06 19:49:04,2018 APR 06 20:46:29,3445,49.6825,2018 APR 06 20:16:46
3,3,159,2018 APR 06 20:48:30,2018 APR 06 22:46:59,7109,2018 APR 06 20:46:30,2018 APR 06 21:47:31,3661,2018 APR 06 21:47:32,2018 APR 06 22:44:59,3447,49.443,2018 APR 06 22:15:15
12,12,160,2018 APR 06 22:47:00,2018 APR 07 00:45:34,7114,2018 APR 06 22:45:00,2018 APR 06 23:46:02,3662,2018 APR 06 23:46:03,2018 APR 07 00:43:34,3451,49.2253,2018 APR 07 00:13:46
3,3,161,2018 APR 07 00:45:35,2018 APR 07 02:44:09,7114,2018 APR 07 00:43:35,2018 APR 07 01:44:34,3659,2018 APR 07 01:44:35,2018 APR 07 02:42:09,3454,49.0304,2018 APR 07 02:12:19
3,3,162,2018 APR 07 02:44:10,2018 APR 07 04:42:42,7112,2018 APR 07 02:42:10,2018 APR 07 03:43:06,3656,2018 APR 07 03:43:07,2018 APR 07 04:40:42,3455,48.854,2018 APR 07 04:10:50
4,4,163,2018 APR 07 04:42:43,2018 APR 07 06:41:10,7107,2018 APR 07 04:40:43,2018 APR 07 05:41:36,3653,2018 APR 07 05:41:37,2018 APR 07 06:39:10,3453,48.6858,2018 APR 07 06:09:19
4,4,164,2018 APR 07 06:41:11,2018 APR 07 08:39:38,7107,2018 APR 07 06:39:11,2018 APR 07 07:40:02,3651,2018 APR 07 07:40:03,2018 APR 07 08:37:38,3455,48.5012,2018 APR 07 08:07:47
4,4,165,2018 APR 07 08:39:39,2018 APR 07 10:38:08,7109,2018 APR 07 08:37:39,2018 APR 07 09:38:29,3650,2018 APR 07 09:38:30,2018 APR 07 10:36:08,3458,48.2723,2018 APR 07 10:06:14
4,4,166,2018 APR 07 10:38:09,2018 APR 07 12:36:40,7111,2018 APR 07 10:36:09,2018 APR 07 11:36:59,3650,2018 APR 07 11:37:00,2018 APR 07 12:34:40,3460,48.0332,2018 APR 07 12:04:45
4,4,167,2018 APR 07 12:36:41,2018 APR 07 14:35:13,7112,2018 APR 07 12:34:41,2018 APR 07 13:35:32,3651,2018 APR 07 13:35:33,2018 APR 07 14:33:13,3460,47.8193,2018 APR 07 14:03:17
4,4,168,2018 APR 07 14:35:14,2018 APR 07 16:33:45,7111,2018 APR 07 14:33:14,2018 APR 07 15:34:03,3649,2018 APR 07 15:34:04,2018 APR 07 16:31:45,3461,47.6361,2018 APR 07 16:01:49
3,3,169,2018 APR 07 16:33:46,2018 APR 07 18:32:15,7109,2018 APR 07 16:31:46,2018 APR 07 17:32:32,3646,2018 APR 07 17:32:33,2018 APR 07 18:30:15,3462,47.4722,2018 APR 07 18:00:18
3,3,170,2018 APR 07 18:32:16,2018 APR 07 20:30:41,7105,2018 APR 07 18:30:16,2018 APR 07 19:30:59,3643,2018 APR 07 19:31:00,2018 APR 07 20:28:41,3461,47.2842,2018 APR 07 19:58:44
3,3,171,2018 APR 07 20:30:42,2018 APR 07 22:29:09,7107,2018 APR 07 20:28:42,2018 APR 07 21:29:25,3643,2018 APR 07 21:29:26,2018 APR 07 22:27:09,3463,47.0489,2018 APR 07 21:57:10
3,3,172,2018 APR 07 22:29:10,2018 APR 08 00:27:41,7111,2018 APR 07 22:27:10,2018 APR 07 23:27:54,3644,2018 APR 07 23:27:55,2018 APR 08 00:25:41,3466,46.8137,2018 APR 07 23:55:40
3,3,173,2018 APR 08 00:27:42,2018 APR 08 02:26:16,7114,2018 APR 08 00:25:42,2018 APR 08 01:26:25,3643,2018 APR 08 01:26:26,2018 APR 08 02:24:16,3470,46.6004,2018 APR 08 01:54:12
3,3,174,2018 APR 08 02:26:17,2018 APR 08 04:24:49,7112,2018 APR 08 02:24:17,2018 APR 08 03:24:56,3639,2018 APR 08 03:24:57,2018 APR 08 04:22:49,3472,46.4025,2018 APR 08 03:52:43
3,3,175,2018 APR 08 04:24:50,2018 APR 08 06:23:18,7108,2018 APR 08 04:22:50,2018 APR 08 05:23:26,3636,2018 APR 08 05:23:27,2018 APR 08 06:21:18,3471,46.2233,2018 APR 08 05:51:12
3,3,176,2018 APR 08 06:23:19,2018 APR 08 08:21:45,7106,2018 APR 08 06:21:19,2018 APR 08 07:21:53,3634,2018 APR 08 07:21:54,2018 APR 08 08:19:45,3471,46.0373,2018 APR 08 07:49:39
3,3,177,2018 APR 08 08:21:46,2018 APR 08 10:20:13,7107,2018 APR 08 08:19:46,2018 APR 08 09:20:18,3632,2018 APR 08 09:20:19,2018 APR 08 10:18:13,3474,45.8167,2018 APR 08 09:48:06
3,3,178,2018 APR 08 10:20:14,2018 APR 08 12:18:44,7110,2018 APR 08 10:18:14,2018 APR 08 11:18:47,3633,2018 APR 08 11:18:48,2018 APR 08 12:16:44,3476,45.5675,2018 APR 08 11:46:35
3,3,179,2018 APR 08 12:18:45,2018 APR 08 14:17:17,7112,2018 APR 08 12:16:45,2018 APR 08 13:17:18,3633,2018 APR 08 13:17:19,2018 APR 08 14:15:17,3478,45.3341,2018 APR 08 13:45:06
3,3,180,2018 APR 08 14:17:18,2018 APR 08 16:15:49,7111,2018 APR 08 14:15:18,2018 APR 08 15:15:50,3632,2018 APR 08 15:15:51,2018 APR 08 16:13:49,3478,45.1287,2018 APR 08 15:43:38
4,4,181,2018 APR 08 16:15:50,2018 APR 08 18:14:19,7109,2018 APR 08 16:13:50,2018 APR 08 17:14:19,3629,2018 APR 08 17:14:20,2018 APR 08 18:12:19,3479,44.9493,2018 APR 08 17:42:08
4,4,182,2018 APR 08 18:14:20,2018 APR 08 20:12:46,7106,2018 APR 08 18:12:20,2018 APR 08 19:12:46,3626,2018 APR 08 19:12:47,2018 APR 08 20:10:46,3479,44.7695,2018 APR 08 19:40:35
4,4,183,2018 APR 08 20:12:47,2018 APR 08 22:11:12,7105,2018 APR 08 20:10:47,2018 APR 08 21:11:12,3625,2018 APR 08 21:11:13,2018 APR 08 22:09:12,3479,44.5408,2018 APR 08 21:39:00
4,4,184,2018 APR 08 22:11:13,2018 APR 09 00:09:43,7110,2018 APR 08 22:09:13,2018 APR 08 23:09:39,3626,2018 APR 08 23:09:40,2018 APR 09 00:07:43,3483,44.2913,2018 APR 08 23:37:29
4,4,185,2018 APR 09 00:09:44,2018 APR 09 02:08:17,7113,2018 APR 09 00:07:44,2018 APR 09 01:08:09,3625,2018 APR 09 01:08:10,2018 APR 09 02:06:17,3487,44.062,2018 APR 09 01:36:00
4,4,186,2018 APR 09 02:08:18,2018 APR 09 04:06:50,7112,2018 APR 09 02:06:18,2018 APR 09 03:06:40,3622,2018 APR 09 03:06:41,2018 APR 09 04:04:50,3489,43.8523,2018 APR 09 03:34:31
12,12,187,2018 APR 09 04:06:51,2018 APR 09 06:05:21,7110,2018 APR 09 04:04:51,2018 APR 09 05:05:10,3619,2018 APR 09 05:05:11,2018 APR 09 06:03:21,3490,43.6606,2018 APR 09 05:33:01
103,3,188,2018 APR 09 06:05:22,2018 APR 09 08:03:47,7105,2018 APR 09 06:03:22,2018 APR 09 07:03:38,3616,2018 APR 09 07:03:39,2018 APR 09 08:01:47,3488,43.4721,2018 APR 09 07:31:28
12,12,189,2018 APR 09 08:03:48,2018 APR 09 10:02:14,7106,2018 APR 09 08:01:48,2018 APR 09 09:02:03,3615,2018 APR 09 09:02:04,2018 APR 09 10:00:14,3490,43.2604,2018 APR 09 09:29:54
103,3,190,2018 APR 09 10:02:15,2018 APR 09 12:00:43,7108,2018 APR 09 10:00:15,2018 APR 09 11:00:29,3614,2018 APR 09 11:00:30,2018 APR 09 11:58:43,3493,43.0099,2018 APR 09 11:28:22
12,12,191,2018 APR 09 12:00:44,2018 APR 09 13:59:15,7111,2018 APR 09 11:58:44,2018 APR 09 12:58:59,3615,2018 APR 09 12:59:00,2018 APR 09 13:57:15,3495,42.7608,2018 APR 09 13:26:52
103,3,192,2018 APR 09 13:59:16,2018 APR 09 15:57:47,7111,2018 APR 09 13:57:16,2018 APR 09 14:57:31,3615,2018 APR 09 14:57:32,2018 APR 09 15:55:47,3495,42.5356,2018 APR 09 15:25:23
12,12,193,2018 APR 09 15:57:48,2018 APR 09 17:56:17,7109,2018 APR 09 15:55:48,2018 APR 09 16:56:01,3613,2018 APR 09 16:56:02,2018 APR 09 17:54:17,3495,42.3392,2018 APR 09 17:23:54
103,3,194,2018 APR 09 17:56:18,2018 APR 09 19:54:45,7107,2018 APR 09 17:54:18,2018 APR 09 18:54:28,3610,2018 APR 09 18:54:29,2018 APR 09 19:52:45,3496,42.1562,2018 APR 09 19:22:21
12,12,195,2018 APR 09 19:54:46,2018 APR 09 21:53:10,7104,2018 APR 09 19:52:46,2018 APR 09 20:52:53,3607,2018 APR 09 20:52:54,2018 APR 09 21:51:10,3496,41.9396,2018 APR 09 21:20:46
103,3,196,2018 APR 09 21:53:11,2018 APR 09 23:51:39,7108,2018 APR 09 21:51:11,2018 APR 09 22:51:19,3608,2018 APR 09 22:51:20,2018 APR 09 23:49:39,3499,41.683,2018 APR 09 23:19:13
12,12,197,2018 APR 09 23:51:40,2018 APR 10 01:50:12,7112,2018 APR 09 23:49:40,2018 APR 10 00:49:48,3608,2018 APR 10 00:49:49,2018 APR 10 01:48:12,3503,41.4397,2018 APR 10 01:17:43
103,3,198,2018 APR 10 01:50:13,2018 APR 10 03:48:45,7112,2018 APR 10 01:48:13,2018 APR 10 02:48:18,3605,2018 APR 10 02:48:19,2018 APR 10 03:46:45,3506,41.2156,2018 APR 10 03:16:15
