TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2023 FEB 19 00:30:00,5,5
2023 FEB 19 02:27:00,6,6
2023 FEB 19 02:24:00,6,6
2023 FEB 19 04:21:00,7,7
2023 FEB 19 08:27:00,9,9
2023 FEB 19 08:24:00,9,9
2023 FEB 19 08:21:00,9,9
2023 FEB 19 10:18:00,10,10
2023 FEB 20 12:00:00,23,23
2023 FEB 20 13:54:00,24,24
2023 FEB 20 13:51:00,24,24
2023 FEB 20 15:48:00,25,25
2023 FEB 20 19:51:00,27,27
2023 FEB 20 19:48:00,27,27
2023 FEB 20 21:45:00,28,28
2023 FEB 21 19:24:00,39,39
2023 FEB 21 23:24:00,41,41
2023 FEB 22 01:18:00,42,42
2023 FEB 22 07:15:00,45,45
2023 FEB 22 07:12:00,45,45
2023 FEB 23 10:48:00,59,59
2023 FEB 23 16:45:00,62,62
2023 FEB 23 16:42:00,62,62
2023 FEB 23 18:39:00,63,63
2023 FEB 23 22:42:00,65,65
2023 FEB 23 22:39:00,65,65
2023 FEB 24 16:15:00,74,74
2023 FEB 24 22:12:00,77,77
2023 FEB 25 04:06:00,80,80
2023 FEB 25 08:06:00,82,82
2023 FEB 26 19:27:00,100,100
2023 MAR 01 10:21:00,132,132
2023 MAR 02 21:45:00,150,150
2023 MAR 06 13:15:00,195,195
2023 MAR 06 19:09:00,198,198
2023 MAR 11 03:18:00,251,251
2023 MAR 11 03:18:00,251,251
2023 MAR 11 09:12:00,254,254
2023 MAR 14 11:54:00,292,292
2023 MAR 14 17:48:00,295,295
2023 MAR 15 21:18:00,309,309
2023 MAR 14 23:42:00,298,298
2023 MAR 15 21:18:00,309,309
2023 MAR 16 03:12:00,312,312
