Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	67	Nightside	2023 MAY 13 14:27:54	2023 MAY 13 14:57:17	2023 MAY 13 15:26:39	3524.76	161.13	-174.87	-33.23	57.81	-27.63	-57.76	162.88	22.80	3	-	-	-		
1	67	Dayside	2023 MAY 13 15:26:39	2023 MAY 13 15:56:16	2023 MAY 13 16:25:54	3554.52	-33.23	-8.89	132.25	-57.76	28.99	57.71	17.24	10.83	3	Ice CO 2SUBD #2	Science: orders #193, #189, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 		
2	67	Nightside	2023 MAY 13 16:25:54	2023 MAY 13 16:55:15	2023 MAY 13 17:24:37	3523.61	132.25	156.19	-62.09	57.71	-27.73	-57.68	162.66	22.79	14	-	-	-		
2	67	Dayside	2023 MAY 13 17:24:37	2023 MAY 13 17:54:15	2023 MAY 13 18:23:52	3554.89	-62.09	-37.84	103.43	-57.68	29.11	57.64	17.47	10.81	14	-		COP row -1: 		
3	67	Nightside	2023 MAY 13 18:23:52	2023 MAY 13 18:53:13	2023 MAY 13 19:22:33	3521.34	103.43	127.24	-90.91	57.64	-27.80	-57.61	162.44	22.77	14	-	-	-		
3	67	Dayside	2023 MAY 13 19:22:33	2023 MAY 13 19:52:11	2023 MAY 13 20:21:48	3554.52	-90.91	-66.78	74.64	-57.61	29.23	57.58	17.70	10.79	14	-		COP row -1: 		
4	67	Nightside	2023 MAY 13 20:21:48	2023 MAY 13 20:51:08	2023 MAY 13 21:20:28	3519.87	74.64	98.31	-119.70	57.58	-27.88	-57.54	162.22	22.76	3	-	-	-		
4	67	Dayside	2023 MAY 13 21:20:28	2023 MAY 13 21:50:04	2023 MAY 13 22:19:41	3553.19	-119.70	-95.69	45.83	-57.54	29.31	57.51	17.91	10.78	3	Surface Ice 2SUBD #1	Science: orders #132, #133, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:CERAUNIUS THOLUS; 	
5	67	Nightside	2023 MAY 13 22:19:41	2023 MAY 13 22:49:01	2023 MAY 13 23:18:21	3519.98	45.83	69.43	-148.53	57.51	-28.01	-57.46	162.03	22.74	3	-	-	-		
5	67	Dayside	2023 MAY 13 23:18:21	2023 MAY 13 23:47:58	2023 MAY 14 00:17:36	3554.49	-148.53	-124.56	16.93	-57.46	29.39	57.39	18.08	10.77	3	H2O CO 3SUBD #2	Science: orders #168, #189, #190, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 		
6	67	Nightside	2023 MAY 14 00:17:36	2023 MAY 14 00:46:56	2023 MAY 14 01:16:17	3521.10	16.93	40.57	-177.44	57.39	-28.12	-57.33	161.86	22.73	1	-	-	-		
6	67	Dayside	2023 MAY 14 01:16:17	2023 MAY 14 01:45:55	2023 MAY 14 02:15:33	3556.55	-177.44	-153.45	-11.99	-57.33	29.50	57.26	18.26	10.76	1	-		COP row -1: 		
7	67	Nightside	2023 MAY 14 02:15:33	2023 MAY 14 02:44:54	2023 MAY 14 03:14:15	3522.23	-11.99	11.66	153.63	57.26	-28.20	-57.21	161.67	22.72	14	-	-	-		
7	67	Dayside	2023 MAY 14 03:14:15	2023 MAY 14 03:43:54	2023 MAY 14 04:13:32	3556.53	153.63	177.65	-40.87	-57.21	29.64	57.16	18.47	10.74	14	-		COP row -1: 		
8	67	Nightside	2023 MAY 14 04:13:32	2023 MAY 14 04:42:54	2023 MAY 14 05:12:15	3523.20	-40.87	-17.28	124.75	57.16	-28.28	-57.11	161.46	22.70	1	-	-	-		
8	67	Dayside	2023 MAY 14 05:12:15	2023 MAY 14 05:41:53	2023 MAY 14 06:11:30	3554.75	124.75	148.72	-69.71	-57.11	29.74	57.08	18.68	10.73	1	Surface Ice 2SUBD #1	Science: orders #132, #133, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 	&daysideMatch:ELYSIUM MONS; &mroOverlap; 	
9	67	Nightside	2023 MAY 14 06:11:30	2023 MAY 14 06:40:52	2023 MAY 14 07:10:13	3523.46	-69.71	-46.23	95.95	57.08	-28.39	-57.05	161.23	22.69	14	-	-	-		
