Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	67	Ingress	2023 MAY 13 14:33:53	2023 MAY 13 14:36:43	2023 MAY 13 14:37:19	206.00	153.32	149.63	148.84	53.67	51.43	50.91	20.10	3	-	-	-		
N/A	1	67	Egress	2023 MAY 13 15:17:50	2023 MAY 13 15:18:27	2023 MAY 13 15:21:33	223.00	-17.12	-18.53	-24.75	-62.95	-62.58	-60.72	9.57	3	-	-	-		
N/A	2	67	Ingress	2023 MAY 13 16:31:53	2023 MAY 13 16:34:43	2023 MAY 13 16:35:19	206.00	124.39	120.68	119.89	53.51	51.24	50.71	20.09	14	-	-	-		
N/A	2	67	Egress	2023 MAY 13 17:15:48	2023 MAY 13 17:16:26	2023 MAY 13 17:19:32	224.00	-45.84	-47.30	-53.57	-62.94	-62.55	-60.67	9.57	14	-	-	-		
N/A	3	67	Ingress	2023 MAY 13 18:29:51	2023 MAY 13 18:32:42	2023 MAY 13 18:33:18	207.00	95.53	91.78	90.98	53.39	51.07	50.54	20.08	14	-	-	-		
N/A	3	67	Egress	2023 MAY 13 19:13:45	2023 MAY 13 19:14:23	2023 MAY 13 19:17:29	224.00	-74.53	-76.00	-82.34	-62.93	-62.55	-60.63	9.57	14	-	-	-		
N/A	4	67	Ingress	2023 MAY 13 20:27:47	2023 MAY 13 20:30:38	2023 MAY 13 20:31:14	207.00	66.68	62.91	62.11	53.27	50.93	50.38	20.06	3	-	-	-	&daysideMatch:CERAUNIUS THOLUS; 	
N/A	4	67	Egress	2023 MAY 13 21:11:40	2023 MAY 13 21:12:18	2023 MAY 13 21:15:25	225.00	-103.18	-104.67	-111.10	-62.94	-62.54	-60.60	9.57	3	-	-	-	&daysideMatch:CERAUNIUS THOLUS; 	
N/A	5	67	Ingress	2023 MAY 13 22:25:39	2023 MAY 13 22:28:31	2023 MAY 13 22:29:07	208.00	37.85	34.04	33.24	53.16	50.77	50.22	20.05	3	-	-	-		
N/A	5	67	Egress	2023 MAY 13 23:09:32	2023 MAY 13 23:10:10	2023 MAY 13 23:13:17	225.00	-131.84	-133.34	-139.83	-62.94	-62.54	-60.57	9.57	3	-	-	-		
