S/C,UTC,UVIS nadir LOS surface intercept lat (deg),UVIS nadir LOS surface intercept lon (deg),S/C altitude (km),UVIS nadir LOS surface intercept LST (h),UVIS nadir LOS surface intercept Incidence angle (deg),UVIS nadir LOS surface intercept Emission angle (deg),UVIS nadir LOS surface intercept Phase angle (deg)
MRO,2021 NOV 27 02:27:00,76.645,-0.60824,316.9172,4.2731,78.0537,1.1468e-14,78.0537
TGO,2021 NOV 27 03:09:00,75.8099,-4.5564,433.1962,4.6911,77.0971,0.44029,77.3099

MRO,2021 NOV 29 14:18:00,73.339,-156.4826,314.2125,4.1364,80.5215,1.8149e-14,80.5215
TGO,2021 NOV 29 14:06:00,75.8624,-155.7958,433.4963,3.9875,79.6812,0.44094,79.918

MRO,2021 DEC 01 14:54:00,76.4389,-144.0894,316.3699,4.2675,78.8416,2.6658e-14,78.8416
TGO,2021 DEC 01 15:15:00,74.9591,-144.1502,433.1009,4.6042,78.4017,0.4494,78.6213

MRO,2021 DEC 01 20:30:00,78.554,136.0941,316.977,4.3972,77.53,2.6467e-14,77.53
TGO,2021 DEC 01 21:09:00,74.5049,132.6763,433.8387,4.8019,77.9046,0.45315,78.1185

MRO,2021 DEC 04 08:21:00,75.4608,-20.4378,316.737,4.2167,79.8946,1.0306e-14,79.8946
TGO,2021 DEC 04 08:06:00,74.7899,-17.3407,432.383,4.1797,80.3477,0.45183,80.5836

MRO,2021 DEC 06 03:21:00,76.2134,72.5872,314.9173,4.2725,79.6336,1.3329e-14,79.6336
TGO,2021 DEC 06 03:21:00,73.4425,75.1349,433.1918,4.4425,80.3315,0.46496,80.5642

MRO,2021 DEC 08 00:15:00,72.2238,134.4149,315.196,4.0978,82.5309,2.4739e-14,82.5309
TGO,2021 DEC 08 00:33:00,73.114,131.263,433.238,4.1797,81.7672,0.4686,82.0117

MRO,2021 DEC 09 13:39:00,71.3711,-51.9348,314.0162,4.0781,83.3035,1.9083e-14,83.3035
TGO,2021 DEC 09 13:54:00,71.798,-52.662,433.7654,4.2728,82.3038,0.48123,82.5512

MRO,2021 DEC 09 17:24:00,69.1646,-107.3283,312.0781,4.0353,84.6829,3.3519e-14,84.6829
TGO,2021 DEC 10 17:24:00,73.1309,-103.586,433.9411,3.645,84.0959,0.46794,84.3604

MRO,2021 DEC 09 19:15:00,72.7551,-132.9783,314.8967,4.1258,82.4353,1.2821e-14,82.4353
TGO,2021 DEC 09 19:48:00,71.4117,-137.6516,431.5859,4.3497,82.212,0.48459,82.4578

MRO,2021 DEC 10 17:42:00,70.4674,-101.654,312.8274,4.0658,84.0169,4.2315e-14,84.0169
TGO,2021 DEC 10 17:24:00,73.1309,-103.586,433.9411,3.645,84.0959,0.46794,84.3604

