MARS in NOMAD FOV start (UTC),MARS in NOMAD FOV end (UTC),Dayside nadir observation number,Thermal orbit number
2021 DEC 25 18:37:37,2021 DEC 25 18:42:37,2,2
2021 DEC 25 20:17:36,2021 DEC 25 20:22:36,3,3
2021 DEC 26 00:22:00,2021 DEC 26 00:27:00,5,5
2021 DEC 26 14:00:28,2021 DEC 26 14:05:28,12,12
2021 DEC 26 17:46:24,2021 DEC 26 17:51:24,14,14
2021 DEC 27 11:41:29,2021 DEC 27 11:46:29,23,23
2021 DEC 28 17:12:10,2021 DEC 28 17:17:10,38,38
2021 DEC 29 14:42:47,2021 DEC 29 14:47:47,49,49
2021 DEC 30 02:44:34,2021 DEC 30 02:49:34,55,55
2021 DEC 31 15:49:42,2021 DEC 31 15:54:42,74,74
2021 DEC 31 21:33:03,2021 DEC 31 21:38:03,77,77
2021 DEC 31 23:53:23,2021 DEC 31 23:56:56,78,78
2022 JAN 01 07:42:26,2022 JAN 01 07:47:26,82,82
2022 JAN 04 08:26:47,2022 JAN 04 08:27:59,119,119
2022 JAN 04 10:18:27,2022 JAN 04 10:23:27,120,120
2022 JAN 04 20:13:40,2022 JAN 04 20:18:40,125,125
2022 JAN 05 11:56:37,2022 JAN 05 11:57:34,133,133
2022 JAN 06 05:31:24,2022 JAN 06 05:36:24,142,142
2022 JAN 10 11:48:16,2022 JAN 10 11:53:16,194,194
2022 JAN 16 07:18:13,2022 JAN 16 07:23:13,265,265
2022 JAN 17 18:31:42,2022 JAN 17 18:36:42,283,283
2022 JAN 18 10:20:17,2022 JAN 18 10:25:17,291,291
2022 JAN 19 23:33:28,2022 JAN 19 23:38:28,310,310
2022 JAN 20 15:31:16,2022 JAN 20 15:36:10,318,318
2022 JAN 20 21:18:42,2022 JAN 20 21:23:42,321,321
2022 JAN 21 19:00:45,2022 JAN 21 19:04:59,332,332
2022 JAN 21 22:51:19,2022 JAN 21 22:56:19,334,334
2022 JAN 22 06:47:47,2022 JAN 22 06:52:47,338,338
2022 JAN 22 08:38:22,2022 JAN 22 08:43:22,339,339
