NOM_02, OCCEG, 172
NOM_02, OCCIN, 23, 148
NOM_03, OCCEG, 21, 94, 109, 120, 122, 127, 139, 142, 158, 167, 170, 175, 178
NOM_03, OCCIN, 5, 7, 13, 33, 44, 94, 98, 100, 109, 111, 120, 124, 139, 167, 172, 173
NOM_03, OCCME, 48, 52, 90
CO_001, OCCEG, 111, 133, 164
CO_001, OCCIN, 41, 136
CO_002, OCCEG, 39, 100, 113, 117, 124, 159, 161
CO_002, OCCIN, 8, 24, 101, 126, 175
CO2_01, OCCEG, 31, 98, 103, 106, 126, 135
CO2_01, OCCIN, 3, 11, 34, 37, 122, 146, 152, 159
CO2_02, OCCEG, 7, 16, 19, 34, 41, 152
CO2_02, OCCIN, 19, 21, 28, 29, 39, 113, 177
HCL_01, OCCEG, 5, 23, 29, 33, 42, 44, 114, 119, 130, 168
HCL_01, OCCIN, 17, 103, 114, 117, 127, 130, 133, 135, 142, 161, 168
FUL_01, OCCEG, 108, 136, 146, 149, 155, 177
FUL_01, OCCIN, 16, 26, 108
