Orbit 80/40 or 60/60 or OFF (1-11 = 80/40; 101-111 = 60/60; 12 = switch off),Orbit type,Thermal orbit number,Thermal orbit start (TDN2(n)+2min),Thermal orbit end (TDN2(n+1)+2min-1s),Thermal orbit duration (s),Nightside nadir start = TD2N(n),Nightside nadir end = TN2D(n)-1s,Nightside duration (s),Dayside nadir start = TN2D(n),Dayside nadir end = TD2N(n+1)-1s,Dayside duration (s),Dayside nadir min. phase angle (deg),Dayside nadir min. phase angle time (UTC)
3,3,1,2022 SEP 03 15:32:26,2022 SEP 03 17:30:21,7075,2022 SEP 03 15:30:27,2022 SEP 03 16:29:37,3550,2022 SEP 03 16:29:38,2022 SEP 03 17:28:21,3523,0.22636,2022 SEP 03 16:58:46
1,1,2,2022 SEP 03 17:30:22,2022 SEP 03 19:28:14,7072,2022 SEP 03 17:28:22,2022 SEP 03 18:27:31,3549,2022 SEP 03 18:27:32,2022 SEP 03 19:26:14,3522,0.27676,2022 SEP 03 18:56:39
3,3,3,2022 SEP 03 19:28:15,2022 SEP 03 21:26:08,7073,2022 SEP 03 19:26:15,2022 SEP 03 20:25:24,3549,2022 SEP 03 20:25:25,2022 SEP 03 21:24:08,3523,0.45069,2022 SEP 03 20:54:32
1,1,4,2022 SEP 03 21:26:09,2022 SEP 03 23:24:05,7076,2022 SEP 03 21:24:09,2022 SEP 03 22:23:20,3551,2022 SEP 03 22:23:21,2022 SEP 03 23:22:05,3524,0.67873,2022 SEP 03 22:52:29
3,3,5,2022 SEP 03 23:24:06,2022 SEP 04 01:22:04,7078,2022 SEP 03 23:22:06,2022 SEP 04 00:21:17,3551,2022 SEP 04 00:21:18,2022 SEP 04 01:20:04,3526,0.90661,2022 SEP 04 00:50:28
1,1,6,2022 SEP 04 01:22:05,2022 SEP 04 03:20:02,7077,2022 SEP 04 01:20:05,2022 SEP 04 02:19:15,3550,2022 SEP 04 02:19:16,2022 SEP 04 03:18:02,3526,1.141,2022 SEP 04 02:48:25
3,3,7,2022 SEP 04 03:20:03,2022 SEP 04 05:17:57,7074,2022 SEP 04 03:18:03,2022 SEP 04 04:17:12,3549,2022 SEP 04 04:17:13,2022 SEP 04 05:15:57,3524,1.3517,2022 SEP 04 04:46:21
1,1,8,2022 SEP 04 05:17:58,2022 SEP 04 07:15:50,7072,2022 SEP 04 05:15:58,2022 SEP 04 06:15:06,3548,2022 SEP 04 06:15:07,2022 SEP 04 07:13:50,3523,1.558,2022 SEP 04 06:44:14
3,3,9,2022 SEP 04 07:15:51,2022 SEP 04 09:13:44,7073,2022 SEP 04 07:13:51,2022 SEP 04 08:12:58,3547,2022 SEP 04 08:12:59,2022 SEP 04 09:11:44,3525,1.7689,2022 SEP 04 08:42:07
3,3,10,2022 SEP 04 09:13:45,2022 SEP 04 11:11:40,7075,2022 SEP 04 09:11:45,2022 SEP 04 10:10:53,3548,2022 SEP 04 10:10:54,2022 SEP 04 11:09:40,3526,2.0158,2022 SEP 04 10:40:02
1,1,11,2022 SEP 04 11:11:41,2022 SEP 04 13:09:37,7076,2022 SEP 04 11:09:41,2022 SEP 04 12:08:51,3550,2022 SEP 04 12:08:52,2022 SEP 04 13:07:37,3525,2.2702,2022 SEP 04 12:38:00
3,3,12,2022 SEP 04 13:09:38,2022 SEP 04 15:07:35,7077,2022 SEP 04 13:07:38,2022 SEP 04 14:06:50,3552,2022 SEP 04 14:06:51,2022 SEP 04 15:05:35,3524,2.5019,2022 SEP 04 14:35:59
1,1,13,2022 SEP 04 15:07:36,2022 SEP 04 17:05:31,7075,2022 SEP 04 15:05:36,2022 SEP 04 16:04:47,3551,2022 SEP 04 16:04:48,2022 SEP 04 17:03:31,3523,2.7117,2022 SEP 04 16:33:56
3,3,14,2022 SEP 04 17:05:32,2022 SEP 04 19:03:25,7073,2022 SEP 04 17:03:32,2022 SEP 04 18:02:42,3550,2022 SEP 04 18:02:43,2022 SEP 04 19:01:25,3522,2.91,2022 SEP 04 18:31:50
