Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	198	Ingress	2019 FEB 11 18:02:37	2019 FEB 11 18:06:07	2019 FEB 11 18:06:50	253.0	-46.4	-8.4	0.0	-80.1	-81.2	-80.8	0.7	4	-	-	-		
ACS	198	Egress	2019 FEB 11 18:45:06	2019 FEB 11 18:45:47	2019 FEB 11 18:48:59	233.0	75.6	76.1	79.0	57.0	58.2	63.7	7.0	4	-	-	-		
NOMAD	199	Ingress	2019 FEB 11 20:00:31	2019 FEB 11 20:04:00	2019 FEB 11 20:04:43	252.0	-75.7	-38.3	-29.8	-80.1	-81.2	-80.9	0.6	1	136 with 5xDark	Science: orders #136, #dark, #dark, #dark, #dark, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 306: SO: Horizontal Bin (140:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1389 ms, Binning=3		
N/A	199	Egress	2019 FEB 11 20:43:02	2019 FEB 11 20:43:43	2019 FEB 11 20:46:54	232.0	46.9	47.5	50.4	57.2	58.4	63.8	7.0	1	-	-	-		
N/A	200	Ingress	2019 FEB 11 21:58:22	2019 FEB 11 22:01:51	2019 FEB 11 22:02:34	252.0	-105.2	-68.2	-59.7	-80.0	-81.3	-81.0	0.5	4	-	-	-		
ACS	200	Egress	2019 FEB 11 22:40:58	2019 FEB 11 22:41:38	2019 FEB 11 22:44:49	231.0	18.3	18.9	21.7	57.4	58.6	63.9	7.0	4	-	-	-		
NOMAD	201	Ingress	2019 FEB 11 23:56:12	2019 FEB 11 23:59:40	2019 FEB 12 00:00:23	251.0	-134.3	-98.0	-89.5	-80.0	-81.3	-81.1	0.4	1	Nominal Science 1xCO2 HA01; Nominal Science 1xCO2 LA01	Science: orders #168, #134, #190, #121, #165, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136); Science: orders #168, #134, #190, #121, #149, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 293: SO: Full Frame (140:205;0:1047),Tint = 45 ms,16 bit,Rhythm = 3361 ms, Binning=0	&daysideMatch:NILI FOSSAE; 	
N/A	201	Egress	2019 FEB 12 00:38:51	2019 FEB 12 00:39:31	2019 FEB 12 00:42:41	230.0	-10.2	-9.7	-6.9	57.6	58.8	64.1	7.0	1	-	-	-	&daysideMatch:NILI FOSSAE; 	
N/A	202	Ingress	2019 FEB 12 01:54:00	2019 FEB 12 01:57:29	2019 FEB 12 01:58:11	251.0	-163.6	-127.4	-119.1	-80.0	-81.4	-81.1	0.4	4	-	-	-		
N/A	202	Egress	2019 FEB 12 02:36:42	2019 FEB 12 02:37:22	2019 FEB 12 02:40:32	230.0	-38.8	-38.3	-35.5	57.8	59.0	64.2	7.0	4	-	-	-		
NOMAD	203	Ingress	2019 FEB 12 03:51:49	2019 FEB 12 03:55:17	2019 FEB 12 03:55:59	250.0	167.3	-157.1	-148.8	-79.9	-81.4	-81.2	0.3	1	CH4 01	Science: orders #168, #133, #134, #135, #136, #dark, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 294: SO: Full Frame (140:205;0:1047),Tint = 75 ms,16 bit,Rhythm = 3361 ms, Binning=0		
N/A	203	Egress	2019 FEB 12 04:34:34	2019 FEB 12 04:35:14	2019 FEB 12 04:38:23	229.0	-67.5	-67.0	-64.2	57.9	59.1	64.2	7.0	1	-	-	-		
N/A	204	Ingress	2019 FEB 12 05:49:41	2019 FEB 12 05:53:07	2019 FEB 12 05:53:49	248.0	138.0	172.6	-179.0	-79.9	-81.4	-81.3	0.2	4	-	-	-	&daysideMatch:MERIDIANI SULPHATES; 	
ACS	204	Egress	2019 FEB 12 06:32:27	2019 FEB 12 06:33:07	2019 FEB 12 06:36:15	228.0	-96.1	-95.6	-92.8	58.1	59.2	64.3	7.0	4	-	-	-	&daysideMatch:MERIDIANI SULPHATES; 	
NOMAD	205	Ingress	2019 FEB 12 07:47:33	2019 FEB 12 07:50:59	2019 FEB 12 07:51:41	248.0	108.3	142.3	150.6	-79.8	-81.4	-81.3	0.1	1	BgSubTest 03	Science: orders #168, #134, #190, #121, #165, #149, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 305: SO: Horizontal Bin (140:205;0:1047), Tint = 45 ms,20 bit,Rhythm = 1389 ms, Binning=3		
N/A	205	Egress	2019 FEB 12 08:30:23	2019 FEB 12 08:31:03	2019 FEB 12 08:34:10	227.0	-124.8	-124.3	-121.5	58.2	59.4	64.4	7.0	1	-	-	-		
N/A	206	Ingress	2019 FEB 12 09:45:27	2019 FEB 12 09:48:52	2019 FEB 12 09:49:34	247.0	79.1	112.4	120.7	-79.8	-81.5	-81.4	0.0	4	-	-	-		
N/A	206	Egress	2019 FEB 12 10:28:19	2019 FEB 12 10:28:59	2019 FEB 12 10:32:06	227.0	-153.4	-152.9	-150.1	58.5	59.6	64.5	7.0	4	-	-	-		
ACS	207	Ingress	2019 FEB 12 11:43:20	2019 FEB 12 11:46:44	2019 FEB 12 11:47:26	246.0	50.1	82.8	91.1	-79.7	-81.5	-81.4	24.0	17	-	-	-		
N/A	207	Egress	2019 FEB 12 12:26:14	2019 FEB 12 12:26:54	2019 FEB 12 12:30:00	226.0	178.0	178.5	-178.7	58.7	59.8	64.7	7.0	17	-	-	-		
N/A	208	Ingress	2019 FEB 12 13:41:08	2019 FEB 12 13:44:33	2019 FEB 12 13:45:14	246.0	20.9	53.4	61.4	-79.7	-81.5	-81.4	23.9	17	-	-	-		
N/A	208	Egress	2019 FEB 12 14:24:06	2019 FEB 12 14:24:45	2019 FEB 12 14:27:52	226.0	149.4	149.9	152.7	58.9	60.0	64.8	7.0	17	-	-	-		
N/A	209	Ingress	2019 FEB 12 15:38:56	2019 FEB 12 15:42:20	2019 FEB 12 15:43:01	245.0	-8.4	23.4	31.3	-79.7	-81.5	-81.5	23.8	4	-	-	-		
N/A	209	Egress	2019 FEB 12 16:21:55	2019 FEB 12 16:22:34	2019 FEB 12 16:25:40	225.0	120.8	121.3	124.0	59.0	60.1	64.8	7.0	4	-	-	-		
N/A	210	Ingress	2019 FEB 12 17:36:48	2019 FEB 12 17:40:11	2019 FEB 12 17:40:52	244.0	-37.7	-6.7	1.3	-79.6	-81.5	-81.5	23.7	1	-	-	-		
