TGO overlap time with MRO (UTC),Dayside nadir observation number,Thermal orbit number
2020 OCT 03 17:21:00,1,1
2020 OCT 04 02:18:00,6,6
2020 OCT 04 02:27:00,6,6
2020 OCT 04 14:57:00,12,12
2020 OCT 04 18:54:00,14,14
2020 OCT 05 04:51:00,19,19
2020 OCT 05 06:48:00,20,20
2020 OCT 05 08:45:00,21,21
2020 OCT 06 10:15:00,34,34
2020 OCT 06 06:21:00,32,32
2020 OCT 06 08:18:00,33,33
2020 OCT 06 18:15:00,38,38
2020 OCT 06 20:12:00,39,39
2020 OCT 06 22:09:00,40,40
2020 OCT 06 22:12:00,40,40
2020 OCT 07 23:39:00,53,53
2020 OCT 07 02:06:00,42,42
2020 OCT 07 19:45:00,51,51
2020 OCT 07 21:42:00,52,52
2020 OCT 07 23:39:00,53,53
2020 OCT 08 09:36:00,58,58
2020 OCT 09 13:03:00,72,72
2020 OCT 08 13:30:00,60,60
2020 OCT 08 13:33:00,60,60
2020 OCT 08 15:30:00,61,61
2020 OCT 09 11:06:00,71,71
2020 OCT 09 13:03:00,72,72
2020 OCT 10 02:54:00,79,79
2020 OCT 11 04:24:00,92,92
2020 OCT 10 11:57:00,84,84
2020 OCT 11 02:27:00,91,91
2020 OCT 11 04:24:00,92,92
2020 OCT 12 19:45:00,112,112
2020 OCT 11 20:12:00,100,100
2020 OCT 13 10:33:00,120,120
2020 OCT 13 14:36:00,122,122
2020 OCT 14 07:09:00,130,130
2020 OCT 13 10:33:00,120,120
2020 OCT 14 23:54:00,139,139
2020 OCT 15 01:51:00,140,140
2020 OCT 14 23:54:00,139,139
2020 OCT 16 19:09:00,161,161
2020 OCT 17 10:51:00,169,169
2020 OCT 18 08:30:00,180,180
2020 OCT 19 00:12:00,188,188
2020 OCT 19 06:06:00,191,191
2020 OCT 20 19:27:00,210,210
2020 OCT 22 08:48:00,229,229
2020 OCT 27 08:42:00,290,290
2020 OCT 29 03:57:00,312,312
