NOM_02, OCCEG, 16, 85, 93, 104, 192
NOM_02, OCCIN, 34, 123, 168
NOM_03, OCCEG, 17, 18, 20, 21, 27, 29, 31, 32, 39, 40, 47, 52, 59, 65, 81, 83, 87, 91, 98, 99, 114, 120, 129, 135, 145, 148, 150, 155, 166, 176, 183, 190, 195
NOM_03, OCCIN, 17, 20, 21, 29, 32, 37, 39, 47, 49, 60, 69, 76, 85, 98, 99, 104, 112, 114, 119, 136, 140, 141, 148, 150, 161, 166, 181, 186, 187, 190, 198
NOM_03, OCCME, 12, 13, 14, 15
CO_002, OCCEG, 19, 174, 181, 203
CO_002, OCCIN, 19, 50
CO2_01, OCCEG, 133
CO2_01, OCCIN, 211
CO2_02, OCCEG, 49, 54, 63, 89, 101, 161, 163, 170
CO2_02, OCCIN, 24, 26, 27, 40, 54, 55, 107, 143, 179, 183
HCL_01, OCCEG, 76, 79
HCL_01, OCCIN, 18, 59, 95
FUL_01, OCCEG, 22, 50, 125, 152
FUL_01, OCCIN, 45, 65, 79, 83, 101, 133, 145, 158
