Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	71	Nightside	2023 SEP 02 14:42:31	2023 SEP 02 15:11:55	2023 SEP 02 15:41:18	3527.13	170.47	-160.50	-23.96	63.76	-20.94	-63.73	174.33	0.39	3	-	-	-		
1	71	Dayside	2023 SEP 02 15:41:18	2023 SEP 02 16:10:53	2023 SEP 02 16:40:29	3550.37	-23.96	5.47	141.51	-63.73	22.37	63.71	5.63	12.41	3	Surface Ice 2SUBD #1	Science: orders #132, #133, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 81: NADIR: Horizontal Bin (57:245;0:1047), Tint = 5000 ms,20 bit,Rhythm = 12409 ms, Binning=3		
2	71	Nightside	2023 SEP 02 16:40:29	2023 SEP 02 17:09:52	2023 SEP 02 17:39:16	3527.28	141.51	170.56	-52.86	63.71	-21.00	-63.69	174.57	0.37	1	-	-	-		
2	71	Dayside	2023 SEP 02 17:39:16	2023 SEP 02 18:08:51	2023 SEP 02 18:38:27	3550.85	-52.86	-23.49	112.63	-63.69	22.42	63.67	5.39	12.39	1	-		COP row -1: UVIS off		
3	71	Nightside	2023 SEP 02 18:38:27	2023 SEP 02 19:07:49	2023 SEP 02 19:37:12	3525.67	112.63	141.60	-81.72	63.67	-21.03	-63.66	174.80	0.35	3	-	-	-		
3	71	Dayside	2023 SEP 02 19:37:12	2023 SEP 02 20:06:48	2023 SEP 02 20:36:23	3550.87	-81.72	-52.45	83.83	-63.66	22.49	63.66	5.15	12.37	3	CH4 H2O 2SUBD 02	Science: orders #136, #168, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 81: NADIR: Horizontal Bin (57:245;0:1047), Tint = 5000 ms,20 bit,Rhythm = 12409 ms, Binning=3	&daysideMatch:EASTERN COPRATES; &daysideMatch:COPRATES RISE; 	
4	71	Nightside	2023 SEP 02 20:36:23	2023 SEP 02 21:05:45	2023 SEP 02 21:35:07	3523.77	83.83	112.66	-110.53	63.66	-21.06	-63.64	175.03	0.34	1	-	-	-		
4	71	Dayside	2023 SEP 02 21:35:07	2023 SEP 02 22:04:42	2023 SEP 02 22:34:17	3549.99	-110.53	-81.38	55.05	-63.64	22.55	63.64	4.92	12.36	1	-		COP row -1: UVIS off		
5	71	Nightside	2023 SEP 02 22:34:17	2023 SEP 02 23:03:38	2023 SEP 02 23:33:00	3522.80	55.05	83.74	-139.33	63.64	-21.12	-63.62	175.25	0.32	14	-	-	-		
5	71	Dayside	2023 SEP 02 23:33:00	2023 SEP 03 00:02:34	2023 SEP 03 00:32:09	3549.06	-139.33	-110.28	26.16	-63.62	22.57	63.60	4.71	12.34	14	-		COP row -1: UVIS off	&daysideMatch:PAVONIS MONS; 	
