Instrument	Orbit Number	Occultation Type	UTC Start Time	UTC Transition Time	UTC End Time	Duration (s)	Start Longitude	50km Longitude	End Longitude	Start Latitude	50km Latitude	End Latitude	50km Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
N/A	1	71	Ingress	2023 SEP 02 14:48:21	2023 SEP 02 14:51:03	2023 SEP 02 14:51:37	196.00	173.00	174.36	174.69	64.34	64.71	64.79	22.37	3	-	-	-		
N/A	1	71	Egress	2023 SEP 02 15:32:53	2023 SEP 02 15:33:29	2023 SEP 02 15:36:26	213.00	-26.89	-26.63	-25.48	-62.15	-62.26	-62.78	9.66	3	-	-	-		
NOMAD	2	71	Ingress	2023 SEP 02 16:46:18	2023 SEP 02 16:49:00	2023 SEP 02 16:49:34	196.00	143.87	145.15	145.46	64.26	64.63	64.70	22.34	1	6SUBD CO2 #24	Science: orders #186, #190, #132, #148, #155, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
N/A	2	71	Egress	2023 SEP 02 17:30:50	2023 SEP 02 17:31:26	2023 SEP 02 17:34:23	213.00	-55.58	-55.34	-54.26	-62.16	-62.27	-62.77	9.66	1	-	-	-		
N/A	3	71	Ingress	2023 SEP 02 18:44:16	2023 SEP 02 18:46:58	2023 SEP 02 18:47:32	196.00	114.83	116.02	116.30	64.20	64.55	64.63	22.31	3	-	-	-	&daysideMatch:EASTERN COPRATES; &daysideMatch:COPRATES RISE; 	
ACS	3	71	Egress	2023 SEP 02 19:28:48	2023 SEP 02 19:29:24	2023 SEP 02 19:32:21	213.00	-84.21	-83.99	-82.98	-62.19	-62.29	-62.77	9.66	3	-	-	-	&daysideMatch:EASTERN COPRATES; &daysideMatch:COPRATES RISE; 	
NOMAD	4	71	Ingress	2023 SEP 02 20:42:12	2023 SEP 02 20:44:54	2023 SEP 02 20:45:28	196.00	85.87	86.96	87.23	64.15	64.50	64.57	22.28	1	6SUBD CO2 H2O #14	Science: orders #121, #134, #148, #132, #165, #169, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
N/A	4	71	Egress	2023 SEP 02 21:26:44	2023 SEP 02 21:27:20	2023 SEP 02 21:30:17	213.00	-112.80	-112.59	-111.67	-62.23	-62.33	-62.79	9.67	1	-	-	-		
N/A	5	71	Ingress	2023 SEP 02 22:40:05	2023 SEP 02 22:42:47	2023 SEP 02 22:43:21	196.00	56.93	57.94	58.18	64.11	64.44	64.51	22.26	14	-	-	-	&daysideMatch:PAVONIS MONS; 	
ACS	5	71	Egress	2023 SEP 02 23:24:37	2023 SEP 02 23:25:13	2023 SEP 02 23:28:10	213.00	-141.39	-141.20	-140.35	-62.26	-62.36	-62.79	9.67	14	-	-	-	&daysideMatch:PAVONIS MONS; 	
NOMAD	6	71	Ingress	2023 SEP 03 00:37:56	2023 SEP 03 00:40:38	2023 SEP 03 00:41:12	196.00	27.89	28.82	29.05	64.04	64.36	64.43	22.23	1	6SUBD Nom CO #7	Science: orders #121, #135, #148, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
N/A	6	71	Egress	2023 SEP 03 01:22:28	2023 SEP 03 01:23:04	2023 SEP 03 01:26:01	213.00	-170.11	-169.93	-169.15	-62.26	-62.35	-62.77	9.67	1	-	-	-		
N/A	7	71	Ingress	2023 SEP 03 02:35:51	2023 SEP 03 02:38:33	2023 SEP 03 02:39:07	196.00	-1.24	-0.39	-0.19	63.95	64.27	64.34	22.20	14	-	-	-	&nomadPhobos; 	
N/A	7	71	Egress	2023 SEP 03 03:20:24	2023 SEP 03 03:21:00	2023 SEP 03 03:23:56	212.00	161.08	161.24	161.95	-62.23	-62.32	-62.72	9.66	14	-	-	-	&nomadPhobos; 	
N/A	8	71	Ingress	2023 SEP 03 04:33:50	2023 SEP 03 04:36:31	2023 SEP 03 04:37:05	195.00	-30.33	-29.57	-29.38	63.88	64.18	64.25	22.17	1	-	-	-		
NOMAD	8	71	Egress	2023 SEP 03 05:18:23	2023 SEP 03 05:18:59	2023 SEP 03 05:21:56	213.00	132.34	132.49	133.12	-62.23	-62.32	-62.70	9.66	1	6SUBD Nominal #1	Science: orders #121, #134, #149, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: UVIS off		
ACS	9	71	Ingress	2023 SEP 03 06:31:48	2023 SEP 03 06:34:29	2023 SEP 03 06:35:03	195.00	-59.37	-58.69	-58.52	63.82	64.10	64.17	22.14	3	-	-	-	&mroOverlap; 	
N/A	9	71	Egress	2023 SEP 03 07:16:22	2023 SEP 03 07:16:58	2023 SEP 03 07:19:55	213.00	103.70	103.83	104.39	-62.26	-62.34	-62.70	9.66	3	-	-	-	&mroOverlap; 	
N/A	10	71	Ingress	2023 SEP 03 08:29:44	2023 SEP 03 08:32:25	2023 SEP 03 08:32:59	195.00	-88.35	-87.76	-87.61	63.76	64.03	64.09	22.11	1	-	-	-		
NOMAD	10	71	Egress	2023 SEP 03 09:14:18	2023 SEP 03 09:14:54	2023 SEP 03 09:17:51	213.00	75.14	75.25	75.73	-62.31	-62.38	-62.72	9.67	1	6SUBD Nom CO #7	Science: orders #121, #135, #148, #169, #186, #190, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row -1: UVIS off		
ACS	11	71	Ingress	2023 SEP 03 10:27:37	2023 SEP 03 10:30:19	2023 SEP 03 10:30:53	196.00	-117.31	-116.79	-116.66	63.71	63.97	64.02	22.09	14	-	-	-		
N/A	11	71	Egress	2023 SEP 03 11:12:12	2023 SEP 03 11:12:48	2023 SEP 03 11:15:45	213.00	46.55	46.65	47.05	-62.34	-62.41	-62.73	9.68	14	-	-	-		
N/A	12	71	Ingress	2023 SEP 03 12:25:30	2023 SEP 03 12:28:12	2023 SEP 03 12:28:46	196.00	-146.28	-145.84	-145.73	63.65	63.89	63.95	22.07	1	-	-	-		
NOMAD	12	71	Egress	2023 SEP 03 13:10:05	2023 SEP 03 13:10:41	2023 SEP 03 13:13:38	213.00	17.82	17.90	18.24	-62.34	-62.40	-62.70	9.67	1	6SUBD CO2 #24	Science: orders #186, #190, #132, #148, #155, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
ACS	13	71	Ingress	2023 SEP 03 14:23:25	2023 SEP 03 14:26:06	2023 SEP 03 14:26:40	195.00	-175.36	-175.00	-174.91	63.56	63.80	63.85	22.04	14	-	-	-		
N/A	13	71	Egress	2023 SEP 03 15:07:59	2023 SEP 03 15:08:35	2023 SEP 03 15:11:31	212.00	-10.96	-10.89	-10.63	-62.32	-62.38	-62.66	9.67	14	-	-	-		
N/A	14	71	Ingress	2023 SEP 03 16:21:21	2023 SEP 03 16:24:02	2023 SEP 03 16:24:36	195.00	155.51	155.80	155.88	63.47	63.69	63.74	22.00	1	-	-	-		
NOMAD	14	71	Egress	2023 SEP 03 17:05:56	2023 SEP 03 17:06:31	2023 SEP 03 17:09:28	212.00	-39.67	-39.62	-39.43	-62.33	-62.38	-62.64	9.66	1	6SUBD CO #2	Science: orders #123, #132, #183, #184, #185, #186, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
N/A	15	71	Ingress	2023 SEP 03 18:19:19	2023 SEP 03 18:22:00	2023 SEP 03 18:22:34	195.00	126.45	126.66	126.72	63.39	63.60	63.64	21.97	14	-	-	-		
N/A	15	71	Egress	2023 SEP 03 19:03:54	2023 SEP 03 19:04:30	2023 SEP 03 19:07:26	212.00	-68.34	-68.30	-68.19	-62.35	-62.40	-62.63	9.66	14	-	-	-		
N/A	16	71	Ingress	2023 SEP 03 20:17:16	2023 SEP 03 20:19:57	2023 SEP 03 20:20:31	195.00	97.48	97.60	97.64	63.33	63.52	63.56	21.95	7	-	-	-		
N/A	16	71	Egress	2023 SEP 03 21:01:51	2023 SEP 03 21:02:27	2023 SEP 03 21:05:24	213.00	-96.95	-96.93	-96.89	-62.38	-62.43	-62.64	9.67	7	-	-	-		
N/A	17	71	Ingress	2023 SEP 03 22:15:11	2023 SEP 03 22:17:52	2023 SEP 03 22:18:26	195.00	68.55	68.60	68.62	63.28	63.46	63.49	21.93	14	-	-	-	&daysideMatch:CERAUNIUS THOLUS; 	
N/A	17	71	Egress	2023 SEP 03 22:59:46	2023 SEP 03 23:00:22	2023 SEP 03 23:03:19	213.00	-125.54	-125.54	-125.58	-62.42	-62.46	-62.65	9.68	14	-	-	-	&daysideMatch:CERAUNIUS THOLUS; 	
N/A	18	71	Ingress	2023 SEP 04 00:13:02	2023 SEP 04 00:15:43	2023 SEP 04 00:16:17	195.00	39.59	39.57	39.58	63.22	63.38	63.41	21.90	14	-	-	-		
N/A	18	71	Egress	2023 SEP 04 00:57:37	2023 SEP 04 00:58:13	2023 SEP 04 01:01:09	212.00	-154.18	-154.20	-154.31	-62.43	-62.47	-62.64	9.68	14	-	-	-		
NOMAD	19	71	Ingress	2023 SEP 04 02:10:55	2023 SEP 04 02:13:36	2023 SEP 04 02:14:10	195.00	10.52	10.43	10.42	63.13	63.27	63.30	21.87	1	6SUBD Nominal #52	Science: orders #121, #134, #169, #129, #148, #165, with 4000us integration time (6 orders per 1 second(s) for detector lines 120 to 136)	COP row 391: SO: Horizontal Bin (135:205;0:1047), Tint = 75 ms,20 bit,Rhythm = 1134 ms, Binning=7		
N/A	19	71	Egress	2023 SEP 04 02:55:30	2023 SEP 04 02:56:05	2023 SEP 04 02:59:02	212.00	177.04	177.01	176.83	-62.42	-62.45	-62.60	9.67	1	-	-	-		
N/A	20	71	Ingress	2023 SEP 04 04:08:53	2023 SEP 04 04:11:34	2023 SEP 04 04:12:08	195.00	-18.58	-18.74	-18.77	63.04	63.16	63.19	21.84	14	-	-	-		
ACS	20	71	Egress	2023 SEP 04 04:53:28	2023 SEP 04 04:54:04	2023 SEP 04 04:57:00	212.00	148.25	148.21	147.96	-62.40	-62.43	-62.56	9.66	14	-	-	-		
