Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	24	Nightside	2020 JAN 25 14:09:32	2020 JAN 25 14:38:57	2020 JAN 25 15:08:22	3529.82	-17.09	96.41	148.52	-71.80	-8.76	71.82	152.37	22.17	3	-	-	-		
1	24	Dayside	2020 JAN 25 15:08:22	2020 JAN 25 15:37:53	2020 JAN 25 16:07:25	3542.84	148.52	-98.46	-45.96	71.82	10.18	-71.85	27.75	10.13	3	Nominal 4SUBD 01	Science: orders #168, #134, #121, #190, with 195000us integration time (4 orders per 15 second(s) for detector lines 80 to 224)	COP row 81: NADIR: Horizontal Bin (57:240;0:1047), Tint = 5000 ms,20 bit,Rhythm = 12081 ms, Binning=3		
2	24	Nightside	2020 JAN 25 16:07:25	2020 JAN 25 16:36:49	2020 JAN 25 17:06:14	3529.80	-45.96	67.50	119.69	-71.85	-8.69	71.87	152.14	22.15	1	-	-	-		
2	24	Dayside	2020 JAN 25 17:06:14	2020 JAN 25 17:35:46	2020 JAN 25 18:05:18	3543.35	119.69	-127.38	-74.62	71.87	10.14	-71.86	27.98	10.12	1	Nominal 4SUBD 01	Science: orders #168, #134, #121, #190, with 195000us integration time (4 orders per 15 second(s) for detector lines 80 to 224)	COP row 89: NADIR: Horizontal Bin (57:240;0:1047), Tint = 10000 ms,20 bit,Rhythm = 14957 ms, Binning=3		
3	24	Nightside	2020 JAN 25 18:05:18	2020 JAN 25 18:34:43	2020 JAN 25 19:04:09	3531.06	-74.62	38.58	91.06	-71.86	-8.58	71.87	151.89	22.14	14	-	-	-		
3	24	Dayside	2020 JAN 25 19:04:09	2020 JAN 25 19:33:41	2020 JAN 25 20:03:14	3545.34	91.06	-156.32	-103.27	71.87	10.05	-71.87	28.24	10.10	14	-		COP row 81: NADIR: Horizontal Bin (57:240;0:1047), Tint = 5000 ms,20 bit,Rhythm = 12081 ms, Binning=3		
4	24	Nightside	2020 JAN 25 20:03:14	2020 JAN 25 20:32:41	2020 JAN 25 21:02:07	3532.73	-103.27	9.63	62.42	-71.87	-8.53	71.88	151.64	22.12	1	-	-	-		
4	24	Dayside	2020 JAN 25 21:02:07	2020 JAN 25 21:31:39	2020 JAN 25 22:01:12	3544.99	62.42	174.72	-132.03	71.88	9.94	-71.90	28.51	10.09	1	-		COP row 89: NADIR: Horizontal Bin (57:240;0:1047), Tint = 10000 ms,20 bit,Rhythm = 14957 ms, Binning=3	&daysideMatch:ELYSIUM CERBERUS PHLEGRA; 	
5	24	Nightside	2020 JAN 25 22:01:12	2020 JAN 25 22:30:39	2020 JAN 25 23:00:05	3533.53	-132.03	-19.34	33.63	-71.90	-8.48	71.91	151.37	22.11	3	-	-	-		
5	24	Dayside	2020 JAN 25 23:00:05	2020 JAN 25 23:29:37	2020 JAN 25 23:59:09	3543.68	33.63	145.75	-160.87	71.91	9.88	-71.94	28.77	10.07	3	CH4 H2O 2SUBD 02	Science: orders #136, #168, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 81: NADIR: Horizontal Bin (57:240;0:1047), Tint = 5000 ms,20 bit,Rhythm = 12081 ms, Binning=3	&daysideMatch:AEOLIS MENSAE MFF; 	
