UTC TIME WHEN LNO OBSERVING CLOSE TO CURIOSITY, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2019 NOV 07 02:33:18, 55.4, 15.3, #136 #136
2019 NOV 10 03:15:00, 48.3, 14.6, #136 #168
2019 NOV 12 04:22:37, 43.3, 14.2, #136 #136
2019 NOV 14 05:30:52, 37.8, 13.8, #136 #190
2019 NOV 17 06:12:42, 33.4, 13.1, #136 #136
2019 NOV 19 07:20:39, 30.0, 12.7, #134 #190
2019 NOV 21 08:28:09, 28.8, 12.2, #136 #190
2019 NOV 24 09:09:52, 31.6, 11.5, #136 #190
2019 NOV 26 10:18:35, 30.3, 11.2, #136 #136
2019 NOV 28 11:26:23, 32.9, 10.7, #134 #190
