UTC TIME WHEN LNO OBSERVING CLOSE TO AEOLIS MENSAE MFF, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2019 NOV 06 01:00:13, 58.6, 15.6, #136 #190
2019 NOV 08 02:08:00, 52.9, 15.1, #134 #136
2019 NOV 10 03:16:00, 47.1, 14.7, #136 #168
2019 NOV 13 03:58:00, 40.3, 14.0, #136 #190
2019 NOV 17 06:13:42, 31.2, 13.2, #136 #136
2019 NOV 20 06:55:09, 30.0, 12.5, #136 #190
2019 NOV 22 08:03:43, 26.5, 12.1, #134 #136
2019 NOV 24 09:11:22, 27.0, 11.6, #136 #190
2019 NOV 29 11:01:36, 33.8, 10.5, #164 #164
