UTC TIME WHEN LNO OBSERVING CLOSE TO INSIGHT, INCIDENCE ANGLE, LOCAL SOLAR TIME, LNO DIFFRACTION ORDERS MEASURED
2019 NOV 05 01:27:39, 59.7, 15.9, #167 #169
2019 NOV 07 02:35:18, 53.9, 15.5, #136 #136
2019 NOV 09 03:44:13, 47.3, 15.1, #167 #169
2019 NOV 12 04:25:37, 39.7, 14.4, #136 #136
2019 NOV 14 05:33:22, 34.2, 13.9, #136 #190
2019 NOV 16 06:41:13, 28.9, 13.5, #167 #169
2019 NOV 19 07:23:09, 23.9, 12.8, #134 #190
2019 NOV 21 08:31:09, 20.5, 12.4, #136 #190
2019 NOV 23 09:38:46, 19.8, 12.0, #167 #169
2019 NOV 26 10:20:05, 25.7, 11.2, #136 #136
2019 NOV 28 11:29:23, 24.3, 10.9, #134 #190
2019 NOV 30 12:36:49, 29.5, 10.4, #167 #169 #190
