THERMAL ORBIT NUMBER WITH LNO MEASURING H2O IN IRDAYSIDE, OBSERVATION NAME, DIFFRACTION ORDER MEASURED
1, Surface 3SUBD 01, 168
2, HDO H2O 2SUBD 01, 169
4, HDO CO 3SUBD 01, 167
6, AER H2Oi 3SUBD 01, 169
10, CH4 3SUBD 01, 168
12, CO 2SUBD 02, 167
15, Nominal 6SUBD 01, 168
18, CO 2SUBD 02, 167
21, HDO H2O 2SUBD 01, 169
22, Surface 3SUBD 01, 168
24, HDO H2O 2SUBD 01, 169
26, HDO CO 3SUBD 01, 167
27, AER H2Oi 3SUBD 01, 169
30, CH4 3SUBD 01, 168
33, CO 2SUBD 02, 167
35, Nominal 6SUBD 01, 168
41, CO 2SUBD 02, 167
43, HDO H2O 2SUBD 01, 169
49, HDO H2O 2SUBD 01, 169
51, HDO CO 3SUBD 01, 167
52, AER H2Oi 3SUBD 01, 169
57, CH4 3SUBD 01, 168
60, CO 2SUBD 02, 167
61, Nominal 6SUBD 01, 168
66, CO 2SUBD 02, 167
67, HDO H2O 2SUBD 01, 169
69, H2O 2SUBD 01, 167
71, HDO H2O 2SUBD 01, 169
74, HDO CO 3SUBD 01, 167
75, Surface 3SUBD 01, 168
80, CH4 3SUBD 01, 168
81, CO 2SUBD 02, 167
83, Nominal 6SUBD 01, 168
88, Surface 3SUBD 01, 168
89, HDO H2O 2SUBD 01, 169
91, H2O 2SUBD 01, 167
92, HDO H2O 2SUBD 01, 169
95, HDO CO 3SUBD 01, 167
97, Surface 3SUBD 01, 168
100, CH4 3SUBD 01, 168
101, CO 2SUBD 02, 167
103, Nominal 6SUBD 01, 168
107, CO 2SUBD 02, 167
109, HDO H2O 2SUBD 01, 169
112, Surface 3SUBD 01, 168
113, HDO H2O 2SUBD 01, 169
115, HDO CO 3SUBD 01, 167
118, AER H2Oi 3SUBD 01, 169
121, CH4 3SUBD 01, 168
124, CO 2SUBD 02, 167
126, Nominal 6SUBD 01, 168
130, CO 2SUBD 02, 167
132, HDO H2O 2SUBD 01, 169
134, H2O 2SUBD 01, 167
136, HDO H2O 2SUBD 01, 169
137, HDO CO 3SUBD 01, 167
140, AER H2Oi 3SUBD 01, 169
143, CH4 3SUBD 01, 168
146, CO 2SUBD 02, 167
150, Nominal 6SUBD 01, 168
154, CO 2SUBD 02, 167
156, HDO H2O 2SUBD 01, 169
158, H2O 2SUBD 01, 167
160, HDO H2O 2SUBD 01, 169
162, Surface 3SUBD 01, 168
165, AER H2Oi 3SUBD 01, 169
168, CH4 3SUBD 01, 168
170, CO 2SUBD 02, 167
176, CO 2SUBD 02, 167
178, HDO H2O 2SUBD 01, 169
181, H2O 2SUBD 01, 167
182, HDO H2O 2SUBD 01, 169
184, HDO CO 3SUBD 01, 167
187, AER H2Oi 3SUBD 01, 169
190, CH4 3SUBD 01, 168
193, CO 2SUBD 02, 167
195, Nominal 6SUBD 01, 168
199, Surface 3SUBD 01, 168
201, HDO H2O 2SUBD 01, 169
202, H2O 2SUBD 01, 167
204, HDO H2O 2SUBD 01, 169
206, HDO CO 3SUBD 01, 167
208, AER H2Oi 3SUBD 01, 169
212, CH4 3SUBD 01, 168
214, CO 2SUBD 02, 167
216, Nominal 6SUBD 01, 168
219, CO 2SUBD 02, 167
221, HDO H2O 2SUBD 01, 169
223, H2O 2SUBD 01, 167
225, HDO H2O 2SUBD 01, 169
227, HDO CO 3SUBD 01, 167
229, AER H2Oi 3SUBD 01, 169
232, CH4 3SUBD 01, 168
235, CO 2SUBD 02, 167
236, Nominal 6SUBD 01, 168
240, CO 2SUBD 02, 167
242, HDO H2O 2SUBD 01, 169
244, H2O 2SUBD 01, 167
246, HDO H2O 2SUBD 01, 169
248, HDO CO 3SUBD 01, 167
250, AER H2Oi 3SUBD 01, 169
254, CH4 3SUBD 01, 168
256, CO 2SUBD 02, 167
259, Nominal 6SUBD 01, 168
262, CO 2SUBD 02, 167
264, HDO H2O 2SUBD 01, 169
266, H2O 2SUBD 01, 167
268, HDO H2O 2SUBD 01, 169
269, HDO CO 3SUBD 01, 167
272, AER H2Oi 3SUBD 01, 169
277, CH4 3SUBD 01, 168
278, CO 2SUBD 02, 167
280, Nominal 6SUBD 01, 168
284, CO 2SUBD 02, 167
285, HDO H2O 2SUBD 01, 169
287, H2O 2SUBD 01, 167
289, HDO H2O 2SUBD 01, 169
290, HDO CO 3SUBD 01, 167
292, AER H2Oi 3SUBD 01, 169
296, CH4 3SUBD 01, 168
298, CO 2SUBD 02, 167
299, Nominal 6SUBD 01, 168
304, CO 2SUBD 02, 167
306, HDO H2O 2SUBD 01, 169
308, H2O 2SUBD 01, 167
309, HDO H2O 2SUBD 01, 169
311, HDO CO 3SUBD 01, 167
314, AER H2Oi 3SUBD 01, 169
317, CH4 3SUBD 01, 168
319, CO 2SUBD 02, 167
321, Nominal 6SUBD 01, 168
325, CO 2SUBD 02, 167
327, HDO H2O 2SUBD 01, 169
328, H2O 2SUBD 01, 167
330, HDO H2O 2SUBD 01, 169
332, HDO CO 3SUBD 01, 167
334, AER H2Oi 3SUBD 01, 169
337, CH4 3SUBD 01, 168
339, CO 2SUBD 02, 167
341, Nominal 6SUBD 01, 168
