Orbit Index	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	2018 NOV 03 14:29:06	2018 NOV 03 14:44:06	2018 NOV 03 14:59:06	1800.0	171.4	-164.1	-56.3	21.6	62.7	61.9	127.6	3.6	3	-	-	-		
1	2018 NOV 03 14:59:06	2018 NOV 03 15:28:00	2018 NOV 03 15:56:53	3467.1	-56.3	-23.6	105.4	61.9	-20.0	-64.2	24.3	13.7	3	Surface 3SUBD 01	Science: orders #168, #190, #191, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3	&daysideMatch:MAWRTH VALLIS-ARAM CHAOS; 	
2	2018 NOV 03 15:56:53	2018 NOV 03 16:26:26	2018 NOV 03 16:55:59	3546.1	105.4	142.0	-89.1	-64.2	20.0	64.2	155.9	1.7	1	-	-	-		
2	2018 NOV 03 16:55:59	2018 NOV 03 17:25:23	2018 NOV 03 17:54:46	3527.2	-89.1	-52.9	76.6	64.2	-18.6	-64.2	24.0	13.7	1	HDO H2O 2SUBD 01	Science: orders #121, #169, with 200000us integration time (2 orders per 15 second(s) for detector lines 80 to 224)	COP row 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
3	2018 NOV 03 17:54:46	2018 NOV 03 18:24:18	2018 NOV 03 18:53:51	3544.2	76.6	113.0	-117.9	-64.2	20.0	64.2	156.2	1.7	4	-	-	-		
3	2018 NOV 03 18:53:51	2018 NOV 03 19:23:13	2018 NOV 03 19:52:36	3525.6	-117.9	-81.9	47.8	64.2	-18.7	-64.2	23.7	13.7	4	-		3x COP rows 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
4	2018 NOV 03 19:52:36	2018 NOV 03 20:22:08	2018 NOV 03 20:51:40	3543.7	47.8	84.1	-146.7	-64.2	20.1	64.2	156.4	1.7	1	-	-	-		
4	2018 NOV 03 20:51:40	2018 NOV 03 21:21:02	2018 NOV 03 21:50:24	3524.0	-146.7	-110.8	18.9	64.2	-18.7	-64.2	23.4	13.6	1	HDO CO 3SUBD 01	Science: orders #167, #121, #190, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row 162: NADIR: Horizontal Bin (57:240;0:1047), Tint = 7500 ms,20 bit,Rhythm = 10494 ms, Binning=7		
5	2018 NOV 03 21:50:24	2018 NOV 03 22:19:56	2018 NOV 03 22:49:29	3544.9	18.9	55.2	-175.7	-64.2	20.1	64.1	156.7	1.7	4	-	-	-		
5	2018 NOV 03 22:49:29	2018 NOV 03 23:18:52	2018 NOV 03 23:48:15	3525.8	-175.7	-139.7	-10.2	64.1	-18.7	-64.1	23.2	13.6	4	-		3x COP rows 189: NADIR: Horizontal Bin (57:240;0:777), Tint = 20000 ms,20 bit,Rhythm = 21964 ms, Binning=3		
