Orbit Index	Nadir Type	UTC Start Time	UTC Centre Time	UTC End Time	Duration (s)	Start Longitude	Centre Longitude	End Longitude	Start Latitude	Centre Latitude	End Latitude	Centre Incidence Angle	Centre Local Time (hrs)	Orbit Type	IR Observation Name	IR Description	UVIS Description	Orbit Comment	
1	94	Nightside	2025 JUN 07 15:02:34	2025 JUN 07 15:31:55	2025 JUN 07 16:01:15	3521.30	151.14	-65.04	-43.25	-53.47	-32.22	53.53	159.68	1.44	14	-	-	-		
1	94	Dayside	2025 JUN 07 16:01:15	2025 JUN 07 16:30:53	2025 JUN 07 17:00:31	3555.41	-43.25	100.04	122.23	53.53	33.50	-53.59	20.26	13.41	14	-		COP row -1: 		
2	94	Nightside	2025 JUN 07 17:00:31	2025 JUN 07 17:29:51	2025 JUN 07 17:59:11	3519.74	122.23	-93.91	-72.16	-53.59	-32.09	53.66	159.86	1.43	1	-	-	-		
2	94	Dayside	2025 JUN 07 17:59:11	2025 JUN 07 18:28:48	2025 JUN 07 18:58:25	3554.30	-72.16	71.19	93.35	53.66	33.40	-53.70	20.10	13.40	1	-		COP row -1: 	&daysideMatch:NILI FOSSAE; 	
3	94	Nightside	2025 JUN 07 18:58:25	2025 JUN 07 19:27:44	2025 JUN 07 19:57:04	3519.30	93.35	-122.78	-100.99	-53.70	-32.00	53.74	160.03	1.42	3	-	-	-		
3	94	Dayside	2025 JUN 07 19:57:04	2025 JUN 07 20:26:41	2025 JUN 07 20:56:18	3553.66	-100.99	42.29	64.53	53.74	33.27	-53.78	19.89	13.38	3	H2O 3SUBD #1	Science: orders #167, #168, #169, with 205000us integration time (3 orders per 15 second(s) for detector lines 80 to 224)	COP row -1: 		
4	94	Nightside	2025 JUN 07 20:56:18	2025 JUN 07 21:25:39	2025 JUN 07 21:54:59	3521.62	64.53	-151.70	-129.79	-53.78	-31.91	53.81	160.23	1.41	1	-	-	-		
4	94	Dayside	2025 JUN 07 21:54:59	2025 JUN 07 22:24:37	2025 JUN 07 22:54:15	3555.29	-129.79	13.34	35.73	53.81	33.18	-53.84	19.66	13.36	1	-		COP row -1: 	&mroOverlap; 	
5	94	Nightside	2025 JUN 07 22:54:15	2025 JUN 07 23:23:36	2025 JUN 07 23:52:57	3522.37	35.73	179.34	-158.64	-53.84	-31.80	53.89	160.48	1.39	14	-	-	-		
5	94	Dayside	2025 JUN 07 23:52:57	2025 JUN 08 00:22:36	2025 JUN 08 00:52:15	3557.48	-158.64	-15.61	6.86	53.89	33.08	-53.93	19.44	13.35	14	-		COP row -1: 		
6	94	Nightside	2025 JUN 08 00:52:15	2025 JUN 08 01:21:35	2025 JUN 08 01:50:56	3521.41	6.86	150.40	172.48	-53.93	-31.70	53.99	160.70	1.37	1	-	-	-		
6	94	Dayside	2025 JUN 08 01:50:56	2025 JUN 08 02:20:35	2025 JUN 08 02:50:14	3558.45	172.48	-44.52	-22.05	53.99	32.96	-54.05	19.24	13.34	1	-		COP row -1: 		
7	94	Nightside	2025 JUN 08 02:50:14	2025 JUN 08 03:19:34	2025 JUN 08 03:48:55	3520.13	-22.05	121.49	143.56	-54.05	-31.62	54.10	160.88	1.36	14	-	-	-		
7	94	Dayside	2025 JUN 08 03:48:55	2025 JUN 08 04:18:33	2025 JUN 08 04:48:12	3557.34	143.56	-73.40	-50.99	54.10	32.84	-54.18	19.06	13.32	14	-		COP row -1: 		
8	94	Nightside	2025 JUN 08 04:48:12	2025 JUN 08 05:17:31	2025 JUN 08 05:46:51	3519.05	-50.99	92.61	114.65	-54.18	-31.53	54.23	161.04	1.35	1	-	-	-		
8	94	Dayside	2025 JUN 08 05:46:51	2025 JUN 08 06:16:29	2025 JUN 08 06:46:06	3555.24	114.65	-102.27	-79.88	54.23	32.74	-54.29	18.89	13.31	1	-		COP row -1: 	&mroOverlap; 	
