NOM_02, OCCEG, 70, 97, 117, 182, 319, 321, 324
NOM_02, OCCIN, 3, 63, 297, 300, 329
NOM_03, OCCEG, 30, 37, 60, 66, 72, 84, 89, 127, 132, 145, 162, 171, 192, 202, 204, 210, 212, 224, 255, 266, 269, 275, 277, 294, 299, 300, 304, 323, 332, 333
NOM_03, OCCIN, 5, 7, 16, 18, 23, 34, 36, 46, 52, 65, 75, 77, 121, 136, 138, 159, 160, 162, 167, 181, 182, 186, 191, 194, 199, 204, 205, 212, 217, 226, 227, 240, 242, 245, 247, 253, 255, 257, 262, 270, 272, 294, 302, 304, 308, 317, 319, 321, 323, 326, 332, 333
NOM_03, OCCME, 335, 336, 337
CO_002, OCCEG, 159, 165, 270, 288, 302
CO_002, OCCIN, 48, 61, 92
CO2_01, OCCEG, 236
CO2_01, OCCIN, 218
CO2_02, OCCEG, 28, 45, 80, 95, 178, 197, 207, 229, 253, 262, 285, 297, 307, 329
CO2_02, OCCIN, 118, 140, 152, 165, 171, 209, 263, 269, 331
HCL_01, OCCEG, 115, 124, 209
HCL_01, OCCIN, 90, 102, 307
FUL_01, OCCEG, 129, 155, 157, 160, 226, 247, 248, 287, 326
FUL_01, OCCIN, 31, 50, 94, 176, 200, 260, 282
